filing_year,area_name,area_number,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2019,Bridgeport,60,62,0.84,6,2,54,12,42,2450.0,12,6,15,13,8,10,44,45,9,9,0,36,18,27,18,9,0,9,0,0,0,10,7,37,10,7,28,0,0,9,13,41,11,34,2,7
2010,New City,61,396,5.01,44,5,347,117,230,1650.0,116,48,111,52,20,187,160,315,32,28,4,217,130,204,111,13,19,12,16,1,3,130,31,186,129,30,156,1,1,30,55,292,55,260,0,32
2011,New City,61,361,4.49,24,4,333,89,244,1972.5,89,55,99,72,18,164,169,296,37,27,10,228,105,211,85,17,20,14,13,3,7,135,26,172,134,26,136,1,0,36,45,288,44,252,1,36
2012,New City,61,381,4.66,33,4,344,79,265,2000.0,78,54,106,78,28,197,147,320,24,18,6,244,100,234,86,10,14,10,8,0,6,145,14,185,144,14,162,1,0,23,72,272,71,249,1,23
2013,New City,61,352,4.23,48,1,303,69,234,2000.0,70,43,96,72,22,142,161,272,31,26,5,210,93,193,79,17,14,14,12,3,2,111,13,179,110,13,149,1,0,30,29,274,28,244,1,30
2014,New City,61,406,4.8,81,4,321,70,251,1800.0,68,59,105,55,34,148,173,286,35,33,2,211,110,197,89,14,21,14,19,0,2,126,16,179,124,16,146,2,0,33,23,298,21,265,2,33
2015,New City,61,392,4.56,89,1,302,62,240,1610.0,62,59,110,51,20,146,156,271,31,30,1,210,92,194,77,16,15,16,14,0,1,114,28,160,111,28,132,3,0,28,45,257,43,228,2,29
2016,New City,61,340,3.89,73,3,264,45,219,1930.0,45,45,96,61,17,118,146,232,32,31,1,170,94,160,72,10,22,10,21,0,1,83,29,152,82,29,121,1,0,31,48,216,48,184,0,32
2017,New City,61,342,3.85,55,2,285,57,228,1892.5,51,44,111,45,34,112,173,251,34,28,6,192,93,171,80,21,13,17,11,4,2,80,40,165,77,40,134,3,0,31,41,244,40,211,1,33
2018,New City,61,310,3.44,51,2,257,61,196,2000.0,62,28,91,57,19,84,173,232,25,25,0,165,92,150,82,15,10,15,10,0,0,70,33,154,69,33,130,1,0,24,37,220,35,197,2,23
2019,New City,61,305,3.33,47,2,256,67,189,1887.5,66,34,89,43,24,102,154,231,25,25,0,174,82,160,71,14,11,14,11,0,0,70,26,160,69,26,136,1,0,24,70,186,69,162,1,24
2010,West Elsdon,62,43,3.39,1,0,42,10,32,1874.75,10,6,15,7,4,20,22,37,5,4,1,31,11,28,9,3,2,3,1,0,1,18,3,21,17,3,17,1,0,4,6,36,6,31,0,5
2011,West Elsdon,62,47,3.61,1,1,45,6,39,2400.0,6,7,14,12,6,16,29,42,3,3,0,23,22,23,19,0,3,0,3,0,0,11,3,31,11,3,28,0,0,3,6,39,6,36,0,3
2012,West Elsdon,62,57,4.26,9,0,48,16,32,2325.0,16,7,11,10,4,8,40,35,13,12,1,29,19,21,14,8,5,8,4,0,1,12,3,33,12,3,20,0,0,13,5,43,5,30,0,13
2013,West Elsdon,62,58,4.23,9,0,49,19,30,2118.84,18,3,14,11,3,12,37,43,6,5,1,26,23,24,19,2,4,2,3,0,1,20,5,24,19,5,19,1,0,5,2,47,2,41,0,6
2014,West Elsdon,62,41,2.92,11,0,30,6,24,1875.0,6,2,13,6,3,6,24,28,2,2,0,17,13,15,13,2,0,2,0,0,0,7,2,21,7,2,19,0,0,2,0,30,0,28,0,2
2015,West Elsdon,62,51,3.54,22,0,29,7,22,2550.0,7,3,7,11,1,10,19,25,4,2,2,17,12,15,10,2,2,1,1,1,1,10,4,15,10,4,11,0,0,4,1,28,1,24,0,4
2016,West Elsdon,62,48,3.26,13,0,35,6,29,2317.61,6,7,11,9,2,5,30,32,3,3,0,27,8,24,8,3,0,3,0,0,0,13,4,18,13,4,15,0,0,3,3,32,3,29,0,3
2017,West Elsdon,62,42,2.78,12,0,30,4,26,2061.74,4,3,14,5,4,6,24,28,2,2,0,17,13,16,12,1,1,1,1,0,0,10,3,17,9,3,16,1,0,1,1,29,0,28,1,1
2018,West Elsdon,62,47,3.05,8,2,37,8,29,2250.0,9,1,15,9,3,7,30,32,5,5,0,19,18,16,16,3,2,3,2,0,0,10,10,17,10,10,12,0,0,5,1,36,1,31,0,5
2019,West Elsdon,62,29,1.84,6,0,23,6,17,2500.0,6,3,5,5,4,4,19,18,5,5,0,16,7,12,6,4,1,4,1,0,0,5,1,17,5,1,12,0,0,5,5,18,4,14,1,4
2010,Gage Park,63,158,3.72,22,1,135,33,102,1710.0,32,27,48,20,8,52,83,120,15,9,6,85,50,78,42,7,8,5,4,2,4,51,11,73,50,11,59,1,0,14,12,123,12,108,0,15
2011,Gage Park,63,160,3.7,6,0,154,38,116,2125.0,38,21,52,30,13,79,75,132,22,17,5,101,53,88,44,13,9,9,8,4,1,56,11,87,55,10,67,1,1,20,21,133,21,111,0,22
2012,Gage Park,63,183,4.15,24,0,159,40,119,1725.0,39,25,51,37,7,63,96,141,18,15,3,113,46,102,39,11,7,10,5,1,2,68,9,82,65,9,67,3,0,15,26,133,24,117,2,16
2013,Gage Park,63,153,3.41,12,0,141,37,104,1575.57,40,19,58,20,4,50,91,122,19,13,6,90,51,81,41,9,10,9,4,0,6,59,7,75,59,7,56,0,0,19,12,129,12,110,0,19
2014,Gage Park,63,164,3.59,18,3,143,50,93,1800.0,51,21,42,19,10,57,86,120,23,18,5,73,70,65,55,8,15,7,11,1,4,39,11,93,39,11,70,0,0,23,5,138,5,115,0,23
2015,Gage Park,63,188,4.05,47,0,141,23,118,1560.0,23,22,62,21,13,44,97,127,14,12,2,100,41,92,35,8,6,7,5,1,1,62,6,73,59,6,62,3,0,11,18,123,18,109,0,14
2016,Gage Park,63,138,2.92,35,0,103,20,83,2144.5,19,17,35,19,13,35,68,88,15,13,2,63,40,56,32,7,8,6,7,1,1,37,15,51,36,15,37,1,0,14,14,89,14,74,0,15
2017,Gage Park,63,147,3.06,31,0,116,26,90,2025.0,24,10,49,23,10,26,90,103,13,13,0,75,41,69,34,6,7,6,7,0,0,34,9,73,33,9,61,1,0,12,15,101,14,89,1,12
2018,Gage Park,63,105,2.15,26,0,79,15,64,1574.58,15,17,31,7,9,26,53,69,10,9,1,47,32,44,25,3,7,3,6,0,1,28,14,37,27,13,29,1,1,8,15,64,15,54,0,10
2019,Gage Park,63,120,2.42,16,2,102,26,76,1900.0,26,16,28,23,9,28,74,86,16,13,3,52,50,45,41,7,9,5,8,2,1,19,16,67,18,16,52,1,0,15,27,75,27,59,0,16
2010,Clearing,64,86,3.9,7,1,78,15,63,1615.0,14,16,35,10,3,31,47,66,12,9,3,44,34,38,28,6,6,6,3,0,3,20,5,53,20,5,41,0,0,12,9,69,9,57,0,12
2011,Clearing,64,82,3.55,3,1,78,14,64,1675.0,14,11,30,18,5,29,49,67,11,10,1,50,28,45,22,5,6,5,5,0,1,29,10,39,29,9,29,0,1,10,15,63,14,53,1,10
2012,Clearing,64,94,3.89,7,4,83,20,63,2150.0,20,4,33,15,11,20,63,74,9,7,2,57,26,51,23,6,3,6,1,0,2,32,6,45,32,6,36,0,0,9,17,66,17,57,0,9
2013,Clearing,64,85,3.37,6,0,79,17,62,2408.16,17,9,23,18,12,21,58,67,12,11,1,47,32,40,27,7,5,7,4,0,1,25,8,46,24,8,35,1,0,11,6,73,6,61,0,12
2014,Clearing,64,63,2.4,12,0,51,12,39,2220.0,12,8,15,13,3,11,40,45,6,6,0,26,25,22,23,4,2,4,2,0,0,17,7,27,16,7,22,1,0,5,5,46,5,40,0,6
2015,Clearing,64,74,2.71,21,0,53,5,48,1900.0,4,4,28,13,4,11,42,46,7,7,0,39,14,35,11,4,3,4,3,0,0,18,3,32,18,3,25,0,0,7,3,50,3,43,0,7
2016,Clearing,64,71,2.51,20,0,51,11,40,2340.0,10,1,21,14,5,8,43,42,9,9,0,31,20,26,16,5,4,5,4,0,0,14,9,28,13,9,20,1,0,8,13,38,12,30,1,8
2017,Clearing,64,79,2.69,10,0,69,13,56,2942.33,13,1,21,24,10,8,61,62,7,7,0,35,34,34,28,1,6,1,6,0,0,22,9,38,22,8,32,0,1,6,7,62,7,55,0,7
2018,Clearing,64,61,2.0,6,0,55,10,45,2950.0,10,6,14,14,11,2,53,44,11,9,2,33,22,25,19,8,3,7,2,1,1,10,8,37,9,8,27,1,0,10,7,48,7,37,0,11
2019,Clearing,64,59,1.87,8,3,48,4,44,3549.99,4,4,15,10,15,10,38,43,5,5,0,22,26,20,23,2,3,2,3,0,0,7,13,28,7,13,23,0,0,5,8,40,8,35,0,5
2010,West Lawn,65,108,5.08,13,1,94,18,76,2600.0,17,7,30,17,23,31,63,85,9,7,2,45,49,43,42,2,7,2,5,0,2,29,9,56,29,9,47,0,0,9,12,82,12,73,0,9
2011,West Lawn,65,107,4.83,18,0,89,29,60,1750.0,28,12,32,10,7,33,56,78,11,8,3,54,35,49,29,5,6,5,3,0,3,33,6,50,32,6,40,1,0,10,7,82,7,71,0,11
2012,West Lawn,65,136,5.92,29,1,106,34,72,3274.85,35,6,20,23,22,20,86,85,21,19,2,60,46,53,32,7,14,6,13,1,1,29,11,66,26,10,49,3,1,17,23,83,22,63,1,20
2013,West Lawn,65,113,4.74,27,0,86,27,59,1800.0,27,9,28,16,6,22,64,76,10,10,0,48,38,43,33,5,5,5,5,0,0,30,9,47,29,9,38,1,0,9,8,78,8,68,0,10
2014,West Lawn,65,196,7.94,31,1,164,29,135,3710.68,28,16,31,38,51,20,144,149,15,13,2,106,58,99,50,7,8,7,6,0,2,47,18,99,46,18,85,1,0,14,17,147,15,134,2,13
2015,West Lawn,65,118,4.62,39,0,79,12,67,2736.59,13,9,19,26,12,23,56,66,13,13,0,44,35,40,26,4,9,4,9,0,0,24,12,43,24,12,30,0,0,13,6,73,6,60,0,13
2016,West Lawn,65,95,3.6,24,0,71,12,59,2500.0,13,8,20,17,13,20,51,59,12,12,0,38,33,32,27,6,6,6,6,0,0,20,16,35,17,16,26,3,0,9,8,63,7,52,1,11
2017,West Lawn,65,99,3.63,23,0,76,17,59,2400.0,17,8,22,15,14,18,58,67,9,8,1,48,28,41,26,7,2,7,1,0,1,22,11,43,21,11,35,1,0,8,6,70,6,61,0,9
2018,West Lawn,65,84,2.99,15,0,69,12,57,2494.15,8,6,25,22,8,18,51,62,7,6,1,35,34,31,31,4,3,4,2,0,1,18,14,37,18,14,30,0,0,7,11,58,11,51,0,7
2019,West Lawn,65,75,2.59,11,0,64,6,58,1942.0,6,12,27,13,6,10,54,56,8,8,0,42,22,38,18,4,4,4,4,0,0,16,8,40,16,8,32,0,0,8,20,44,20,36,0,8
2010,Chicago Lawn,66,584,5.88,37,4,543,124,419,1630.0,124,94,217,74,34,196,347,495,48,37,11,345,198,320,175,25,23,20,17,5,6,216,42,285,211,40,244,5,2,41,73,470,70,425,3,45
2011,Chicago Lawn,66,622,6.22,25,3,594,139,455,1650.0,137,93,223,94,47,232,362,538,56,44,12,376,218,350,188,26,30,22,22,4,8,207,33,354,203,33,302,4,0,52,76,518,76,462,0,56
2012,Chicago Lawn,66,676,6.73,53,4,619,130,489,1700.0,130,82,264,113,30,185,434,556,63,60,3,388,231,360,196,28,35,27,33,1,2,246,31,342,243,31,282,3,0,60,114,505,113,443,1,62
2013,Chicago Lawn,66,717,7.1,56,7,654,88,566,1557.64,88,108,308,97,53,180,474,583,71,60,11,441,213,404,179,37,34,35,25,2,9,228,34,392,223,34,326,5,0,66,53,601,51,532,2,69
2014,Chicago Lawn,66,682,6.72,73,4,605,108,497,1600.0,108,109,250,103,35,150,455,547,58,48,10,409,196,385,162,24,34,23,25,1,9,236,34,335,235,34,278,1,0,57,50,555,49,498,1,57
2015,Chicago Lawn,66,672,6.58,129,5,538,74,464,1700.0,73,92,228,113,32,172,366,475,63,50,13,339,199,316,159,23,40,19,31,4,9,181,37,320,176,36,263,5,1,57,69,469,65,410,4,59
2016,Chicago Lawn,66,618,6.02,124,6,488,56,432,1675.0,54,84,233,77,40,112,376,445,43,39,4,314,174,295,150,19,24,17,22,2,2,151,50,287,150,48,247,1,2,40,73,415,71,374,2,41
2017,Chicago Lawn,66,551,5.34,61,5,485,57,428,1800.0,57,88,187,111,42,85,400,431,54,46,8,306,179,277,154,29,25,28,18,1,7,139,59,287,139,59,233,0,0,54,62,423,61,370,1,53
2018,Chicago Lawn,66,488,4.71,56,6,426,41,385,1850.0,88,53,170,88,27,81,345,377,49,43,6,261,165,234,143,27,22,25,18,2,4,94,44,288,93,43,241,1,1,47,73,353,70,307,3,46
2019,Chicago Lawn,66,473,4.54,54,12,407,100,307,2100.0,102,44,141,87,33,92,315,367,40,36,4,271,136,249,118,22,18,21,15,1,3,84,41,282,82,41,244,2,0,38,124,283,122,245,2,38
2010,West Englewood,67,375,5.92,41,5,329,113,216,2000.0,112,37,97,64,19,177,152,295,34,30,4,219,110,202,93,17,17,15,15,2,2,135,28,166,132,28,135,3,0,31,40,289,39,256,1,33
2011,West Englewood,67,366,5.86,13,4,349,106,243,2200.0,103,25,114,76,31,176,173,312,37,22,15,220,129,202,110,18,19,13,9,5,10,123,32,194,120,32,160,3,0,34,54,295,51,261,3,34
2012,West Englewood,67,440,7.16,39,3,398,121,277,2305.0,122,41,102,82,51,197,201,356,42,33,9,258,140,243,113,15,27,15,18,0,9,150,20,228,150,19,187,0,1,41,76,322,74,282,2,40
2013,West Englewood,67,387,6.39,50,4,333,118,215,2448.0,118,22,88,72,33,185,148,287,46,40,6,221,112,205,82,16,30,14,26,2,4,124,22,187,123,22,142,1,0,45,31,302,31,256,0,46
2014,West Englewood,67,427,7.16,77,6,344,97,247,2382.0,96,29,103,77,39,154,190,325,19,14,5,236,108,225,100,11,8,9,5,2,3,132,36,176,132,36,157,0,0,19,31,313,30,295,1,18
2015,West Englewood,67,457,7.79,116,0,341,67,274,2043.0,66,49,112,75,39,165,176,299,42,38,4,227,114,211,88,16,26,15,23,1,3,129,34,178,123,33,143,6,1,35,44,297,43,256,1,41
2016,West Englewood,67,414,7.17,106,4,304,65,239,2000.0,65,37,113,60,29,127,177,273,31,29,2,200,104,184,89,16,15,16,13,0,2,100,39,165,99,39,135,1,0,30,38,266,36,237,2,29
2017,West Englewood,67,354,6.23,74,3,277,66,211,2437.5,65,33,75,81,23,102,175,245,32,30,2,169,108,153,92,16,16,16,14,0,2,87,43,147,85,41,119,2,2,28,24,253,24,221,0,32
2018,West Englewood,67,311,5.57,70,3,238,57,181,2520.0,63,24,62,55,34,76,162,214,24,24,0,154,84,138,76,16,8,16,8,0,0,60,33,145,58,33,123,2,0,22,55,183,51,163,4,20
2019,West Englewood,67,317,5.77,57,8,252,58,194,2400.0,58,25,76,50,43,85,167,223,29,29,0,152,100,136,87,16,13,16,13,0,0,53,29,170,52,29,142,1,0,28,55,197,51,172,4,25
2010,Englewood,68,540,6.15,35,3,502,117,385,1650.0,117,89,173,96,27,245,257,467,35,25,10,344,158,326,141,18,17,17,8,1,9,214,40,248,212,39,216,2,1,32,78,424,77,390,1,34
2011,Englewood,68,593,6.89,20,4,569,158,411,1755.8,151,117,155,99,47,227,342,514,55,45,10,379,190,348,166,31,24,28,17,3,7,230,35,304,227,34,253,3,1,51,79,490,75,439,4,51
2012,Englewood,68,602,7.13,20,7,575,137,438,1800.0,138,106,169,122,40,255,320,522,53,41,12,383,192,357,165,26,27,23,18,3,9,250,29,296,248,29,245,2,0,51,101,474,101,421,0,53
2013,Englewood,68,547,6.6,40,6,501,128,373,1720.0,128,94,143,93,43,225,276,452,49,39,10,348,153,321,131,27,22,24,15,3,7,196,30,275,194,30,228,2,0,47,36,465,35,417,1,48
2014,Englewood,68,672,8.27,105,2,565,139,426,1948.5,139,67,198,104,57,237,328,505,60,49,11,368,197,343,162,25,35,20,29,5,6,195,42,328,193,41,271,2,1,57,44,521,44,461,0,60
2015,Englewood,68,610,7.67,112,6,492,75,417,1945.0,72,80,204,92,44,174,318,433,59,55,4,340,152,314,119,26,33,25,30,1,3,178,24,290,177,23,233,1,1,57,72,420,72,361,0,59
2016,Englewood,68,509,6.53,100,4,405,82,323,1998.37,81,57,148,71,48,133,272,356,49,46,3,275,130,245,111,30,19,28,18,2,1,139,41,225,136,41,179,3,0,46,49,356,49,307,0,49
2017,Englewood,68,475,6.23,63,0,412,54,358,2074.92,49,60,161,85,57,128,284,367,45,41,4,274,138,242,125,32,13,30,11,2,2,123,52,237,120,52,195,3,0,42,53,359,52,315,1,44
2018,Englewood,68,468,6.27,81,1,386,63,323,2025.0,69,64,123,103,27,121,265,350,36,32,4,245,141,223,127,22,14,20,12,2,2,94,39,253,93,39,218,1,0,35,71,315,70,280,1,35
2019,Englewood,68,396,5.42,77,10,309,64,245,2250.0,68,31,109,66,35,83,226,281,28,24,4,203,106,183,98,20,8,20,4,0,4,73,32,204,71,32,178,2,0,26,80,229,79,202,1,27
2010,Greater Grand Crossing,69,625,6.56,41,8,576,174,402,1791.29,171,64,214,89,38,175,401,516,60,53,7,392,184,360,156,32,28,31,22,1,6,261,43,272,251,41,224,10,2,48,69,507,67,449,2,58
2011,Greater Grand Crossing,69,599,6.3,18,6,575,160,415,1810.0,159,66,212,102,36,170,405,519,56,39,17,383,192,358,161,25,31,22,17,3,14,245,39,291,240,38,241,5,1,50,86,489,82,437,4,52
2012,Greater Grand Crossing,69,753,7.92,29,12,712,162,550,1600.0,160,123,281,99,49,191,521,667,45,38,7,504,208,492,175,12,33,12,26,0,7,331,29,352,328,28,311,3,1,41,132,580,132,535,0,45
2013,Greater Grand Crossing,69,784,8.26,72,6,706,192,514,1792.5,194,101,249,107,55,145,561,639,67,48,19,468,238,442,197,26,41,22,26,4,15,258,43,405,254,42,343,4,1,62,55,651,54,585,1,66
2014,Greater Grand Crossing,69,706,7.45,78,6,622,148,474,1669.0,142,97,228,102,53,143,479,570,52,37,15,415,207,392,178,23,29,18,19,5,10,233,56,333,228,56,286,5,0,47,56,566,54,516,2,50
2015,Greater Grand Crossing,69,813,8.59,150,8,655,93,562,1504.34,91,152,265,108,39,143,512,594,61,51,10,437,218,407,187,30,31,28,23,2,8,227,58,370,223,57,314,4,1,56,64,591,61,533,3,58
2016,Greater Grand Crossing,69,614,6.49,85,2,527,78,449,1716.63,77,76,236,104,34,97,430,460,67,58,9,319,208,289,171,30,37,27,31,3,6,158,69,300,154,69,237,4,0,63,91,436,85,375,6,61
2017,Greater Grand Crossing,69,635,6.72,82,3,550,91,459,1835.0,91,55,255,109,40,89,461,490,60,54,6,356,194,328,162,28,32,27,27,1,5,168,68,314,163,66,261,5,2,53,88,462,85,405,3,57
2018,Greater Grand Crossing,69,597,6.33,73,11,513,71,442,1900.0,95,53,222,100,43,95,418,443,70,63,7,324,189,286,157,38,32,37,26,1,6,125,72,316,122,70,251,3,2,65,87,426,84,359,3,67
2019,Greater Grand Crossing,69,649,6.89,90,15,544,132,412,2300.0,132,36,200,129,47,73,471,506,38,36,2,350,194,327,179,23,15,22,14,1,1,111,54,379,109,54,343,2,0,36,143,401,138,368,5,33
2010,Ashburn,70,103,6.05,9,2,92,28,64,2150.5,28,10,26,16,12,26,66,78,14,10,4,51,41,41,37,10,4,9,1,1,3,29,10,53,27,10,41,2,0,12,9,83,6,72,3,11
2011,Ashburn,70,106,5.91,14,1,91,23,68,2576.5,21,3,30,27,10,25,66,79,12,8,4,57,34,50,29,7,5,6,2,1,3,26,6,59,25,6,48,1,0,11,14,77,13,66,1,11
2012,Ashburn,70,103,5.46,13,1,89,34,55,2287.5,35,7,21,17,9,28,61,79,10,7,3,52,37,46,33,6,4,5,2,1,2,30,3,56,29,3,47,1,0,9,19,70,19,60,0,10
2013,Ashburn,70,134,6.78,28,2,104,30,74,2528.06,30,9,25,26,14,29,75,92,12,11,1,60,44,56,36,4,8,3,8,1,0,29,7,68,28,7,57,1,0,11,6,98,5,87,1,11
2014,Ashburn,70,125,6.04,31,2,92,29,63,2450.0,29,7,25,22,9,20,72,72,20,17,3,41,51,34,38,7,13,7,10,0,3,19,9,64,18,9,45,1,0,19,5,87,4,68,1,19
2015,Ashburn,70,127,5.88,43,2,82,21,61,2755.0,21,7,21,21,12,20,62,58,24,21,3,47,35,37,21,10,14,9,12,1,2,21,12,49,19,11,28,2,1,21,5,77,4,54,1,23
2016,Ashburn,70,120,5.33,41,0,79,12,67,2100.0,12,9,27,14,17,14,65,58,21,21,0,41,38,30,28,11,10,11,10,0,0,15,11,53,14,11,33,1,0,20,10,69,10,48,0,21
2017,Ashburn,70,108,4.61,24,0,84,16,68,2873.0,15,7,24,24,14,9,75,71,13,12,1,42,42,38,33,4,9,4,8,0,1,22,13,49,21,11,39,1,2,10,12,72,12,59,0,13
2018,Ashburn,70,98,4.03,23,1,74,14,60,3133.38,16,6,19,20,13,9,65,61,13,12,1,38,36,29,32,9,4,8,4,1,0,16,21,37,15,21,25,1,0,12,11,63,10,51,1,12
2019,Ashburn,70,99,3.92,12,3,84,23,61,2672.25,23,6,21,21,13,19,65,73,11,9,2,51,33,45,28,6,5,6,3,0,2,27,9,48,27,9,37,0,0,11,19,65,19,54,0,11
2010,Auburn Gresham,71,716,7.13,26,7,683,130,553,1805.5,127,103,287,123,43,222,461,626,57,45,12,446,237,426,200,20,37,19,26,1,11,286,70,327,283,68,275,3,2,52,84,599,84,542,0,57
2011,Auburn Gresham,71,708,7.01,26,2,680,137,543,1860.0,133,102,274,122,49,199,481,624,56,48,8,442,238,413,211,29,27,28,20,1,7,280,44,356,275,44,305,5,0,51,88,592,88,536,0,56
2012,Auburn Gresham,71,765,7.52,23,7,735,140,595,1677.5,137,82,358,117,41,201,534,681,54,38,16,467,268,447,234,20,34,14,24,6,10,257,41,437,257,40,384,0,1,53,159,576,156,525,3,51
2013,Auburn Gresham,71,750,7.33,51,3,696,99,597,1806.0,97,92,319,129,59,171,525,642,54,46,8,469,227,443,199,26,28,23,23,3,5,246,41,409,244,40,358,2,1,51,58,638,58,584,0,54
2014,Auburn Gresham,71,869,8.44,83,12,774,118,656,1620.0,119,121,346,131,57,158,616,711,63,56,7,489,285,464,247,25,38,22,34,3,4,259,49,466,257,46,408,2,3,58,66,708,60,651,6,57
2015,Auburn Gresham,71,857,8.27,134,6,717,72,645,1631.19,71,131,335,131,49,156,561,653,64,56,8,471,246,442,211,29,35,27,29,2,6,237,59,421,235,59,359,2,0,62,88,629,88,565,0,64
2016,Auburn Gresham,71,695,6.66,119,3,573,80,493,1700.0,74,74,289,97,39,115,458,513,60,51,9,360,213,337,176,23,37,19,32,4,5,169,55,349,168,54,291,1,1,58,105,468,104,409,1,59
2017,Auburn Gresham,71,637,6.07,80,3,554,50,504,1800.0,44,50,305,109,46,125,429,491,63,57,6,347,207,318,173,29,34,27,30,2,4,133,69,352,129,67,295,4,2,57,75,479,72,419,3,60
2018,Auburn Gresham,71,661,6.26,100,4,557,56,501,1800.0,79,69,267,111,31,112,445,498,59,49,10,369,188,337,161,32,27,28,21,4,6,138,68,351,136,68,294,2,0,57,121,436,116,382,5,54
2019,Auburn Gresham,71,689,6.48,88,20,581,179,402,2050.0,181,59,190,98,53,112,469,521,60,55,5,352,229,317,204,35,25,33,22,2,3,103,56,422,99,56,366,4,0,56,143,438,138,383,5,55
2010,Beverly,72,32,2.06,2,1,29,7,22,1837.5,7,2,12,3,5,10,19,24,5,4,1,13,16,10,14,3,2,3,1,0,1,6,2,21,5,2,17,1,0,4,1,28,1,23,0,5
2011,Beverly,72,48,3.12,5,3,40,3,37,2280.0,3,6,14,13,4,8,32,31,9,6,3,25,15,18,13,7,2,5,1,2,1,13,2,25,12,2,17,1,0,8,3,37,3,28,0,9
2012,Beverly,72,52,3.42,2,0,50,10,40,2615.0,10,4,16,13,7,14,36,43,7,7,0,29,21,26,17,3,4,3,4,0,0,15,4,31,15,4,24,0,0,7,7,43,6,37,1,6
2013,Beverly,72,63,4.18,12,3,48,8,40,2452.5,8,4,17,12,7,11,37,36,12,11,1,25,23,18,18,7,5,7,4,0,1,9,5,34,8,5,23,1,0,11,3,45,2,34,1,11
2014,Beverly,72,58,3.88,10,2,46,14,32,3233.93,14,3,9,14,6,7,39,42,4,4,0,27,19,25,17,2,2,2,2,0,0,11,3,32,11,3,28,0,0,4,3,43,3,39,0,4
2015,Beverly,72,65,4.4,17,1,47,11,36,2400.0,10,4,17,12,4,3,44,36,11,11,0,27,20,21,15,6,5,6,5,0,0,11,3,33,10,3,23,1,0,10,3,44,3,33,0,11
2016,Beverly,72,68,4.65,11,1,56,10,46,2085.27,10,5,24,10,7,4,52,48,8,8,0,26,30,24,24,2,6,2,6,0,0,12,12,32,12,12,24,0,0,8,6,50,6,42,0,8
2017,Beverly,72,52,3.59,4,0,48,12,36,2425.0,12,2,16,15,3,2,46,37,11,10,1,29,19,22,15,7,4,7,3,0,1,15,5,28,12,5,20,3,0,8,8,40,8,29,0,11
2018,Beverly,72,57,3.97,9,0,48,9,39,2978.62,10,3,8,21,6,2,46,45,3,3,0,22,26,21,24,1,2,1,2,0,0,7,12,29,7,12,26,0,0,3,7,41,7,38,0,3
2019,Beverly,72,64,4.51,9,3,52,6,46,3515.47,6,3,16,16,11,1,51,48,4,4,0,24,28,22,26,2,2,2,2,0,0,9,8,35,9,8,31,0,0,4,12,40,12,36,0,4
2010,Washington Heights,73,139,4.34,8,2,129,41,88,1855.0,41,10,45,22,11,56,73,114,15,13,2,74,55,65,49,9,6,8,5,1,1,44,19,66,41,19,54,3,0,12,15,114,14,100,1,14
2011,Washington Heights,73,158,4.92,9,1,148,30,118,2300.0,30,11,55,34,18,57,91,130,18,14,4,97,51,84,46,13,5,11,3,2,2,48,9,91,48,9,73,0,0,18,27,121,26,104,1,17
2012,Washington Heights,73,177,5.51,16,1,160,44,116,2325.0,44,6,59,34,17,53,107,137,23,18,5,98,62,88,49,10,13,9,9,1,4,53,5,102,52,5,80,1,0,22,22,138,21,116,1,22
2013,Washington Heights,73,178,5.54,14,1,163,29,134,2161.0,27,9,72,37,18,53,110,142,21,20,1,106,57,97,45,9,12,8,12,1,0,58,4,101,58,4,80,0,0,21,8,155,8,134,0,21
2014,Washington Heights,73,183,5.69,19,2,162,35,127,1950.0,35,10,70,30,17,44,118,144,18,13,5,96,66,86,58,10,8,8,5,2,3,51,15,96,51,15,78,0,0,18,12,150,11,133,1,17
2015,Washington Heights,73,206,6.4,66,0,140,18,122,2100.0,17,15,55,38,15,36,104,119,21,19,2,83,57,73,46,10,11,10,9,0,2,38,15,87,37,15,67,1,0,20,18,122,17,102,1,20
2016,Washington Heights,73,197,6.12,47,0,150,23,127,1992.5,22,18,70,27,13,27,123,135,15,14,1,82,68,77,58,5,10,5,9,0,1,36,23,91,35,23,77,1,0,14,23,127,21,114,2,13
