NAME,white,black,native,asian,hawaii_pacific,other,two_or_more,state,county,tract,population,period
Census Tract 8133.01; Cook County; Illinois,431.0,70.0,0.0,0.0,0.0,2228.0,563.0,17,31,813301,3292.0,2018-2022
Census Tract 8133.02; Cook County; Illinois,281.0,106.0,56.0,0.0,0.0,2046.0,404.0,17,31,813302,2893.0,2018-2022
Census Tract 8134; Cook County; Illinois,2593.0,262.0,15.0,97.0,0.0,3984.0,1263.0,17,31,813400,8214.0,2018-2022
Census Tract 8135; Cook County; Illinois,1837.0,272.0,44.0,11.0,0.0,3504.0,630.0,17,31,813500,6298.0,2018-2022
Census Tract 8136; Cook County; Illinois,1194.0,46.0,36.0,15.0,0.0,3483.0,938.0,17,31,813600,5712.0,2018-2022
Census Tract 8137.01; Cook County; Illinois,686.0,184.0,8.0,0.0,0.0,1801.0,217.0,17,31,813701,2896.0,2018-2022
Census Tract 8137.02; Cook County; Illinois,805.0,688.0,14.0,0.0,0.0,2619.0,593.0,17,31,813702,4719.0,2018-2022
Census Tract 8138.01; Cook County; Illinois,285.0,54.0,105.0,0.0,7.0,2709.0,122.0,17,31,813801,3282.0,2018-2022
Census Tract 8138.02; Cook County; Illinois,1495.0,100.0,0.0,32.0,0.0,2103.0,656.0,17,31,813802,4386.0,2018-2022
Census Tract 8139; Cook County; Illinois,1671.0,492.0,376.0,30.0,0.0,3444.0,808.0,17,31,813900,6821.0,2018-2022
Census Tract 8140; Cook County; Illinois,990.0,84.0,0.0,1.0,0.0,2687.0,745.0,17,31,814000,4507.0,2018-2022
Census Tract 8141; Cook County; Illinois,909.0,70.0,0.0,90.0,0.0,3270.0,454.0,17,31,814100,4793.0,2018-2022
Census Tract 8142; Cook County; Illinois,2160.0,130.0,175.0,44.0,0.0,4657.0,956.0,17,31,814200,8122.0,2018-2022
Census Tract 8143; Cook County; Illinois,850.0,128.0,70.0,0.0,0.0,2461.0,1231.0,17,31,814300,4740.0,2018-2022
Census Tract 8144; Cook County; Illinois,2675.0,154.0,47.0,85.0,0.0,3329.0,1362.0,17,31,814400,7652.0,2018-2022
Census Tract 8145; Cook County; Illinois,1762.0,205.0,62.0,58.0,0.0,3271.0,504.0,17,31,814500,5862.0,2018-2022
Census Tract 8146; Cook County; Illinois,1852.0,446.0,0.0,308.0,0.0,2757.0,593.0,17,31,814600,5956.0,2018-2022
Census Tract 8147; Cook County; Illinois,1526.0,214.0,20.0,308.0,0.0,1932.0,1071.0,17,31,814700,5071.0,2018-2022
Census Tract 8148; Cook County; Illinois,2467.0,756.0,0.0,270.0,0.0,1489.0,1126.0,17,31,814800,6108.0,2018-2022
Census Tract 8149; Cook County; Illinois,2239.0,1198.0,49.0,500.0,0.0,2205.0,375.0,17,31,814900,6566.0,2018-2022
Census Tract 8150; Cook County; Illinois,983.0,389.0,187.0,73.0,0.0,1901.0,306.0,17,31,815000,3839.0,2018-2022
Census Tract 8151; Cook County; Illinois,1233.0,875.0,7.0,105.0,0.0,1772.0,809.0,17,31,815100,4801.0,2018-2022
Census Tract 8152; Cook County; Illinois,2874.0,331.0,33.0,40.0,0.0,3372.0,892.0,17,31,815200,7542.0,2018-2022
Census Tract 8153; Cook County; Illinois,2014.0,99.0,154.0,85.0,0.0,914.0,272.0,17,31,815300,3538.0,2018-2022
Census Tract 8154; Cook County; Illinois,3519.0,316.0,11.0,312.0,0.0,578.0,582.0,17,31,815400,5318.0,2018-2022
Census Tract 8155; Cook County; Illinois,2223.0,368.0,24.0,118.0,0.0,3261.0,1823.0,17,31,815500,7817.0,2018-2022
Census Tract 8156; Cook County; Illinois,4407.0,143.0,0.0,80.0,0.0,429.0,403.0,17,31,815600,5462.0,2018-2022
Census Tract 8157.01; Cook County; Illinois,2913.0,19.0,35.0,52.0,0.0,443.0,373.0,17,31,815701,3835.0,2018-2022
Census Tract 8157.02; Cook County; Illinois,3151.0,44.0,52.0,245.0,0.0,196.0,1695.0,17,31,815702,5383.0,2018-2022
