NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,tract,population,period
"Census Tract 804, Cook County, Illinois",1627.0,442.0,1357.0,608.0,415.0,290.0,176.0,66.0,17,31,80400,4981.0,2005-2009
"Census Tract 805, Cook County, Illinois",531.0,179.0,351.0,84.0,173.0,95.0,100.0,58.0,17,31,80500,1571.0,2005-2009
"Census Tract 806, Cook County, Illinois",0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,17,31,80600,22.0,2005-2009
"Census Tract 807, Cook County, Illinois",244.0,138.0,436.0,243.0,106.0,94.0,0.0,42.0,17,31,80700,1303.0,2005-2009
"Census Tract 808, Cook County, Illinois",131.0,71.0,182.0,67.0,30.0,56.0,0.0,0.0,17,31,80800,537.0,2005-2009
"Census Tract 809, Cook County, Illinois",97.0,82.0,217.0,150.0,66.0,102.0,22.0,12.0,17,31,80900,748.0,2005-2009
"Census Tract 810, Cook County, Illinois",211.0,2281.0,2175.0,609.0,591.0,719.0,555.0,601.0,17,31,81000,7742.0,2005-2009
"Census Tract 811, Cook County, Illinois",61.0,454.0,1176.0,482.0,542.0,452.0,192.0,94.0,17,31,81100,3453.0,2005-2009
"Census Tract 812, Cook County, Illinois",293.0,435.0,1182.0,814.0,670.0,1276.0,1194.0,773.0,17,31,81200,6637.0,2005-2009
"Census Tract 813, Cook County, Illinois",288.0,368.0,647.0,529.0,950.0,1052.0,814.0,742.0,17,31,81300,5390.0,2005-2009
"Census Tract 814, Cook County, Illinois",508.0,713.0,2977.0,1471.0,1157.0,1838.0,969.0,604.0,17,31,81400,10237.0,2005-2009
"Census Tract 815, Cook County, Illinois",167.0,209.0,1149.0,725.0,687.0,645.0,345.0,90.0,17,31,81500,4017.0,2005-2009
"Census Tract 816, Cook County, Illinois",223.0,288.0,1725.0,453.0,330.0,373.0,244.0,143.0,17,31,81600,3779.0,2005-2009
"Census Tract 817, Cook County, Illinois",217.0,326.0,929.0,509.0,321.0,235.0,64.0,12.0,17,31,81700,2613.0,2005-2009
"Census Tract 818, Cook County, Illinois",208.0,253.0,2627.0,1098.0,585.0,543.0,128.0,89.0,17,31,81800,5531.0,2005-2009
"Census Tract 819, Cook County, Illinois",507.0,178.0,265.0,182.0,95.0,92.0,77.0,48.0,17,31,81900,1444.0,2005-2009
"Census Tract 901, Cook County, Illinois",809.0,158.0,491.0,618.0,707.0,227.0,171.0,442.0,17,31,90100,3623.0,2005-2009
"Census Tract 902, Cook County, Illinois",1157.0,196.0,1262.0,1067.0,997.0,628.0,537.0,608.0,17,31,90200,6452.0,2005-2009
"Census Tract 903, Cook County, Illinois",319.0,212.0,199.0,292.0,255.0,75.0,138.0,150.0,17,31,90300,1640.0,2005-2009
"Census Tract 1001, Cook County, Illinois",1295.0,651.0,714.0,828.0,1234.0,493.0,381.0,695.0,17,31,100100,6291.0,2005-2009
"Census Tract 1002, Cook County, Illinois",1720.0,494.0,824.0,1530.0,1062.0,786.0,734.0,758.0,17,31,100200,7908.0,2005-2009
"Census Tract 1003, Cook County, Illinois",1598.0,211.0,417.0,1029.0,991.0,744.0,691.0,1309.0,17,31,100300,6990.0,2005-2009
"Census Tract 1004, Cook County, Illinois",744.0,209.0,300.0,519.0,623.0,361.0,155.0,364.0,17,31,100400,3275.0,2005-2009
"Census Tract 1005, Cook County, Illinois",1599.0,449.0,949.0,1091.0,711.0,986.0,477.0,548.0,17,31,100500,6810.0,2005-2009
"Census Tract 1006, Cook County, Illinois",970.0,427.0,509.0,676.0,689.0,630.0,492.0,543.0,17,31,100600,4936.0,2005-2009
"Census Tract 1007, Cook County, Illinois",905.0,338.0,526.0,614.0,893.0,463.0,573.0,575.0,17,31,100700,4887.0,2005-2009
"Census Tract 1101, Cook County, Illinois",1125.0,385.0,834.0,857.0,905.0,460.0,504.0,551.0,17,31,110100,5621.0,2005-2009
"Census Tract 1102, Cook County, Illinois",510.0,406.0,217.0,603.0,509.0,266.0,147.0,335.0,17,31,110200,2993.0,2005-2009
"Census Tract 1103, Cook County, Illinois",975.0,388.0,668.0,833.0,1005.0,703.0,364.0,495.0,17,31,110300,5431.0,2005-2009
"Census Tract 1104, Cook County, Illinois",991.0,556.0,1117.0,614.0,554.0,429.0,243.0,531.0,17,31,110400,5035.0,2005-2009
"Census Tract 1105, Cook County, Illinois",2197.0,795.0,1632.0,1620.0,1219.0,1114.0,617.0,538.0,17,31,110500,9732.0,2005-2009
"Census Tract 1201, Cook County, Illinois",1437.0,182.0,252.0,763.0,789.0,521.0,449.0,428.0,17,31,120100,4821.0,2005-2009
"Census Tract 1202, Cook County, Illinois",1214.0,209.0,509.0,648.0,704.0,748.0,304.0,426.0,17,31,120200,4762.0,2005-2009
"Census Tract 1203, Cook County, Illinois",1541.0,438.0,402.0,976.0,1123.0,909.0,625.0,589.0,17,31,120300,6603.0,2005-2009
"Census Tract 1204, Cook County, Illinois",1095.0,269.0,580.0,596.0,562.0,363.0,266.0,116.0,17,31,120400,3847.0,2005-2009
"Census Tract 1301, Cook County, Illinois",944.0,227.0,622.0,411.0,487.0,727.0,739.0,892.0,17,31,130100,5049.0,2005-2009
"Census Tract 1302, Cook County, Illinois",417.0,15.0,98.0,527.0,216.0,157.0,62.0,181.0,17,31,130200,1673.0,2005-2009
"Census Tract 1303, Cook County, Illinois",1291.0,481.0,716.0,948.0,733.0,551.0,299.0,259.0,17,31,130300,5278.0,2005-2009
"Census Tract 1304, Cook County, Illinois",78.0,39.0,9.0,73.0,33.0,20.0,19.0,46.0,17,31,130400,317.0,2005-2009
"Census Tract 1305, Cook County, Illinois",1910.0,833.0,1278.0,990.0,782.0,590.0,266.0,283.0,17,31,130500,6932.0,2005-2009
"Census Tract 1401, Cook County, Illinois",875.0,568.0,858.0,548.0,301.0,148.0,107.0,68.0,17,31,140100,3473.0,2005-2009
