NAME,B08119_002E,B08119_003E,B08119_004E,B08119_005E,B08119_006E,B08119_007E,B08119_008E,B08119_009E,state,county,tract
"Census Tract 2204, Cook County, Illinois",160.0,129.0,193.0,241.0,285.0,229.0,97.0,213.0,17,031,220400
"Census Tract 2604, Cook County, Illinois",34.0,51.0,65.0,26.0,52.0,24.0,0.0,0.0,17,031,260400
"Census Tract 2605, Cook County, Illinois",44.0,84.0,72.0,127.0,50.0,28.0,16.0,0.0,17,031,260500
"Census Tract 2606, Cook County, Illinois",54.0,21.0,171.0,146.0,96.0,86.0,0.0,33.0,17,031,260600
"Census Tract 2607, Cook County, Illinois",208.0,93.0,108.0,228.0,51.0,0.0,19.0,0.0,17,031,260700
"Census Tract 2608, Cook County, Illinois",151.0,36.0,233.0,360.0,218.0,29.0,92.0,27.0,17,031,260800
"Census Tract 2609, Cook County, Illinois",60.0,121.0,144.0,36.0,46.0,17.0,0.0,26.0,17,031,260900
"Census Tract 2610, Cook County, Illinois",33.0,0.0,110.0,195.0,192.0,18.0,21.0,26.0,17,031,261000
"Census Tract 2701, Cook County, Illinois",25.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,17,031,270100
"Census Tract 2702, Cook County, Illinois",60.0,35.0,76.0,130.0,63.0,26.0,55.0,35.0,17,031,270200
"Census Tract 2703, Cook County, Illinois",65.0,130.0,77.0,35.0,62.0,16.0,0.0,27.0,17,031,270300
"Census Tract 2704, Cook County, Illinois",96.0,45.0,41.0,221.0,41.0,0.0,0.0,0.0,17,031,270400
"Census Tract 2705, Cook County, Illinois",157.0,48.0,146.0,116.0,139.0,59.0,0.0,58.0,17,031,270500
"Census Tract 2706, Cook County, Illinois",51.0,34.0,79.0,65.0,83.0,17.0,26.0,20.0,17,031,270600
"Census Tract 2707, Cook County, Illinois",0.0,0.0,25.0,43.0,40.0,14.0,42.0,0.0,17,031,270700
"Census Tract 2708, Cook County, Illinois",20.0,96.0,47.0,0.0,10.0,30.0,0.0,12.0,17,031,270800
"Census Tract 2709, Cook County, Illinois",0.0,0.0,0.0,0.0,75.0,0.0,0.0,9.0,17,031,270900
"Census Tract 2710, Cook County, Illinois",21.0,56.0,53.0,63.0,6.0,7.0,0.0,0.0,17,031,271000
"Census Tract 2711, Cook County, Illinois",128.0,7.0,33.0,70.0,52.0,39.0,81.0,21.0,17,031,271100
"Census Tract 2712, Cook County, Illinois",85.0,37.0,78.0,120.0,34.0,75.0,19.0,20.0,17,031,271200
"Census Tract 2713, Cook County, Illinois",58.0,54.0,23.0,16.0,59.0,48.0,0.0,12.0,17,031,271300
"Census Tract 2714, Cook County, Illinois",25.0,12.0,55.0,86.0,90.0,34.0,24.0,30.0,17,031,271400
"Census Tract 2715, Cook County, Illinois",34.0,79.0,62.0,91.0,20.0,103.0,29.0,69.0,17,031,271500
"Census Tract 2716, Cook County, Illinois",67.0,0.0,6.0,23.0,12.0,11.0,37.0,0.0,17,031,271600
"Census Tract 2717, Cook County, Illinois",67.0,24.0,103.0,0.0,15.0,52.0,0.0,0.0,17,031,271700
"Census Tract 2718, Cook County, Illinois",0.0,26.0,28.0,17.0,0.0,36.0,11.0,0.0,17,031,271800
"Census Tract 2719, Cook County, Illinois",21.0,29.0,23.0,22.0,86.0,0.0,40.0,19.0,17,031,271900
"Census Tract 2801, Cook County, Illinois",32.0,27.0,125.0,154.0,273.0,533.0,166.0,1253.0,17,031,280100
"Census Tract 2802, Cook County, Illinois",51.0,33.0,34.0,10.0,228.0,147.0,139.0,611.0,17,031,280200
"Census Tract 2803, Cook County, Illinois",43.0,48.0,45.0,0.0,17.0,69.0,38.0,173.0,17,031,280300
"Census Tract 2804, Cook County, Illinois",79.0,0.0,32.0,52.0,79.0,0.0,37.0,80.0,17,031,280400
"Census Tract 2805, Cook County, Illinois",46.0,48.0,68.0,26.0,120.0,13.0,29.0,40.0,17,031,280500
"Census Tract 2806, Cook County, Illinois",0.0,0.0,17.0,0.0,0.0,19.0,0.0,0.0,17,031,280600
"Census Tract 2807, Cook County, Illinois",10.0,29.0,0.0,0.0,10.0,0.0,0.0,29.0,17,031,280700
"Census Tract 2808, Cook County, Illinois",64.0,21.0,42.0,17.0,36.0,23.0,0.0,0.0,17,031,280800
"Census Tract 2809, Cook County, Illinois",60.0,43.0,0.0,65.0,32.0,10.0,26.0,0.0,17,031,280900
"Census Tract 2810, Cook County, Illinois",10.0,20.0,27.0,20.0,41.0,0.0,0.0,0.0,17,031,281000
"Census Tract 2811, Cook County, Illinois",20.0,0.0,52.0,23.0,29.0,0.0,0.0,29.0,17,031,281100
"Census Tract 2812, Cook County, Illinois",76.0,0.0,56.0,61.0,37.0,103.0,10.0,49.0,17,031,281200
"Census Tract 2813, Cook County, Illinois",122.0,3.0,35.0,25.0,19.0,36.0,34.0,97.0,17,031,281300
"Census Tract 2814, Cook County, Illinois",10.0,0.0,23.0,38.0,22.0,11.0,10.0,8.0,17,031,281400
"Census Tract 2815, Cook County, Illinois",0.0,0.0,33.0,62.0,19.0,26.0,0.0,0.0,17,031,281500
"Census Tract 2816, Cook County, Illinois",50.0,39.0,0.0,32.0,44.0,96.0,47.0,135.0,17,031,281600
"Census Tract 2817, Cook County, Illinois",175.0,21.0,154.0,90.0,290.0,241.0,134.0,950.0,17,031,281700
"Census Tract 2818, Cook County, Illinois",150.0,24.0,41.0,100.0,246.0,303.0,137.0,1094.0,17,031,281800
"Census Tract 2819, Cook County, Illinois",169.0,186.0,92.0,188.0,260.0,571.0,181.0,1190.0,17,031,281900
"Census Tract 2820, Cook County, Illinois",109.0,15.0,31.0,51.0,86.0,88.0,38.0,299.0,17,031,282000
"Census Tract 2821, Cook County, Illinois",381.0,66.0,36.0,21.0,143.0,69.0,10.0,193.0,17,031,282100
"Census Tract 2822, Cook County, Illinois",119.0,52.0,162.0,44.0,228.0,73.0,93.0,139.0,17,031,282200
"Census Tract 2823, Cook County, Illinois",95.0,34.0,9.0,20.0,101.0,39.0,10.0,72.0,17,031,282300
"Census Tract 2824, Cook County, Illinois",89.0,85.0,46.0,79.0,124.0,170.0,36.0,178.0,17,031,282400
"Census Tract 2825, Cook County, Illinois",55.0,0.0,25.0,21.0,104.0,9.0,0.0,14.0,17,031,282500
"Census Tract 2826, Cook County, Illinois",0.0,0.0,11.0,39.0,71.0,10.0,0.0,54.0,17,031,282600
