NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
"Census Tract 1608, Cook County, Illinois",2855.0,46.0,31.0,427.0,0.0,2038.0,80.0,17,031,160800
"Census Tract 1609, Cook County, Illinois",1930.0,12.0,0.0,223.0,0.0,630.0,53.0,17,031,160900
"Census Tract 1610, Cook County, Illinois",1379.0,0.0,0.0,44.0,0.0,355.0,22.0,17,031,161000
"Census Tract 1611, Cook County, Illinois",1696.0,47.0,0.0,201.0,0.0,62.0,31.0,17,031,161100
"Census Tract 1612, Cook County, Illinois",1485.0,24.0,0.0,170.0,0.0,1142.0,0.0,17,031,161200
"Census Tract 1613, Cook County, Illinois",2323.0,103.0,0.0,88.0,0.0,1879.0,104.0,17,031,161300
"Census Tract 1701, Cook County, Illinois",2117.0,218.0,0.0,48.0,0.0,9.0,0.0,17,031,170100
"Census Tract 1702, Cook County, Illinois",2627.0,7.0,5.0,230.0,83.0,534.0,45.0,17,031,170200
"Census Tract 1703, Cook County, Illinois",4941.0,45.0,33.0,187.0,0.0,500.0,30.0,17,031,170300
"Census Tract 1704, Cook County, Illinois",3791.0,18.0,0.0,21.0,0.0,89.0,152.0,17,031,170400
"Census Tract 1705, Cook County, Illinois",4361.0,0.0,0.0,64.0,0.0,554.0,177.0,17,031,170500
"Census Tract 1706, Cook County, Illinois",2471.0,0.0,0.0,101.0,0.0,108.0,0.0,17,031,170600
"Census Tract 1707, Cook County, Illinois",3407.0,0.0,51.0,20.0,0.0,122.0,54.0,17,031,170700
"Census Tract 1708, Cook County, Illinois",3595.0,0.0,0.0,80.0,0.0,271.0,75.0,17,031,170800
"Census Tract 1709, Cook County, Illinois",1122.0,163.0,0.0,319.0,0.0,83.0,72.0,17,031,170900
"Census Tract 1710, Cook County, Illinois",5845.0,0.0,18.0,324.0,0.0,956.0,20.0,17,031,171000
"Census Tract 1711, Cook County, Illinois",2657.0,71.0,0.0,363.0,0.0,1390.0,20.0,17,031,171100
