NAME,B15001_004E,B15001_005E,B15001_012E,B15001_013E,B15001_020E,B15001_021E,B15001_028E,B15001_029E,B15001_036E,B15001_037E,B15001_045E,B15001_046E,B15001_053E,B15001_054E,B15001_061E,B15001_062E,B15001_069E,B15001_070E,B15001_077E,B15001_078E,B15001_006E,B15001_014E,B15001_022E,B15001_030E,B15001_038E,B15001_047E,B15001_055E,B15001_063E,B15001_071E,B15001_079E,B15001_007E,B15001_008E,B15001_015E,B15001_016E,B15001_023E,B15001_024E,B15001_031E,B15001_032E,B15001_039E,B15001_040E,B15001_048E,B15001_049E,B15001_056E,B15001_057E,B15001_064E,B15001_065E,B15001_072E,B15001_073E,state,county,tract,B15001_080E,B15001_081E,B15001_009E,B15001_017E,B15001_025E,B15001_033E,B15001_041E,B15001_050E,B15001_058E,B15001_066E,B15001_074E,B15001_082E,B15001_010E,B15001_018E,B15001_026E,B15001_034E,B15001_042E,B15001_051E,B15001_059E,B15001_067E,B15001_075E,B15001_083E
"Census Tract 1608, Cook County, Illinois",0.0,19.0,48.0,0.0,82.0,149.0,32.0,63.0,114.0,8.0,10.0,21.0,20.0,10.0,39.0,37.0,90.0,83.0,125.0,52.0,18.0,186.0,73.0,226.0,30.0,52.0,124.0,100.0,77.0,93.0,87.0,33.0,123.0,90.0,145.0,53.0,143.0,22.0,35.0,0.0,29.0,0.0,70.0,61.0,102.0,37.0,143.0,0.0,17,031,160800,20.0,0.0,19.0,117.0,56.0,73.0,10.0,20.0,237.0,85.0,121.0,21.0,0.0,10.0,31.0,77.0,19.0,0.0,49.0,29.0,32.0,0.0
"Census Tract 1609, Cook County, Illinois",0.0,0.0,0.0,28.0,70.0,16.0,0.0,34.0,109.0,0.0,0.0,9.0,0.0,10.0,9.0,0.0,100.0,19.0,26.0,0.0,48.0,70.0,26.0,113.0,34.0,0.0,0.0,55.0,133.0,39.0,28.0,0.0,36.0,34.0,60.0,12.0,117.0,36.0,32.0,30.0,8.0,0.0,41.0,0.0,42.0,0.0,79.0,25.0,17,031,160900,13.0,12.0,0.0,22.0,41.0,88.0,0.0,49.0,28.0,47.0,111.0,12.0,0.0,48.0,6.0,8.0,12.0,8.0,44.0,86.0,23.0,50.0
"Census Tract 1610, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,35.0,26.0,21.0,0.0,0.0,23.0,0.0,0.0,32.0,0.0,22.0,0.0,15.0,10.0,27.0,47.0,36.0,60.0,14.0,0.0,57.0,0.0,44.0,29.0,12.0,26.0,50.0,0.0,0.0,0.0,32.0,19.0,0.0,0.0,42.0,34.0,30.0,0.0,39.0,0.0,53.0,19.0,17,031,161000,12.0,0.0,0.0,12.0,9.0,77.0,0.0,0.0,78.0,18.0,74.0,0.0,0.0,52.0,72.0,12.0,12.0,0.0,39.0,37.0,34.0,0.0
"Census Tract 1611, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,4.0,28.0,0.0,43.0,112.0,14.0,0.0,0.0,9.0,51.0,54.0,0.0,0.0,41.0,0.0,56.0,8.0,16.0,9.0,13.0,0.0,56.0,0.0,8.0,0.0,8.0,0.0,40.0,0.0,17,031,161100,8.0,0.0,7.0,27.0,73.0,25.0,8.0,10.0,108.0,8.0,79.0,0.0,0.0,65.0,59.0,97.0,13.0,0.0,67.0,87.0,106.0,0.0
"Census Tract 1612, Cook County, Illinois",0.0,33.0,0.0,0.0,61.0,55.0,119.0,12.0,21.0,4.0,0.0,3.0,13.0,0.0,61.0,30.0,103.0,27.0,18.0,46.0,17.0,102.0,80.0,99.0,16.0,27.0,63.0,9.0,106.0,32.0,36.0,0.0,0.0,18.0,0.0,0.0,74.0,32.0,0.0,0.0,93.0,0.0,27.0,62.0,29.0,13.0,79.0,0.0,17,031,161200,15.0,17.0,0.0,45.0,0.0,39.0,4.0,0.0,152.0,0.0,56.0,5.0,0.0,7.0,84.0,82.0,0.0,0.0,14.0,51.0,12.0,0.0
"Census Tract 1613, Cook County, Illinois",28.0,22.0,73.0,43.0,18.0,10.0,128.0,78.0,21.0,54.0,0.0,50.0,42.0,46.0,35.0,43.0,84.0,51.0,22.0,22.0,95.0,179.0,174.0,94.0,33.0,113.0,162.0,30.0,183.0,75.0,50.0,0.0,103.0,29.0,35.0,36.0,165.0,12.0,21.0,9.0,49.0,0.0,39.0,40.0,65.0,40.0,84.0,79.0,17,031,161300,20.0,0.0,11.0,101.0,26.0,89.0,0.0,0.0,23.0,61.0,55.0,0.0,0.0,24.0,32.0,10.0,0.0,0.0,10.0,42.0,10.0,0.0
"Census Tract 1701, Cook County, Illinois",0.0,12.0,0.0,0.0,0.0,22.0,71.0,24.0,32.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,91.0,72.0,14.0,36.0,0.0,62.0,102.0,0.0,86.0,0.0,12.0,282.0,11.0,0.0,9.0,0.0,68.0,0.0,88.0,0.0,24.0,36.0,67.0,0.0,3.0,0.0,0.0,0.0,96.0,11.0,17,031,170100,73.0,49.0,0.0,0.0,81.0,36.0,38.0,2.0,67.0,71.0,0.0,37.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,25.0,0.0
"Census Tract 1702, Cook County, Illinois",0.0,49.0,0.0,0.0,17.0,46.0,25.0,47.0,67.0,7.0,16.0,0.0,18.0,12.0,0.0,11.0,86.0,38.0,27.0,13.0,0.0,32.0,73.0,76.0,33.0,29.0,30.0,24.0,136.0,141.0,81.0,27.0,13.0,54.0,85.0,26.0,86.0,15.0,34.0,0.0,59.0,22.0,48.0,20.0,149.0,38.0,134.0,83.0,17,031,170200,36.0,63.0,6.0,134.0,59.0,89.0,30.0,0.0,25.0,30.0,65.0,3.0,10.0,47.0,27.0,12.0,27.0,0.0,43.0,34.0,45.0,0.0
"Census Tract 1703, Cook County, Illinois",0.0,54.0,0.0,0.0,0.0,41.0,0.0,70.0,55.0,45.0,12.0,17.0,0.0,0.0,10.0,8.0,9.0,66.0,146.0,59.0,103.0,115.0,295.0,373.0,197.0,0.0,90.0,83.0,290.0,205.0,140.0,9.0,119.0,13.0,26.0,73.0,118.0,52.0,76.0,38.0,50.0,20.0,27.0,27.0,112.0,52.0,188.0,108.0,17,031,170300,26.0,0.0,0.0,94.0,41.0,39.0,28.0,0.0,113.0,72.0,76.0,0.0,0.0,96.0,53.0,59.0,0.0,0.0,88.0,42.0,84.0,16.0
"Census Tract 1704, Cook County, Illinois",0.0,20.0,0.0,0.0,0.0,59.0,80.0,28.0,41.0,50.0,0.0,12.0,0.0,9.0,13.0,0.0,84.0,10.0,80.0,124.0,0.0,113.0,109.0,183.0,37.0,9.0,27.0,142.0,233.0,281.0,33.0,0.0,71.0,20.0,91.0,19.0,153.0,38.0,0.0,0.0,22.0,11.0,28.0,15.0,84.0,20.0,72.0,71.0,17,031,170400,32.0,37.0,12.0,62.0,13.0,88.0,0.0,65.0,129.0,47.0,20.0,0.0,0.0,62.0,10.0,109.0,0.0,0.0,26.0,11.0,70.0,0.0
"Census Tract 1705, Cook County, Illinois",0.0,29.0,0.0,10.0,0.0,11.0,32.0,66.0,31.0,33.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,49.0,66.0,115.0,144.0,138.0,39.0,215.0,101.0,27.0,83.0,115.0,159.0,140.0,87.0,0.0,90.0,36.0,91.0,48.0,207.0,100.0,76.0,0.0,86.0,0.0,61.0,53.0,168.0,16.0,252.0,60.0,17,031,170500,86.0,21.0,28.0,85.0,49.0,45.0,15.0,18.0,124.0,5.0,61.0,56.0,0.0,31.0,81.0,83.0,23.0,0.0,20.0,40.0,127.0,43.0
"Census Tract 1706, Cook County, Illinois",12.0,24.0,0.0,0.0,17.0,9.0,0.0,41.0,9.0,24.0,0.0,9.0,0.0,32.0,0.0,17.0,17.0,26.0,88.0,62.0,8.0,61.0,67.0,92.0,58.0,6.0,48.0,38.0,133.0,178.0,11.0,54.0,48.0,16.0,23.0,47.0,46.0,61.0,45.0,0.0,55.0,9.0,11.0,32.0,37.0,7.0,28.0,68.0,17,031,170600,57.0,0.0,4.0,36.0,46.0,56.0,0.0,9.0,50.0,80.0,44.0,11.0,0.0,0.0,27.0,46.0,0.0,0.0,14.0,19.0,39.0,0.0
"Census Tract 1707, Cook County, Illinois",0.0,34.0,0.0,44.0,10.0,28.0,81.0,21.0,31.0,10.0,0.0,0.0,0.0,0.0,30.0,13.0,94.0,0.0,75.0,34.0,40.0,42.0,201.0,129.0,139.0,36.0,76.0,183.0,260.0,95.0,56.0,15.0,13.0,29.0,67.0,10.0,79.0,87.0,28.0,0.0,68.0,0.0,79.0,16.0,44.0,90.0,105.0,16.0,17,031,170700,36.0,0.0,0.0,18.0,35.0,31.0,0.0,9.0,13.0,36.0,30.0,8.0,0.0,58.0,0.0,40.0,0.0,0.0,0.0,0.0,22.0,0.0
"Census Tract 1708, Cook County, Illinois",0.0,39.0,11.0,50.0,0.0,22.0,19.0,21.0,21.0,29.0,0.0,0.0,0.0,9.0,11.0,9.0,11.0,45.0,119.0,43.0,71.0,112.0,98.0,375.0,39.0,75.0,74.0,80.0,228.0,127.0,59.0,8.0,66.0,36.0,37.0,67.0,22.0,16.0,72.0,0.0,60.0,31.0,78.0,11.0,25.0,45.0,53.0,54.0,17,031,170800,33.0,0.0,18.0,45.0,16.0,80.0,0.0,14.0,71.0,64.0,135.0,30.0,0.0,26.0,28.0,0.0,24.0,0.0,89.0,12.0,31.0,0.0
"Census Tract 1709, Cook County, Illinois",0.0,0.0,0.0,17.0,0.0,11.0,19.0,62.0,52.0,0.0,0.0,13.0,0.0,0.0,0.0,48.0,11.0,0.0,93.0,31.0,49.0,44.0,34.0,41.0,18.0,23.0,5.0,49.0,30.0,31.0,122.0,0.0,46.0,5.0,19.0,0.0,45.0,53.0,8.0,0.0,26.0,16.0,7.0,13.0,100.0,22.0,9.0,76.0,17,031,170900,11.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0,4.0,23.0,44.0,22.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,36.0,0.0
"Census Tract 1710, Cook County, Illinois",0.0,81.0,0.0,0.0,0.0,7.0,39.0,34.0,0.0,186.0,0.0,13.0,0.0,72.0,0.0,0.0,56.0,35.0,105.0,114.0,96.0,100.0,154.0,605.0,187.0,92.0,79.0,137.0,450.0,172.0,58.0,0.0,128.0,37.0,99.0,125.0,61.0,49.0,39.0,14.0,114.0,17.0,262.0,76.0,46.0,13.0,161.0,104.0,17,031,171000,51.0,28.0,152.0,79.0,47.0,203.0,72.0,51.0,51.0,68.0,192.0,51.0,0.0,92.0,13.0,98.0,26.0,0.0,16.0,35.0,67.0,45.0
"Census Tract 1711, Cook County, Illinois",25.0,71.0,74.0,16.0,28.0,0.0,97.0,117.0,16.0,0.0,0.0,29.0,35.0,37.0,10.0,23.0,122.0,56.0,51.0,28.0,145.0,89.0,157.0,120.0,48.0,39.0,42.0,122.0,224.0,130.0,35.0,13.0,34.0,7.0,45.0,38.0,116.0,63.0,72.0,11.0,116.0,0.0,74.0,40.0,23.0,47.0,73.0,38.0,17,031,171100,25.0,23.0,15.0,70.0,12.0,84.0,29.0,17.0,52.0,32.0,51.0,50.0,0.0,13.0,20.0,44.0,0.0,0.0,0.0,63.0,72.0,9.0
"Census Tract 1801, Cook County, Illinois",0.0,8.0,115.0,56.0,63.0,14.0,43.0,93.0,82.0,90.0,0.0,0.0,59.0,1.0,1.0,3.0,41.0,181.0,243.0,66.0,61.0,207.0,118.0,438.0,73.0,72.0,121.0,177.0,224.0,174.0,95.0,36.0,236.0,25.0,73.0,26.0,80.0,0.0,32.0,0.0,100.0,0.0,278.0,61.0,16.0,35.0,173.0,117.0,17,031,180100,19.0,0.0,0.0,68.0,16.0,148.0,45.0,11.0,166.0,23.0,243.0,38.0,0.0,0.0,14.0,29.0,0.0,0.0,23.0,22.0,14.0,0.0
"Census Tract 1802, Cook County, Illinois",0.0,80.0,74.0,38.0,48.0,72.0,127.0,90.0,28.0,45.0,30.0,34.0,0.0,36.0,24.0,76.0,277.0,132.0,168.0,106.0,230.0,139.0,185.0,320.0,112.0,208.0,125.0,100.0,248.0,107.0,88.0,46.0,131.0,76.0,14.0,17.0,206.0,33.0,10.0,0.0,124.0,23.0,118.0,77.0,34.0,0.0,136.0,37.0,17,031,180200,22.0,0.0,58.0,82.0,120.0,54.0,8.0,17.0,44.0,6.0,26.0,4.0,0.0,6.0,23.0,0.0,22.0,0.0,61.0,32.0,23.0,11.0
"Census Tract 1803, Cook County, Illinois",0.0,9.0,0.0,0.0,0.0,0.0,25.0,49.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,57.0,64.0,9.0,24.0,16.0,70.0,45.0,10.0,15.0,0.0,80.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,45.0,17.0,0.0,23.0,31.0,17,031,180300,29.0,0.0,0.0,31.0,54.0,22.0,0.0,0.0,9.0,59.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,40.0,0.0,17.0,8.0
"Census Tract 1901, Cook County, Illinois",19.0,53.0,92.0,28.0,16.0,33.0,48.0,7.0,18.0,15.0,13.0,0.0,0.0,0.0,42.0,63.0,172.0,31.0,31.0,16.0,44.0,113.0,33.0,154.0,13.0,36.0,40.0,16.0,63.0,33.0,45.0,0.0,46.0,26.0,55.0,0.0,23.0,15.0,15.0,0.0,91.0,0.0,42.0,10.0,18.0,0.0,6.0,14.0,17,031,190100,30.0,0.0,0.0,0.0,18.0,30.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Census Tract 1902, Cook County, Illinois",0.0,59.0,92.0,74.0,75.0,82.0,68.0,66.0,61.0,40.0,0.0,84.0,25.0,91.0,32.0,75.0,128.0,50.0,153.0,10.0,187.0,63.0,149.0,215.0,81.0,141.0,337.0,208.0,266.0,181.0,218.0,35.0,128.0,7.0,27.0,20.0,98.0,54.0,21.0,8.0,106.0,0.0,41.0,59.0,30.0,67.0,51.0,64.0,17,031,190200,9.0,8.0,34.0,58.0,80.0,44.0,8.0,9.0,40.0,0.0,63.0,9.0,0.0,9.0,43.0,32.0,10.0,0.0,27.0,30.0,10.0,0.0
"Census Tract 1903, Cook County, Illinois",12.0,51.0,81.0,52.0,46.0,10.0,104.0,37.0,62.0,17.0,7.0,7.0,20.0,98.0,66.0,73.0,73.0,40.0,128.0,38.0,50.0,132.0,178.0,336.0,127.0,74.0,71.0,140.0,219.0,112.0,117.0,0.0,20.0,9.0,151.0,48.0,59.0,69.0,0.0,20.0,123.0,7.0,49.0,68.0,79.0,49.0,169.0,110.0,17,031,190300,9.0,39.0,8.0,29.0,11.0,87.0,0.0,19.0,50.0,13.0,165.0,10.0,0.0,0.0,11.0,92.0,11.0,0.0,0.0,0.0,64.0,20.0
"Census Tract 1904, Cook County, Illinois",0.0,37.0,47.0,222.0,73.0,123.0,171.0,122.0,60.0,10.0,62.0,0.0,138.0,210.0,46.0,50.0,163.0,114.0,188.0,47.0,297.0,363.0,338.0,605.0,107.0,268.0,135.0,304.0,445.0,308.0,154.0,24.0,76.0,62.0,64.0,20.0,156.0,47.0,26.0,0.0,220.0,63.0,126.0,59.0,72.0,23.0,194.0,57.0,17,031,190400,23.0,0.0,43.0,135.0,125.0,115.0,17.0,76.0,110.0,132.0,131.0,17.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,51.0,21.0,0.0
"Census Tract 1905, Cook County, Illinois",0.0,48.0,111.0,0.0,16.0,31.0,10.0,42.0,34.0,0.0,0.0,67.0,26.0,13.0,14.0,0.0,48.0,38.0,50.0,12.0,0.0,113.0,16.0,68.0,22.0,0.0,85.0,10.0,87.0,11.0,41.0,46.0,28.0,52.0,8.0,63.0,113.0,128.0,33.0,0.0,25.0,0.0,25.0,0.0,3.0,58.0,75.0,49.0,17,031,190500,40.0,11.0,0.0,54.0,12.0,49.0,0.0,0.0,40.0,7.0,59.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,13.0,0.0,11.0,0.0
"Census Tract 1906, Cook County, Illinois",87.0,68.0,118.0,173.0,75.0,51.0,193.0,189.0,107.0,84.0,20.0,17.0,0.0,128.0,86.0,96.0,203.0,0.0,151.0,103.0,132.0,427.0,428.0,323.0,134.0,121.0,337.0,195.0,457.0,232.0,160.0,0.0,189.0,0.0,73.0,16.0,217.0,33.0,83.0,39.0,20.0,0.0,196.0,121.0,139.0,32.0,202.0,92.0,17,031,190600,79.0,0.0,0.0,52.0,101.0,243.0,43.0,19.0,39.0,73.0,98.0,15.0,0.0,0.0,16.0,35.0,27.0,0.0,0.0,75.0,15.0,15.0
"Census Tract 1907, Cook County, Illinois",24.0,52.0,196.0,31.0,160.0,78.0,262.0,117.0,37.0,0.0,48.0,115.0,32.0,112.0,75.0,119.0,220.0,28.0,77.0,49.0,192.0,251.0,145.0,266.0,29.0,197.0,190.0,227.0,359.0,64.0,80.0,25.0,90.0,25.0,170.0,21.0,36.0,22.0,39.0,0.0,116.0,0.0,194.0,42.0,51.0,73.0,103.0,37.0,17,031,190700,11.0,0.0,0.0,71.0,22.0,33.0,11.0,0.0,15.0,96.0,50.0,11.0,0.0,0.0,0.0,34.0,37.0,24.0,0.0,39.0,44.0,16.0
"Census Tract 1908, Cook County, Illinois",26.0,79.0,150.0,218.0,14.0,215.0,251.0,134.0,12.0,7.0,9.0,51.0,95.0,156.0,76.0,161.0,131.0,151.0,44.0,7.0,213.0,293.0,125.0,194.0,30.0,194.0,390.0,141.0,102.0,32.0,94.0,18.0,205.0,22.0,33.0,0.0,56.0,18.0,29.0,0.0,85.0,31.0,80.0,22.0,40.0,0.0,52.0,38.0,17,031,190800,16.0,0.0,0.0,109.0,0.0,70.0,11.0,0.0,33.0,11.0,31.0,15.0,0.0,0.0,0.0,29.0,0.0,0.0,22.0,0.0,16.0,0.0
"Census Tract 1909, Cook County, Illinois",0.0,85.0,0.0,7.0,68.0,0.0,5.0,8.0,0.0,16.0,45.0,0.0,0.0,69.0,66.0,16.0,0.0,26.0,19.0,0.0,45.0,90.0,71.0,45.0,7.0,12.0,0.0,0.0,67.0,15.0,16.0,0.0,151.0,47.0,28.0,0.0,20.0,15.0,17.0,0.0,13.0,0.0,28.0,0.0,0.0,0.0,10.0,27.0,17,031,190900,4.0,0.0,15.0,3.0,7.0,32.0,0.0,0.0,44.0,35.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,30.0,0.0,0.0
"Census Tract 1910, Cook County, Illinois",0.0,0.0,0.0,38.0,45.0,92.0,150.0,4.0,65.0,0.0,0.0,43.0,20.0,42.0,70.0,61.0,114.0,63.0,11.0,16.0,4.0,63.0,43.0,0.0,16.0,109.0,20.0,0.0,59.0,0.0,47.0,0.0,36.0,13.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,28.0,70.0,45.0,0.0,0.0,22.0,17.0,17,031,191000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
"Census Tract 1911, Cook County, Illinois",64.0,219.0,134.0,224.0,199.0,98.0,202.0,89.0,114.0,28.0,99.0,77.0,88.0,148.0,143.0,82.0,174.0,101.0,273.0,53.0,180.0,265.0,270.0,180.0,33.0,211.0,337.0,171.0,181.0,30.0,93.0,0.0,0.0,12.0,46.0,18.0,56.0,52.0,13.0,0.0,141.0,0.0,73.0,63.0,73.0,13.0,30.0,52.0,17,031,191100,15.0,0.0,80.0,76.0,0.0,40.0,0.0,69.0,52.0,0.0,16.0,0.0,0.0,0.0,14.0,68.0,0.0,0.0,0.0,0.0,26.0,0.0
"Census Tract 1912, Cook County, Illinois",36.0,24.0,112.0,49.0,136.0,27.0,140.0,31.0,54.0,8.0,0.0,79.0,114.0,191.0,37.0,55.0,16.0,17.0,85.0,21.0,38.0,56.0,58.0,88.0,7.0,47.0,92.0,68.0,61.0,26.0,22.0,0.0,12.0,20.0,30.0,10.0,25.0,0.0,0.0,0.0,25.0,0.0,14.0,0.0,9.0,9.0,26.0,0.0,17,031,191200,0.0,0.0,0.0,8.0,0.0,21.0,0.0,0.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,11.0,0.0,0.0,0.0
"Census Tract 1913, Cook County, Illinois",49.0,451.0,117.0,121.0,132.0,173.0,428.0,107.0,67.0,134.0,0.0,188.0,22.0,180.0,196.0,200.0,504.0,85.0,184.0,88.0,253.0,292.0,239.0,226.0,56.0,422.0,302.0,190.0,242.0,24.0,167.0,0.0,137.0,0.0,106.0,28.0,178.0,14.0,42.0,0.0,257.0,30.0,138.0,10.0,90.0,40.0,165.0,64.0,17,031,191300,87.0,0.0,0.0,0.0,14.0,28.0,22.0,0.0,72.0,56.0,48.0,14.0,0.0,0.0,25.0,0.0,0.0,0.0,45.0,12.0,0.0,15.0
"Census Tract 1914, Cook County, Illinois",0.0,15.0,25.0,12.0,0.0,17.0,56.0,21.0,63.0,0.0,0.0,0.0,30.0,0.0,75.0,0.0,40.0,43.0,0.0,8.0,0.0,23.0,110.0,12.0,0.0,14.0,44.0,15.0,19.0,0.0,48.0,22.0,0.0,15.0,32.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.0,31.0,17,031,191400,0.0,0.0,0.0,45.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
"Census Tract 2001, Cook County, Illinois",0.0,76.0,0.0,46.0,87.0,119.0,51.0,9.0,64.0,9.0,0.0,20.0,117.0,19.0,77.0,81.0,115.0,27.0,8.0,74.0,99.0,71.0,253.0,259.0,32.0,45.0,73.0,32.0,54.0,88.0,64.0,11.0,94.0,0.0,57.0,0.0,77.0,0.0,20.0,0.0,123.0,37.0,72.0,0.0,88.0,0.0,66.0,20.0,17,031,200100,8.0,0.0,10.0,21.0,37.0,10.0,0.0,22.0,27.0,39.0,124.0,0.0,0.0,10.0,0.0,19.0,20.0,0.0,0.0,13.0,0.0,0.0
"Census Tract 2002, Cook County, Illinois",27.0,76.0,34.0,76.0,69.0,75.0,79.0,56.0,51.0,11.0,0.0,39.0,16.0,88.0,17.0,21.0,183.0,82.0,65.0,31.0,109.0,154.0,68.0,185.0,21.0,161.0,210.0,168.0,143.0,82.0,39.0,15.0,55.0,12.0,129.0,53.0,128.0,28.0,0.0,0.0,70.0,0.0,70.0,61.0,109.0,0.0,118.0,75.0,17,031,200200,10.0,11.0,0.0,61.0,19.0,80.0,12.0,0.0,31.0,50.0,62.0,8.0,0.0,0.0,17.0,7.0,7.0,0.0,7.0,20.0,48.0,0.0
"Census Tract 2003, Cook County, Illinois",0.0,33.0,27.0,14.0,0.0,0.0,96.0,12.0,0.0,22.0,0.0,38.0,10.0,23.0,0.0,46.0,36.0,37.0,203.0,31.0,48.0,0.0,65.0,164.0,9.0,29.0,26.0,30.0,107.0,31.0,57.0,15.0,0.0,0.0,99.0,0.0,13.0,0.0,0.0,0.0,20.0,0.0,32.0,0.0,19.0,30.0,12.0,10.0,17,031,200300,20.0,0.0,0.0,25.0,43.0,11.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
"Census Tract 2004, Cook County, Illinois",0.0,181.0,106.0,356.0,142.0,198.0,256.0,168.0,183.0,19.0,21.0,108.0,77.0,210.0,137.0,159.0,209.0,136.0,98.0,29.0,225.0,117.0,174.0,257.0,113.0,372.0,162.0,175.0,277.0,112.0,79.0,28.0,67.0,88.0,57.0,53.0,23.0,49.0,11.0,0.0,84.0,0.0,141.0,56.0,48.0,39.0,67.0,69.0,17,031,200400,25.0,0.0,24.0,0.0,36.0,88.0,15.0,23.0,119.0,36.0,32.0,37.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0
"Census Tract 2005, Cook County, Illinois",40.0,84.0,73.0,7.0,58.0,109.0,129.0,56.0,59.0,0.0,0.0,0.0,6.0,57.0,94.0,22.0,152.0,58.0,11.0,18.0,131.0,208.0,78.0,88.0,0.0,205.0,70.0,117.0,91.0,0.0,49.0,9.0,32.0,0.0,34.0,24.0,88.0,9.0,21.0,0.0,46.0,24.0,103.0,23.0,84.0,37.0,21.0,14.0,17,031,200500,6.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,18.0,22.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
"Census Tract 2006, Cook County, Illinois",11.0,0.0,0.0,13.0,24.0,18.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,0.0,36.0,39.0,0.0,0.0,0.0,13.0,0.0,61.0,0.0,8.0,21.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,21.0,0.0,0.0,0.0,45.0,0.0,17,031,200600,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,0.0,0.0
"Census Tract 2101, Cook County, Illinois",0.0,21.0,46.0,21.0,110.0,9.0,120.0,61.0,21.0,0.0,0.0,25.0,69.0,51.0,16.0,9.0,92.0,20.0,19.0,21.0,84.0,169.0,118.0,136.0,8.0,78.0,94.0,65.0,230.0,55.0,53.0,27.0,111.0,0.0,102.0,42.0,115.0,29.0,0.0,9.0,106.0,0.0,118.0,54.0,48.0,20.0,92.0,31.0,17,031,210100,54.0,0.0,13.0,96.0,82.0,78.0,16.0,8.0,142.0,83.0,46.0,26.0,0.0,18.0,10.0,34.0,0.0,8.0,9.0,57.0,55.0,38.0
"Census Tract 2102, Cook County, Illinois",0.0,16.0,0.0,58.0,49.0,64.0,24.0,12.0,40.0,0.0,0.0,0.0,0.0,18.0,13.0,29.0,95.0,19.0,26.0,0.0,0.0,81.0,0.0,43.0,16.0,0.0,57.0,20.0,44.0,7.0,0.0,0.0,26.0,0.0,7.0,0.0,47.0,0.0,40.0,0.0,59.0,0.0,19.0,0.0,0.0,0.0,6.0,19.0,17,031,210200,0.0,0.0,0.0,21.0,30.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,44.0,0.0,0.0
"Census Tract 2103, Cook County, Illinois",0.0,128.0,94.0,149.0,63.0,192.0,60.0,90.0,112.0,11.0,0.0,15.0,12.0,25.0,13.0,156.0,43.0,29.0,182.0,42.0,30.0,125.0,123.0,191.0,26.0,94.0,128.0,109.0,112.0,106.0,46.0,29.0,119.0,72.0,124.0,35.0,108.0,25.0,30.0,0.0,70.0,0.0,183.0,60.0,106.0,0.0,96.0,39.0,17,031,210300,30.0,19.0,11.0,108.0,117.0,0.0,42.0,10.0,216.0,93.0,87.0,0.0,0.0,50.0,37.0,81.0,0.0,0.0,66.0,0.0,57.0,8.0
