NAME,B15001_004E,B15001_005E,B15001_012E,B15001_013E,B15001_020E,B15001_021E,B15001_028E,B15001_029E,B15001_036E,B15001_037E,B15001_045E,B15001_046E,B15001_053E,B15001_054E,B15001_061E,B15001_062E,B15001_069E,B15001_070E,B15001_077E,B15001_078E,B15001_006E,B15001_014E,B15001_022E,B15001_030E,B15001_038E,B15001_047E,B15001_055E,B15001_063E,B15001_071E,B15001_079E,B15001_007E,B15001_008E,B15001_015E,B15001_016E,B15001_023E,B15001_024E,B15001_031E,B15001_032E,B15001_039E,B15001_040E,B15001_048E,B15001_049E,B15001_056E,B15001_057E,B15001_064E,B15001_065E,B15001_072E,B15001_073E,state,county,tract,B15001_080E,B15001_081E,B15001_009E,B15001_017E,B15001_025E,B15001_033E,B15001_041E,B15001_050E,B15001_058E,B15001_066E,B15001_074E,B15001_082E,B15001_010E,B15001_018E,B15001_026E,B15001_034E,B15001_042E,B15001_051E,B15001_059E,B15001_067E,B15001_075E,B15001_083E
"Census Tract 8045.04, Cook County, Illinois",0.0,168.0,138.0,73.0,184.0,179.0,298.0,56.0,27.0,9.0,0.0,16.0,179.0,129.0,118.0,86.0,169.0,130.0,104.0,72.0,191.0,277.0,219.0,158.0,81.0,114.0,193.0,191.0,207.0,94.0,86.0,22.0,113.0,19.0,66.0,0.0,73.0,58.0,0.0,9.0,109.0,4.0,131.0,32.0,37.0,31.0,105.0,22.0,17,031,804504,0.0,0.0,0.0,0.0,108.0,90.0,19.0,12.0,100.0,62.0,99.0,11.0,0.0,9.0,52.0,44.0,0.0,0.0,20.0,37.0,0.0,0.0
"Census Tract 8045.05, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,21.0,0.0,0.0,0.0,22.0,0.0,11.0,20.0,2.0,32.0,23.0,17.0,123.0,55.0,122.0,36.0,30.0,71.0,107.0,131.0,82.0,8.0,12.0,64.0,22.0,46.0,24.0,83.0,17.0,11.0,11.0,89.0,0.0,67.0,36.0,47.0,28.0,147.0,38.0,17,031,804505,21.0,0.0,14.0,70.0,73.0,79.0,0.0,8.0,71.0,70.0,57.0,0.0,0.0,30.0,13.0,47.0,0.0,0.0,51.0,13.0,61.0,0.0
"Census Tract 8046.03, Cook County, Illinois",44.0,55.0,13.0,91.0,0.0,33.0,0.0,67.0,0.0,15.0,16.0,54.0,0.0,30.0,0.0,36.0,68.0,0.0,53.0,37.0,233.0,32.0,52.0,118.0,49.0,28.0,69.0,43.0,102.0,37.0,47.0,18.0,118.0,14.0,63.0,16.0,63.0,21.0,15.0,0.0,46.0,6.0,102.0,54.0,16.0,110.0,75.0,63.0,17,031,804603,51.0,0.0,112.0,265.0,133.0,193.0,54.0,18.0,309.0,91.0,167.0,19.0,0.0,198.0,78.0,47.0,15.0,30.0,10.0,53.0,57.0,0.0
"Census Tract 8046.04, Cook County, Illinois",0.0,0.0,0.0,20.0,0.0,14.0,60.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,69.0,10.0,60.0,25.0,31.0,19.0,84.0,196.0,44.0,196.0,126.0,98.0,99.0,153.0,336.0,297.0,173.0,0.0,102.0,14.0,92.0,63.0,115.0,125.0,106.0,40.0,116.0,0.0,220.0,0.0,86.0,48.0,218.0,163.0,17,031,804604,81.0,60.0,47.0,287.0,250.0,545.0,118.0,55.0,309.0,327.0,352.0,30.0,17.0,161.0,308.0,212.0,0.0,11.0,129.0,148.0,219.0,0.0
"Census Tract 8046.05, Cook County, Illinois",0.0,0.0,23.0,17.0,0.0,0.0,0.0,83.0,38.0,23.0,0.0,0.0,0.0,0.0,37.0,0.0,73.0,0.0,24.0,0.0,44.0,64.0,76.0,273.0,172.0,29.0,115.0,73.0,370.0,416.0,97.0,0.0,89.0,11.0,52.0,78.0,259.0,41.0,80.0,22.0,67.0,0.0,66.0,17.0,95.0,35.0,298.0,103.0,17,031,804605,172.0,12.0,41.0,180.0,116.0,285.0,49.0,46.0,120.0,184.0,148.0,27.0,0.0,20.0,73.0,109.0,19.0,0.0,136.0,53.0,163.0,12.0
"Census Tract 8046.06, Cook County, Illinois",8.0,0.0,0.0,0.0,6.0,0.0,0.0,16.0,15.0,0.0,0.0,100.0,0.0,0.0,6.0,14.0,0.0,13.0,14.0,16.0,90.0,42.0,61.0,311.0,30.0,70.0,76.0,86.0,174.0,78.0,76.0,0.0,35.0,30.0,98.0,36.0,265.0,44.0,104.0,0.0,78.0,28.0,31.0,0.0,107.0,41.0,386.0,133.0,17,031,804606,46.0,37.0,13.0,222.0,258.0,267.0,49.0,79.0,86.0,221.0,368.0,33.0,0.0,68.0,113.0,311.0,37.0,0.0,142.0,58.0,63.0,0.0
"Census Tract 8046.07, Cook County, Illinois",0.0,13.0,0.0,12.0,0.0,0.0,41.0,22.0,16.0,0.0,0.0,21.0,0.0,18.0,0.0,0.0,0.0,122.0,73.0,22.0,28.0,229.0,116.0,244.0,38.0,70.0,24.0,60.0,302.0,165.0,63.0,0.0,43.0,17.0,123.0,23.0,146.0,132.0,60.0,0.0,86.0,110.0,102.0,120.0,63.0,59.0,204.0,153.0,17,031,804607,64.0,14.0,88.0,57.0,260.0,313.0,41.0,72.0,106.0,293.0,280.0,93.0,0.0,65.0,57.0,174.0,57.0,0.0,44.0,51.0,205.0,26.0
"Census Tract 8047.01, Cook County, Illinois",0.0,40.0,0.0,75.0,0.0,26.0,33.0,36.0,17.0,0.0,0.0,33.0,21.0,25.0,12.0,9.0,29.0,25.0,92.0,104.0,72.0,103.0,201.0,188.0,65.0,97.0,0.0,126.0,359.0,280.0,53.0,0.0,182.0,49.0,42.0,0.0,156.0,0.0,43.0,0.0,84.0,40.0,310.0,69.0,109.0,34.0,231.0,26.0,17,031,804701,76.0,0.0,17.0,270.0,105.0,27.0,49.0,79.0,184.0,100.0,206.0,48.0,0.0,178.0,0.0,99.0,53.0,0.0,98.0,79.0,38.0,18.0
"Census Tract 8047.05, Cook County, Illinois",0.0,16.0,0.0,18.0,0.0,49.0,46.0,71.0,15.0,28.0,0.0,11.0,0.0,0.0,14.0,15.0,66.0,89.0,15.0,40.0,24.0,117.0,44.0,201.0,74.0,11.0,79.0,12.0,230.0,40.0,34.0,0.0,85.0,38.0,54.0,0.0,122.0,11.0,33.0,12.0,37.0,9.0,50.0,62.0,113.0,21.0,124.0,28.0,17,031,804705,67.0,54.0,12.0,115.0,51.0,127.0,29.0,16.0,174.0,92.0,124.0,12.0,0.0,23.0,129.0,79.0,33.0,0.0,39.0,56.0,67.0,0.0
"Census Tract 8047.06, Cook County, Illinois",0.0,43.0,0.0,0.0,14.0,0.0,0.0,39.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,0.0,44.0,46.0,69.0,94.0,9.0,0.0,42.0,10.0,108.0,75.0,63.0,0.0,0.0,0.0,43.0,24.0,94.0,27.0,34.0,5.0,23.0,0.0,28.0,10.0,29.0,40.0,61.0,102.0,17,031,804706,51.0,16.0,0.0,56.0,59.0,159.0,38.0,0.0,54.0,76.0,95.0,20.0,0.0,0.0,20.0,40.0,32.0,0.0,0.0,10.0,80.0,14.0
"Census Tract 8047.07, Cook County, Illinois",0.0,22.0,40.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,46.0,0.0,45.0,34.0,0.0,42.0,0.0,0.0,90.0,80.0,113.0,187.0,116.0,140.0,42.0,27.0,150.0,209.0,159.0,93.0,89.0,165.0,27.0,166.0,88.0,244.0,12.0,45.0,0.0,61.0,0.0,71.0,125.0,143.0,54.0,99.0,102.0,17,031,804707,157.0,13.0,31.0,721.0,230.0,136.0,35.0,75.0,423.0,121.0,282.0,56.0,0.0,258.0,102.0,139.0,30.0,8.0,165.0,37.0,63.0,0.0
"Census Tract 8047.08, Cook County, Illinois",0.0,146.0,0.0,68.0,31.0,81.0,45.0,10.0,11.0,12.0,0.0,53.0,42.0,13.0,29.0,0.0,58.0,63.0,14.0,28.0,173.0,170.0,120.0,169.0,51.0,68.0,210.0,123.0,262.0,72.0,212.0,0.0,152.0,34.0,137.0,78.0,315.0,84.0,44.0,16.0,93.0,0.0,99.0,63.0,72.0,82.0,337.0,136.0,17,031,804708,17.0,29.0,133.0,72.0,196.0,382.0,48.0,0.0,211.0,122.0,486.0,39.0,18.0,129.0,90.0,142.0,28.0,16.0,58.0,76.0,135.0,0.0
"Census Tract 8047.09, Cook County, Illinois",41.0,16.0,0.0,0.0,53.0,0.0,40.0,163.0,0.0,30.0,35.0,0.0,0.0,0.0,36.0,74.0,19.0,67.0,110.0,73.0,107.0,168.0,238.0,240.0,176.0,102.0,78.0,106.0,190.0,361.0,81.0,0.0,137.0,116.0,116.0,47.0,79.0,123.0,93.0,27.0,168.0,26.0,125.0,48.0,91.0,32.0,155.0,55.0,17,031,804709,119.0,42.0,35.0,240.0,56.0,198.0,80.0,55.0,216.0,123.0,202.0,112.0,0.0,111.0,35.0,64.0,42.0,12.0,19.0,53.0,40.0,46.0
"Census Tract 8047.10, Cook County, Illinois",0.0,11.0,31.0,0.0,0.0,0.0,9.0,22.0,0.0,11.0,0.0,8.0,30.0,0.0,0.0,0.0,0.0,16.0,76.0,20.0,24.0,77.0,238.0,137.0,80.0,40.0,72.0,40.0,218.0,105.0,107.0,21.0,95.0,0.0,43.0,49.0,158.0,35.0,14.0,0.0,86.0,8.0,62.0,9.0,101.0,28.0,143.0,87.0,17,031,804710,38.0,0.0,95.0,113.0,61.0,167.0,11.0,15.0,133.0,95.0,174.0,11.0,0.0,74.0,25.0,59.0,0.0,0.0,31.0,40.0,52.0,10.0
"Census Tract 8047.11, Cook County, Illinois",0.0,40.0,21.0,16.0,9.0,11.0,42.0,35.0,0.0,0.0,14.0,160.0,133.0,27.0,19.0,34.0,43.0,25.0,0.0,94.0,75.0,141.0,98.0,22.0,72.0,52.0,80.0,138.0,173.0,153.0,214.0,0.0,149.0,73.0,70.0,27.0,173.0,0.0,93.0,16.0,105.0,0.0,30.0,82.0,115.0,11.0,227.0,29.0,17,031,804711,57.0,17.0,56.0,399.0,107.0,121.0,44.0,71.0,275.0,123.0,199.0,41.0,0.0,141.0,96.0,175.0,17.0,0.0,73.0,69.0,70.0,0.0
"Census Tract 8047.12, Cook County, Illinois",10.0,36.0,0.0,26.0,11.0,0.0,0.0,17.0,19.0,16.0,0.0,32.0,0.0,12.0,0.0,0.0,19.0,36.0,19.0,29.0,127.0,131.0,45.0,131.0,64.0,49.0,22.0,58.0,280.0,27.0,112.0,16.0,73.0,11.0,49.0,28.0,194.0,130.0,36.0,0.0,186.0,0.0,56.0,21.0,86.0,36.0,186.0,87.0,17,031,804712,19.0,10.0,18.0,108.0,77.0,296.0,25.0,64.0,110.0,145.0,204.0,41.0,9.0,56.0,63.0,88.0,25.0,0.0,45.0,78.0,104.0,31.0
"Census Tract 8048.03, Cook County, Illinois",0.0,76.0,11.0,29.0,17.0,0.0,76.0,0.0,0.0,20.0,0.0,0.0,0.0,28.0,0.0,0.0,15.0,0.0,16.0,23.0,47.0,28.0,59.0,200.0,40.0,65.0,65.0,82.0,173.0,92.0,163.0,0.0,81.0,16.0,138.0,89.0,149.0,45.0,76.0,11.0,132.0,45.0,73.0,101.0,138.0,70.0,189.0,49.0,17,031,804803,24.0,0.0,48.0,155.0,97.0,189.0,34.0,43.0,190.0,137.0,137.0,20.0,0.0,23.0,61.0,77.0,0.0,0.0,132.0,36.0,38.0,30.0
"Census Tract 8048.04, Cook County, Illinois",0.0,46.0,22.0,0.0,0.0,32.0,20.0,17.0,34.0,12.0,0.0,142.0,0.0,47.0,19.0,0.0,53.0,0.0,12.0,42.0,171.0,70.0,130.0,258.0,110.0,99.0,138.0,132.0,306.0,222.0,159.0,6.0,133.0,10.0,76.0,24.0,182.0,62.0,36.0,0.0,162.0,23.0,88.0,23.0,82.0,15.0,246.0,44.0,17,031,804804,58.0,70.0,72.0,143.0,89.0,50.0,34.0,90.0,236.0,149.0,101.0,39.0,10.0,33.0,13.0,38.0,12.0,0.0,37.0,57.0,43.0,0.0
"Census Tract 8048.05, Cook County, Illinois",0.0,13.0,79.0,0.0,54.0,17.0,5.0,0.0,49.0,13.0,29.0,0.0,9.0,6.0,20.0,0.0,0.0,53.0,65.0,25.0,86.0,52.0,76.0,162.0,48.0,106.0,48.0,159.0,303.0,119.0,108.0,46.0,205.0,0.0,112.0,81.0,231.0,173.0,116.0,0.0,50.0,0.0,69.0,53.0,144.0,59.0,261.0,146.0,17,031,804805,129.0,0.0,75.0,100.0,103.0,240.0,78.0,82.0,65.0,138.0,102.0,0.0,0.0,53.0,85.0,123.0,0.0,0.0,58.0,45.0,147.0,0.0
"Census Tract 8048.06, Cook County, Illinois",0.0,44.0,0.0,6.0,13.0,31.0,3.0,38.0,0.0,19.0,0.0,0.0,9.0,8.0,14.0,20.0,19.0,31.0,21.0,0.0,99.0,25.0,79.0,123.0,40.0,56.0,28.0,93.0,137.0,28.0,35.0,0.0,36.0,11.0,12.0,105.0,73.0,20.0,26.0,0.0,63.0,0.0,50.0,30.0,34.0,10.0,42.0,21.0,17,031,804806,21.0,8.0,8.0,81.0,84.0,63.0,9.0,7.0,59.0,112.0,100.0,24.0,0.0,14.0,19.0,69.0,0.0,6.0,4.0,40.0,27.0,8.0
"Census Tract 8048.07, Cook County, Illinois",0.0,13.0,10.0,16.0,14.0,0.0,0.0,55.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,9.0,9.0,43.0,0.0,23.0,55.0,59.0,112.0,186.0,72.0,0.0,88.0,60.0,228.0,117.0,85.0,24.0,88.0,35.0,65.0,0.0,205.0,29.0,80.0,22.0,62.0,10.0,17.0,25.0,108.0,60.0,177.0,42.0,17,031,804807,85.0,0.0,5.0,110.0,120.0,101.0,0.0,21.0,67.0,119.0,152.0,46.0,0.0,25.0,10.0,115.0,22.0,0.0,93.0,50.0,56.0,11.0
"Census Tract 8048.08, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,24.0,40.0,0.0,18.0,90.0,13.0,6.0,33.0,48.0,133.0,35.0,104.0,0.0,0.0,0.0,76.0,0.0,150.0,37.0,34.0,27.0,28.0,32.0,0.0,0.0,67.0,32.0,102.0,72.0,17,031,804808,0.0,0.0,0.0,49.0,44.0,87.0,19.0,24.0,41.0,49.0,40.0,53.0,0.0,7.0,34.0,51.0,12.0,0.0,11.0,11.0,55.0,0.0
"Census Tract 8048.09, Cook County, Illinois",0.0,17.0,0.0,0.0,0.0,0.0,8.0,28.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,42.0,46.0,27.0,99.0,45.0,26.0,39.0,84.0,70.0,74.0,30.0,125.0,159.0,96.0,29.0,0.0,80.0,29.0,41.0,39.0,204.0,55.0,45.0,23.0,84.0,19.0,28.0,0.0,87.0,57.0,162.0,70.0,17,031,804809,56.0,0.0,15.0,90.0,93.0,210.0,33.0,31.0,30.0,43.0,122.0,0.0,0.0,8.0,11.0,31.0,30.0,0.0,62.0,39.0,62.0,20.0
