NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 1608, Cook County, Illinois",2491.0,2986.0,17,031,160800
"Census Tract 1609, Cook County, Illinois",2109.0,739.0,17,031,160900
"Census Tract 1610, Cook County, Illinois",1445.0,355.0,17,031,161000
"Census Tract 1611, Cook County, Illinois",1909.0,128.0,17,031,161100
"Census Tract 1612, Cook County, Illinois",1150.0,1671.0,17,031,161200
"Census Tract 1613, Cook County, Illinois",1898.0,2599.0,17,031,161300
"Census Tract 1701, Cook County, Illinois",1822.0,570.0,17,031,170100
"Census Tract 1702, Cook County, Illinois",2657.0,874.0,17,031,170200
"Census Tract 1703, Cook County, Illinois",4606.0,1130.0,17,031,170300
"Census Tract 1704, Cook County, Illinois",3569.0,502.0,17,031,170400
"Census Tract 1705, Cook County, Illinois",4194.0,962.0,17,031,170500
"Census Tract 1706, Cook County, Illinois",2376.0,304.0,17,031,170600
"Census Tract 1707, Cook County, Illinois",3104.0,550.0,17,031,170700
"Census Tract 1708, Cook County, Illinois",3482.0,539.0,17,031,170800
"Census Tract 1709, Cook County, Illinois",1562.0,197.0,17,031,170900
"Census Tract 1710, Cook County, Illinois",5320.0,1843.0,17,031,171000
"Census Tract 1711, Cook County, Illinois",2780.0,1721.0,17,031,171100
"Census Tract 1801, Cook County, Illinois",3940.0,2805.0,17,031,180100
"Census Tract 1802, Cook County, Illinois",2004.0,4585.0,17,031,180200
"Census Tract 1803, Cook County, Illinois",527.0,695.0,17,031,180300
"Census Tract 1901, Cook County, Illinois",584.0,1849.0,17,031,190100
"Census Tract 1902, Cook County, Illinois",1762.0,4558.0,17,031,190200
"Census Tract 1903, Cook County, Illinois",2399.0,3042.0,17,031,190300
"Census Tract 1904, Cook County, Illinois",4179.0,6103.0,17,031,190400
"Census Tract 1905, Cook County, Illinois",1269.0,1422.0,17,031,190500
"Census Tract 1906, Cook County, Illinois",3039.0,6992.0,17,031,190600
"Census Tract 1907, Cook County, Illinois",1968.0,5849.0,17,031,190700
"Census Tract 1908, Cook County, Illinois",1000.0,6297.0,17,031,190800
"Census Tract 1909, Cook County, Illinois",491.0,1516.0,17,031,190900
"Census Tract 1910, Cook County, Illinois",158.0,2105.0,17,031,191000
"Census Tract 1911, Cook County, Illinois",1865.0,6384.0,17,031,191100
"Census Tract 1912, Cook County, Illinois",1041.0,2763.0,17,031,191200
"Census Tract 1913, Cook County, Illinois",2419.0,9119.0,17,031,191300
"Census Tract 1914, Cook County, Illinois",267.0,1008.0,17,031,191400
"Census Tract 2001, Cook County, Illinois",1147.0,3345.0,17,031,200100
"Census Tract 2002, Cook County, Illinois",875.0,4677.0,17,031,200200
"Census Tract 2003, Cook County, Illinois",371.0,1870.0,17,031,200300
"Census Tract 2004, Cook County, Illinois",967.0,7760.0,17,031,200400
"Census Tract 2005, Cook County, Illinois",435.0,3790.0,17,031,200500
"Census Tract 2006, Cook County, Illinois",135.0,688.0,17,031,200600
"Census Tract 2101, Cook County, Illinois",2139.0,2521.0,17,031,210100
