community_area,NAME,not_hispanic,hispanic,state,county,population,period
NORTH CENTER,"Census Tract 501, Cook County, Illinois",0.8672558703751841,0.13274412962481588,17,31,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",0.9449548878404106,0.05504511215958944,17,31,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",0.8193152891059275,0.18068471089407243,17,31,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",0.8650266442806044,0.1349733557193956,17,31,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",0.967433628318584,0.03256637168141593,17,31,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",0.8327402135231317,0.16725978647686832,17,31,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",0.6550139380697657,0.3449860619302343,17,31,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",0.9192405063291139,0.08075949367088607,17,31,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",0.9946996466431095,0.00530035335689046,17,31,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",0.7426280623608018,0.25737193763919824,17,31,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",0.9949029759396384,0.0050970240603616076,17,31,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",0.7449994252212898,0.2550005747787102,17,31,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",0.6941607898448519,0.3058392101551481,17,31,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",0.17871553463349024,0.8212844653665098,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",0.9870861661247413,0.012913833875258646,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",0.8414349925087398,0.1585650074912602,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",0.9961764497627983,0.0038235502372017277,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",0.9896503952408117,0.01034960475918833,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",0.24642446161433504,0.7535755383856649,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",0.9812421743958043,0.018757825604195706,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",0.9819871262458472,0.018012873754152822,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",0.27154007805463826,0.7284599219453618,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",0.9632900831439339,0.036709916856066054,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",0.810428978655357,0.189571021344643,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",0.6980799962943234,0.3019200037056766,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",0.9861170439982914,0.013882956001708672,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",0.4919327413565086,0.5080672586434914,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",0.24382054579225604,0.756179454207744,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",0.9607942238267148,0.039205776173285196,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",0.6406363147936182,0.35936368520638184,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",0.985885614668879,0.014114385331120959,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",0.8972129454122414,0.10278705458775862,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",0.9941572588631412,0.005842741136858784,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.39829230257944115,0.6017076974205589,17,31,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",0.20588346886896255,0.7941165311310374,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",0.9443386344157699,0.05566136558423007,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",0.7200601145934438,0.27993988540655623,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",0.15003399048266486,0.8499660095173351,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",1.0,0.0,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",0.9612686567164179,0.03873134328358209,17,31,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",0.9926967897628044,0.007303210237195567,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",0.5455385216634395,0.4544614783365605,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",0.5090381154915753,0.49096188450842465,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",0.9780751415337108,0.021924858466289242,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",0.7385780317283348,0.26142196827166514,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",0.9664545409698584,0.03354545903014158,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",0.19339483550275918,0.8066051644972408,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",0.836947094535993,0.16305290546400694,17,31,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.9220412990084599,0.07795870099154006,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",0.9801077041433125,0.019892295856687548,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",0.872442905076307,0.12755709492369305,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",0.9248918600078647,0.07510813999213527,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",0.07728882395185854,0.9227111760481415,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",0.5597098696140229,0.44029013038597703,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",0.9789623185832852,0.02103768141671475,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",0.981673719139091,0.018326280860909008,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.4766545298779182,0.5233454701220818,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",0.10718312127556773,0.8928168787244323,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",0.48463725580115563,0.5153627441988443,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",0.9533841084643224,0.046615891535677634,17,31,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",0.5298636926889715,0.4701363073110285,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",0.8007784986098239,0.19922150139017608,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",0.9693581780538302,0.03064182194616977,17,31,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",0.9228100706410359,0.07718992935896409,17,31,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",0.9276584130642447,0.07234158693575533,17,31,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",0.8423142084102461,0.15768579158975396,17,31,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",0.5319964890959422,0.4680035109040578,17,31,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",0.9405064943541545,0.059493505645845574,17,31,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",0.18062265930987165,0.8193773406901284,17,31,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",0.4232476138367074,0.5767523861632926,17,31,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",0.41736760124610595,0.582632398753894,17,31,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",0.9731511808308912,0.026848819169108775,17,31,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",0.9433458626137169,0.05665413738628316,17,31,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",0.9458288336933045,0.05417116630669547,17,31,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",0.9353344534762272,0.06466554652377277,17,31,22021.0,2010-2014
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",0.8973497003344709,0.10265029966552913,17,31,58899.0,2010-2014
NEW CITY,"Census Tract 8438, Cook County, Illinois",0.43420356747920574,0.5657964325207943,17,31,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",0.861640097659055,0.138359902340945,17,31,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",0.9338068102068888,0.06619318979311119,17,31,35623.0,2010-2014
NORTH PARK,"Census Tract 1302, Cook County, Illinois",0.786022815372688,0.213977184627312,17,31,18058.0,2010-2014
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",0.8764457600175409,0.12355423998245903,17,31,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",0.9840686274509803,0.015931372549019607,17,31,3264.0,2010-2014
OHARE,"Census Tract 9800, Cook County, Illinois",0.8815668528600721,0.11843314713992788,17,31,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",0.5812314712775699,0.41876852872243003,17,31,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",0.9182209469153515,0.08177905308464849,17,31,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",0.9749652294853964,0.025034770514603615,17,31,7190.0,2010-2014
ROGERS PARK,"Census Tract 102.01, Cook County, Illinois",0.7401585756016136,0.2598414243983864,17,31,50323.0,2010-2014
ROSELAND,"Census Tract 4905, Cook County, Illinois",0.9889533964352678,0.011046603564732194,17,31,44267.0,2010-2014
SOUTH CHICAGO,"Census Tract 4602, Cook County, Illinois",0.7725394045534151,0.22746059544658495,17,31,28550.0,2010-2014
SOUTH DEERING,"Census Tract 5103, Cook County, Illinois",0.6833012202954399,0.31669877970456006,17,31,15570.0,2010-2014
SOUTH LAWNDALE,"Census Tract 3007, Cook County, Illinois",0.15617239060934948,0.8438276093906505,17,31,72881.0,2010-2014
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",0.9792930825242718,0.020706917475728157,17,31,39552.0,2010-2014
UPTOWN,"Census Tract 317, Cook County, Illinois",0.8711849358144352,0.1288150641855647,17,31,54062.0,2010-2014
WASHINGTON HEIGHTS,"Census Tract 7303, Cook County, Illinois",0.9864195195763192,0.013580480423680727,17,31,26435.0,2010-2014
WASHINGTON PARK,"Census Tract 8361, Cook County, Illinois",0.9788786812054606,0.021121318794539365,17,31,11647.0,2010-2014
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",0.19885207409339942,0.8011479259066006,17,31,19165.0,2010-2014
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",0.962155695611578,0.03784430438842203,17,31,34272.0,2010-2014
WEST GARFIELD PARK,"Census Tract 2606, Cook County, Illinois",0.9788721207307387,0.021127879269261317,17,31,18885.0,2010-2014
WEST LAWN,"Census Tract 6503.01, Cook County, Illinois",0.19568659079367925,0.8043134092063208,17,31,33477.0,2010-2014
WEST PULLMAN,"Census Tract 5305.01, Cook County, Illinois",0.9547230113636364,0.04527698863636364,17,31,28160.0,2010-2014
WEST RIDGE,"Census Tract 202, Cook County, Illinois",0.8207589805393117,0.17924101946068832,17,31,73019.0,2010-2014
WEST TOWN,"Census Tract 2407, Cook County, Illinois",0.7185687686049408,0.28143123139505927,17,31,84319.0,2010-2014
WOODLAWN,"Census Tract 8439, Cook County, Illinois",0.9757573376291698,0.024242662370830222,17,31,25451.0,2010-2014
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.5502750672609725,0.4497249327390274,17,31,49806.0,2015-2019
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.2258487541891301,0.7741512458108699,17,31,13726.0,2015-2019
ARMOUR SQUARE,"Census Tract 3406, Cook County, Illinois",0.9567882996011228,0.043211700398877236,17,31,13538.0,2015-2019
ASHBURN,"Census Tract 7002, Cook County, Illinois",0.5867238675154535,0.41327613248454653,17,31,43356.0,2015-2019
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.9781959964277157,0.021804003572284302,17,31,45909.0,2015-2019
AUSTIN,"Census Tract 8313, Cook County, Illinois",0.8494243921175328,0.15057560788246716,17,31,93727.0,2015-2019
AVALON PARK,"Census Tract 8343, Cook County, Illinois",0.999073406774426,0.000926593225573973,17,31,9713.0,2015-2019
AVONDALE,"Census Tract 8311, Cook County, Illinois",0.43672280812214703,0.563277191877853,17,31,38118.0,2015-2019
BELMONT CRAGIN,"Census Tract 1910, Cook County, Illinois",0.1882291573898551,0.8117708426101449,17,31,78601.0,2015-2019
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.9505835986054267,0.04941640139457329,17,31,19791.0,2015-2019
BRIDGEPORT,"Census Tract 6007, Cook County, Illinois",0.7811812391430226,0.2188187608569774,17,31,34540.0,2015-2019
BRIGHTON PARK,"Census Tract 5807, Cook County, Illinois",0.19104991394148021,0.8089500860585198,17,31,44156.0,2015-2019
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.9805583250249252,0.019441674975074777,17,31,2006.0,2015-2019
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",0.9627779945376512,0.03722200546234881,17,31,12815.0,2015-2019
CHATHAM,"Census Tract 4409, Cook County, Illinois",0.9915393806309943,0.008460619369005716,17,31,30967.0,2015-2019
CHICAGO LAWN,"Census Tract 6610, Cook County, Illinois",0.48432388222464556,0.5156761177753544,17,31,51352.0,2015-2019
CLEARING,"Census Tract 6404, Cook County, Illinois",0.4594010249839846,0.5405989750160154,17,31,24976.0,2015-2019
DOUGLAS,"Census Tract 3510, Cook County, Illinois",0.9658127663560155,0.03418723364398445,17,31,21353.0,2015-2019
DUNNING,"Census Tract 1709, Cook County, Illinois",0.7041086431119806,0.2958913568880193,17,31,43445.0,2015-2019
EAST GARFIELD PARK,"Census Tract 2705, Cook County, Illinois",0.9716473072861669,0.028352692713833158,17,31,18940.0,2015-2019
EAST SIDE,"Census Tract 5204, Cook County, Illinois",0.18028917084685747,0.8197108291531425,17,31,23723.0,2015-2019
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",0.8479073041312469,0.15209269586875304,17,31,55407.0,2015-2019
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.8995916193181818,0.10040838068181818,17,31,11264.0,2015-2019
ENGLEWOOD,"Census Tract 6814, Cook County, Illinois",0.9630906155926879,0.03690938440731207,17,31,22921.0,2015-2019
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",0.8486896409409822,0.15131035905901774,17,31,19384.0,2015-2019
FULLER PARK,"Census Tract 8355, Cook County, Illinois",0.9489270386266094,0.051072961373390555,17,31,2330.0,2015-2019
GAGE PARK,"Census Tract 6302, Cook County, Illinois",0.08687763487912908,0.9131223651208709,17,31,37478.0,2015-2019
GARFIELD RIDGE,"Census Tract 5609, Cook County, Illinois",0.4901228263498804,0.5098771736501196,17,31,37207.0,2015-2019
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",0.9773439915205582,0.02265600847944177,17,31,22643.0,2015-2019
GREATER GRAND CROSSING,"Census Tract 6911, Cook County, Illinois",0.9826196557099738,0.017380344290026203,17,31,30149.0,2015-2019
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.3958631312575641,0.6041368687424359,17,31,9089.0,2015-2019
HERMOSA,"Census Tract 2001, Cook County, Illinois",0.17541842340615818,0.8245815765938418,17,31,23481.0,2015-2019
HUMBOLDT PARK,"Census Tract 2307, Cook County, Illinois",0.41626327577487177,0.5837367242251282,17,31,55364.0,2015-2019
HYDE PARK,"Census Tract 4108, Cook County, Illinois",0.9321305841924399,0.06786941580756013,17,31,18624.0,2015-2019
IRVING PARK,"Census Tract 1609, Cook County, Illinois",0.5810573510181207,0.41894264898187933,17,31,53530.0,2015-2019
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",0.7525360869723303,0.2474639130276697,17,31,27503.0,2015-2019
KENWOOD,"Census Tract 3904, Cook County, Illinois",0.9700365601653155,0.02996343983468447,17,31,12582.0,2015-2019
LAKE VIEW,"Census Tract 8319, Cook County, Illinois",0.9100388377605413,0.08996116223945871,17,31,89861.0,2015-2019
LINCOLN PARK,"Census Tract 8325, Cook County, Illinois",0.9375224933419708,0.062477506658029223,17,31,69465.0,2015-2019
LINCOLN SQUARE,"Census Tract 8308, Cook County, Illinois",0.8192290335605539,0.18077096643944612,17,31,42103.0,2015-2019
LOGAN SQUARE,"Census Tract 8309, Cook County, Illinois",0.6114333283294895,0.3885666716705105,17,31,73277.0,2015-2019
LOOP,"Census Tract 8390, Cook County, Illinois",0.9120941663432932,0.08790583365670676,17,31,38655.0,2015-2019
LOWER WEST SIDE,"Census Tract 3104, Cook County, Illinois",0.297443002138361,0.702556997861639,17,31,33203.0,2015-2019
MCKINLEY PARK,"Census Tract 5906, Cook County, Illinois",0.43651578045727085,0.5634842195427291,17,31,15177.0,2015-2019
MONTCLARE,"Census Tract 8316, Cook County, Illinois",0.4005747529263335,0.5994252470736665,17,31,14267.0,2015-2019
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",0.95729216152019,0.042707838479809974,17,31,21050.0,2015-2019
MOUNT GREENWOOD,"Census Tract 7403, Cook County, Illinois",0.8952579468473163,0.10474205315268369,17,31,19190.0,2015-2019
NEAR NORTH SIDE,"Census Tract 8383, Cook County, Illinois",0.9416158164510617,0.05838418354893825,17,31,81940.0,2015-2019
NEAR SOUTH SIDE,"Census Tract 3302, Cook County, Illinois",0.9443163896639573,0.0556836103360427,17,31,24729.0,2015-2019
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",0.9075668830140889,0.09243311698591103,17,31,63170.0,2015-2019
NEW CITY,"Census Tract 6119, Cook County, Illinois",0.38544092335729474,0.6145590766427053,17,31,39508.0,2015-2019
NORTH CENTER,"Census Tract 501, Cook County, Illinois",0.8854908139436739,0.11450918605632614,17,31,35543.0,2015-2019
NORTH LAWNDALE,"Census Tract 8386, Cook County, Illinois",0.9075234621020797,0.09247653789792037,17,31,32073.0,2015-2019
NORTH PARK,"Census Tract 8318, Cook County, Illinois",0.7987205244792217,0.20127947552077827,17,31,18914.0,2015-2019
NORWOOD PARK,"Census Tract 1004, Cook County, Illinois",0.8486182892099989,0.15138171079000107,17,31,37924.0,2015-2019
OAKLAND,"Census Tract 3602, Cook County, Illinois",0.9773255813953489,0.022674418604651164,17,31,3440.0,2015-2019
OHARE,"Census Tract 7608.01, Cook County, Illinois",0.8947204727470648,0.10527952725293523,17,31,12861.0,2015-2019
PORTAGE PARK,"Census Tract 8317, Cook County, Illinois",0.5664422258339138,0.4335577741660862,17,31,64605.0,2015-2019
PULLMAN,"Census Tract 5001, Cook County, Illinois",0.9448830409356725,0.05511695906432749,17,31,6840.0,2015-2019
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",0.9649408887077049,0.03505911129229515,17,31,7359.0,2015-2019
ROGERS PARK,"Census Tract 8306, Cook County, Illinois",0.7911941426922924,0.20880585730770762,17,31,50262.0,2015-2019
ROSELAND,"Census Tract 4903, Cook County, Illinois",0.9882794545733109,0.011720545426689138,17,31,39162.0,2015-2019
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",0.8024452164617851,0.19755478353821485,17,31,29936.0,2015-2019
SOUTH DEERING,"Census Tract 8388, Cook County, Illinois",0.6919547657512116,0.3080452342487884,17,31,15475.0,2015-2019
SOUTH LAWNDALE,"Census Tract 8305, Cook County, Illinois",0.17023989356541985,0.8297601064345802,17,31,72157.0,2015-2019
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",0.9733223937743964,0.02667760622560354,17,31,40221.0,2015-2019
UPTOWN,"Census Tract 8307, Cook County, Illinois",0.8540327913325082,0.14596720866749183,17,31,58979.0,2015-2019
WASHINGTON HEIGHTS,"Census Tract 7307, Cook County, Illinois",0.9885947199162366,0.011405280083763368,17,31,26742.0,2015-2019
WASHINGTON PARK,"Census Tract 8345, Cook County, Illinois",0.9760233384994074,0.023976661500592578,17,31,10969.0,2015-2019
