community_area,NAME,not_hispanic,hispanic,state,county,population,period
EAST GARFIELD PARK,Census Tract 2705; Cook County; Illinois,18354.0,1547.0,17,31,19901.0,2018-2022
EAST SIDE,Census Tract 5201; Cook County; Illinois,3151.0,20791.0,17,31,23942.0,2018-2022
EDGEWATER,Census Tract 301.01; Cook County; Illinois,45556.0,8246.0,17,31,53802.0,2018-2022
EDISON PARK,Census Tract 901; Cook County; Illinois,9728.0,1674.0,17,31,11402.0,2018-2022
ENGLEWOOD,Census Tract 6805; Cook County; Illinois,20262.0,1116.0,17,31,21378.0,2018-2022
FOREST GLEN,Census Tract 1201; Cook County; Illinois,17716.0,2139.0,17,31,19855.0,2018-2022
FULLER PARK,Census Tract 8355; Cook County; Illinois,1921.0,221.0,17,31,2142.0,2018-2022
GAGE PARK,Census Tract 6303; Cook County; Illinois,2671.0,32117.0,17,31,34788.0,2018-2022
GARFIELD RIDGE,Census Tract 5601; Cook County; Illinois,16090.0,20311.0,17,31,36401.0,2018-2022
GRAND BOULEVARD,Census Tract 3801; Cook County; Illinois,24004.0,809.0,17,31,24813.0,2018-2022
GREATER GRAND CROSSING,Census Tract 6903; Cook County; Illinois,28235.0,756.0,17,31,28991.0,2018-2022
HEGEWISCH,Census Tract 5501; Cook County; Illinois,4632.0,4393.0,17,31,9025.0,2018-2022
HERMOSA,Census Tract 2001; Cook County; Illinois,4611.0,18546.0,17,31,23157.0,2018-2022
HUMBOLDT PARK,Census Tract 2301; Cook County; Illinois,27799.0,27617.0,17,31,55416.0,2018-2022
HYDE PARK,Census Tract 4102; Cook County; Illinois,18334.0,1516.0,17,31,19850.0,2018-2022
IRVING PARK,Census Tract 1601; Cook County; Illinois,32931.0,20653.0,17,31,53584.0,2018-2022
JEFFERSON PARK,Census Tract 1101; Cook County; Illinois,20238.0,6794.0,17,31,27032.0,2018-2022
KENWOOD,Census Tract 3901; Cook County; Illinois,12175.0,400.0,17,31,12575.0,2018-2022
LAKE VIEW,Census Tract 601; Cook County; Illinois,81290.0,9131.0,17,31,90421.0,2018-2022
LINCOLN PARK,Census Tract 701.01; Cook County; Illinois,64404.0,4695.0,17,31,69099.0,2018-2022
LINCOLN SQUARE,Census Tract 401; Cook County; Illinois,33945.0,8326.0,17,31,42271.0,2018-2022
LOGAN SQUARE,Census Tract 2203; Cook County; Illinois,47443.0,24889.0,17,31,72332.0,2018-2022
LOOP,Census Tract 3201.01; Cook County; Illinois,36870.0,4801.0,17,31,41671.0,2018-2022
LOWER WEST SIDE,Census Tract 3102; Cook County; Illinois,10411.0,23826.0,17,31,34237.0,2018-2022
MCKINLEY PARK,Census Tract 5905; Cook County; Illinois,6965.0,8514.0,17,31,15479.0,2018-2022
MONTCLARE,Census Tract 1801; Cook County; Illinois,6245.0,7520.0,17,31,13765.0,2018-2022
MORGAN PARK,Census Tract 7501; Cook County; Illinois,19886.0,832.0,17,31,20718.0,2018-2022
MOUNT GREENWOOD,Census Tract 7401; Cook County; Illinois,17285.0,1836.0,17,31,19121.0,2018-2022
NEAR NORTH SIDE,Census Tract 801; Cook County; Illinois,82230.0,6554.0,17,31,88784.0,2018-2022
NEAR SOUTH SIDE,Census Tract 3301.01; Cook County; Illinois,26716.0,1500.0,17,31,28216.0,2018-2022
NEAR WEST SIDE,Census Tract 2801; Cook County; Illinois,58854.0,6727.0,17,31,65581.0,2018-2022
NEW CITY,Census Tract 6103; Cook County; Illinois,13622.0,27426.0,17,31,41048.0,2018-2022
NORTH CENTER,Census Tract 501; Cook County; Illinois,31293.0,4521.0,17,31,35814.0,2018-2022
NORTH LAWNDALE,Census Tract 2909; Cook County; Illinois,25976.0,4433.0,17,31,30409.0,2018-2022
NORTH PARK,Census Tract 1301; Cook County; Illinois,15975.0,3423.0,17,31,19398.0,2018-2022
NORWOOD PARK,Census Tract 1001; Cook County; Illinois,31514.0,7812.0,17,31,39326.0,2018-2022
OAKLAND,Census Tract 3602; Cook County; Illinois,3177.0,17.0,17,31,3194.0,2018-2022
OHARE,Census Tract 7608.01; Cook County; Illinois,12061.0,1710.0,17,31,13771.0,2018-2022
PORTAGE PARK,Census Tract 1502; Cook County; Illinois,36687.0,27526.0,17,31,64213.0,2018-2022
PULLMAN,Census Tract 5001; Cook County; Illinois,6297.0,559.0,17,31,6856.0,2018-2022
RIVERDALE,Census Tract 5401.01; Cook County; Illinois,7562.0,255.0,17,31,7817.0,2018-2022
ROGERS PARK,Census Tract 101; Cook County; Illinois,40780.0,10458.0,17,31,51238.0,2018-2022
ROSELAND,Census Tract 4902; Cook County; Illinois,36910.0,700.0,17,31,37610.0,2018-2022
SOUTH CHICAGO,Census Tract 4601; Cook County; Illinois,24572.0,5743.0,17,31,30315.0,2018-2022
SOUTH DEERING,Census Tract 5101; Cook County; Illinois,10458.0,4760.0,17,31,15218.0,2018-2022
SOUTH LAWNDALE,Census Tract 3005; Cook County; Illinois,12684.0,57024.0,17,31,69708.0,2018-2022
SOUTH SHORE,Census Tract 4301.01; Cook County; Illinois,40687.0,1330.0,17,31,42017.0,2018-2022
UPTOWN,Census Tract 310; Cook County; Illinois,49380.0,8084.0,17,31,57464.0,2018-2022
WASHINGTON HEIGHTS,Census Tract 7301; Cook County; Illinois,26207.0,249.0,17,31,26456.0,2018-2022
WASHINGTON PARK,Census Tract 4003; Cook County; Illinois,12195.0,171.0,17,31,12366.0,2018-2022
WEST ELSDON,Census Tract 6201; Cook County; Illinois,3449.0,14917.0,17,31,18366.0,2018-2022
WEST ENGLEWOOD,Census Tract 6701; Cook County; Illinois,21346.0,4426.0,17,31,25772.0,2018-2022
WEST GARFIELD PARK,Census Tract 2601; Cook County; Illinois,15494.0,880.0,17,31,16374.0,2018-2022
WEST LAWN,Census Tract 6501; Cook County; Illinois,5197.0,27397.0,17,31,32594.0,2018-2022
WEST PULLMAN,Census Tract 5301; Cook County; Illinois,23586.0,1863.0,17,31,25449.0,2018-2022
WEST RIDGE,Census Tract 201; Cook County; Illinois,61725.0,17540.0,17,31,79265.0,2018-2022
WEST TOWN,Census Tract 2402; Cook County; Illinois,68386.0,17016.0,17,31,85402.0,2018-2022
WOODLAWN,Census Tract 4201; Cook County; Illinois,25647.0,848.0,17,31,26495.0,2018-2022
