Community Area,NAME,female,state,county,population,period
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",32791.0,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",30099.0,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",27694.0,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",15473.0,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",7367.0,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",9082.0,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",22750.0,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",10617.0,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",16669.0,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",18894.0,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",37190.0,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",41950.0,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",12832.0,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",25483.0,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",7031.0,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",6922.0,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",22094.0,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",27168.0,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",54149.0,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",5314.0,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",19144.0,17,31,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",39930.0,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",10949.0,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",16007.0,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",21311.0,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",1269.0,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",7679.0,17,31,13400.0,2010-2014
