community_area,NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,population,period
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",0.2543168356590704,0.08174380082321052,0.15262021885352875,0.12734665194257605,0.13500150587290433,0.0994378074490513,0.07065053709466922,0.07888264230498945,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",0.2847958855673417,0.07893649262983882,0.1489645038343206,0.1673784267805483,0.1052486568397851,0.09422785507645681,0.06424209027873444,0.05620608899297424,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",0.28738822901374617,0.10076070999599626,0.1279861203790204,0.11391965834779127,0.12785266248498597,0.10890164153209662,0.05645268917656479,0.07673828906979847,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.2625,0.07150735294117647,0.1676470588235294,0.11488970588235294,0.1479779411764706,0.09365808823529412,0.08391544117647058,0.057904411764705885,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",0.3080199539524175,0.11849577897160399,0.14739063699155794,0.15848042977743668,0.12321565617805065,0.07897160399079048,0.04190330007674597,0.023522640061396777,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",0.3152710212419715,0.11886501739868081,0.1677025085262192,0.11228641171684296,0.12307186261101397,0.08301161643266451,0.04783338815504735,0.03195817391755968,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",0.14483408201709896,0.17754673235762933,0.19573250253586436,0.14613824083466165,0.1185697724967396,0.08683524126938125,0.07393855962903927,0.056404868859585566,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",0.24305769560006849,0.06731724019859613,0.21484334874165384,0.16248929977743537,0.12893340181475774,0.09607943845231981,0.04353706557096387,0.04374250984420476,17,31,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",0.20123559627932805,0.08781063445786477,0.1550742746078023,0.15712203248646398,0.14549493266694433,0.10315146466749965,0.06507705122865473,0.08503401360544217,17,31,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",0.21040850587576945,0.07392277560156688,0.18455512031337437,0.13469501958589816,0.13598209289311697,0.1148852825965305,0.07358701734750979,0.07196418578623391,17,31,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",0.10423474055678997,0.1288066919356947,0.3810612991765782,0.16183069751230775,0.09337559360432188,0.06080904456933734,0.03202195791399817,0.03785997473097199,17,31,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",0.1297505681981645,0.19245375298483847,0.28138036192065363,0.14469633763917258,0.10060703702638166,0.08130268419689865,0.03535774907218275,0.03445150896170776,17,31,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",0.17607576090405408,0.08047155304971809,0.2533743379463523,0.18661980425178784,0.11847404261550853,0.08850162309926533,0.05149984135119963,0.044983036782114176,17,31,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",0.2199778161202859,0.09744885383288145,0.2828937638649248,0.16043874784323392,0.10631008134089229,0.06985457234409663,0.03772491989154548,0.025351244762139513,17,31,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",0.07117864640607818,0.15980205938218534,0.2690192942117365,0.14465660301909428,0.12846146156153154,0.12256323103069079,0.052484254723582924,0.05183444966510047,17,31,20006.0,2005-2009
LOWER WEST SIDE,"Census Tract 3101, Cook County, Illinois",0.276062651759746,0.12354243936280919,0.1953998452384129,0.14913146729994398,0.09184299703818342,0.07601995890813032,0.042932998905995674,0.04506764148677856,17,31,37477.0,2005-2009
MCKINLEY PARK,"Census Tract 5901, Cook County, Illinois",0.24759140316205533,0.09745553359683795,0.18645009881422925,0.12950839920948617,0.1416131422924901,0.10529891304347826,0.03291749011857707,0.05916501976284585,17,31,16192.0,2005-2009
MONTCLARE,"Census Tract 1801, Cook County, Illinois",0.23529815883484473,0.09405056334157735,0.17772739763671339,0.10353118988733169,0.15704863973619126,0.10950810662269854,0.04815883484473756,0.07467710909590547,17,31,14556.0,2005-2009
MORGAN PARK,"Census Tract 7501, Cook County, Illinois",0.2520976745778965,0.07185177574574472,0.13473064146032399,0.13627179012979895,0.1431898352683311,0.11973012774410083,0.07894105962532963,0.06318709544847426,17,31,29199.0,2005-2009
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",0.2578516624040921,0.09826086956521739,0.10680306905370844,0.15432225063938618,0.17381074168797955,0.08731457800511509,0.059437340153452686,0.062199488491048595,17,31,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",0.08147315661654524,0.09343512633700202,0.2796078127422105,0.1415542809900274,0.11983930140029969,0.13447527515113936,0.08824213300263525,0.06137291376014055,17,31,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",0.15146785135378518,0.053130815873206456,0.31392207480338596,0.1910307978627604,0.10500090052230293,0.10121870684997299,0.04568649816893798,0.03854235456564808,17,31,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",0.170185552840562,0.13624389126450825,0.2691661576053757,0.14920586438607208,0.11520693341478314,0.09605986560781918,0.03798869883934026,0.025943036041539403,17,31,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",0.36072408585224736,0.11331390525621662,0.1690242709153177,0.12869328455042436,0.10361404777605242,0.059964689115313434,0.03860798536512731,0.026057731169300803,17,31,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",0.17190884672038817,0.0640036969644456,0.29581492071744214,0.203564104785836,0.11064899055541114,0.08335499523438177,0.04286168154117205,0.027842763480923086,17,31,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",0.3341058963110118,0.1199404022845791,0.14422095301161603,0.10272328449631653,0.1344535496509671,0.08398863228761416,0.04188395000413873,0.03868333195375659,17,31,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",0.24105148319393216,0.08286144734791417,0.1414618941243701,0.1532027637799366,0.1169411397994701,0.10623928515767053,0.07195178970336122,0.0862901968933451,17,31,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",0.21488186485631555,0.06762050757962869,0.1031462150521936,0.15297953621918875,0.1509355914056987,0.10859673455483368,0.0852373652578047,0.11660218507433633,17,31,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",0.2615929203539823,0.06548672566371681,0.17486725663716815,0.17097345132743363,0.11433628318584071,0.09592920353982301,0.05663716814159292,0.06017699115044248,17,31,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",0.1819062144430726,0.09395501973031205,0.1779601520323432,0.13818481129106447,0.13268937468225725,0.11121601665577263,0.07545936524075822,0.08862904592441959,17,31,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",0.23751977699088375,0.08531605514955172,0.14950651698937692,0.15631733594515182,0.14589015294206284,0.11861674075190236,0.05875084758532359,0.04808257364574701,17,31,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",0.28189873417721517,0.0789873417721519,0.14303797468354432,0.11632911392405064,0.14848101265822786,0.0830379746835443,0.0920253164556962,0.05620253164556962,17,31,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",0.3903331650681474,0.12430590610802625,0.14071176173649672,0.12001514386673397,0.0836698637051994,0.0734477536597678,0.0353356890459364,0.032180716809692075,17,31,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",0.20185300668151449,0.12637861915367482,0.2192783964365256,0.15704231625835188,0.12696659242761693,0.0830467706013363,0.05256124721603563,0.03287305122494432,17,31,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",0.25984789195914354,0.10651576264724179,0.12262958280657396,0.12620151305359903,0.13310456926133285,0.10236188870828568,0.08562599080930307,0.0637128007545201,17,31,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",0.30308081388665364,0.09604552247384757,0.1336073111851937,0.13343487757213474,0.1251868030808139,0.08773997011150707,0.07739395332796874,0.04351074836188067,17,31,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",0.28011283497884343,0.10262341325811002,0.12276445698166431,0.14059238363892806,0.13743300423131172,0.08389280677009874,0.086262341325811,0.04631875881523272,17,31,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",0.2942165433759247,0.15303140034142051,0.19719621333609227,0.14470280895970203,0.10634473126066939,0.0565671719000569,0.030844239822047488,0.0170968910040867,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",0.2589048182086905,0.09071090747856932,0.1412577593851611,0.13323972805202483,0.14643068282589417,0.11251108483594442,0.06599172332249482,0.05095329589122081,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",0.1407857499583819,0.09607125020809056,0.2529881804561345,0.18290327950724156,0.13800566006325954,0.09162643582487098,0.05380389545530215,0.04381554852671883,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",0.24353890816398782,0.0851802025065496,0.11658287899171564,0.11803441195213482,0.14529490901366565,0.1206896551724138,0.08995964030305176,0.08071939389648092,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",0.3465080270556597,0.12085404612501019,0.13910846711759434,0.11197131448129737,0.12647705973433299,0.06804661396789177,0.03430853231195501,0.052725939206258655,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",0.29859170365499477,0.11578716642007782,0.1447202586443093,0.13222642336566387,0.12850019179133104,0.08756644199682175,0.033700476738451425,0.058907337388350044,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",0.30241678282028867,0.1201304070495405,0.1207210186869522,0.14637718821611662,0.1222093600132297,0.0923244111601975,0.06255758463464764,0.03326324741902714,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",0.32729443521594687,0.13636835548172757,0.1292047342192691,0.11404692691029901,0.12193729235880399,0.07106519933554817,0.054765365448504987,0.04531769102990033,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",0.336265385770039,0.08658060642449715,0.1815370759531672,0.13080156109276495,0.1053737616331432,0.07250075052536775,0.0387271089762834,0.04821374962473732,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",0.3068270088322449,0.1056704738341149,0.12532006099139792,0.12160879196754798,0.12998072441669783,0.10109611899076498,0.06864409217756552,0.04085272878966598,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",0.2577765417506779,0.09081554613084891,0.14163943544462212,0.145004519224084,0.139970798859765,0.10150872557880831,0.06165612181047069,0.061628311200723075,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",0.17141070477337472,0.09298932301920004,0.326377469486069,0.17093591495472127,0.10790467146860597,0.06806864765963361,0.0337911388007504,0.028522129837645044,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",0.2698846646732166,0.09679624092268262,0.16330627936779155,0.13131140538231525,0.13387441264416916,0.08722768047842802,0.06475865014950875,0.052840666381888085,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",0.2274891365955035,0.1018326091063669,0.20018892877385225,0.1600982429624032,0.12410731154354808,0.09221613451728698,0.04349140374078972,0.036576610617797094,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",0.2683954850692956,0.11158736962423203,0.15002143163309045,0.1512358908415488,0.12180311473067582,0.08015430775825118,0.06008001143020431,0.04300614373481926,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",0.18469314079422383,0.09913357400722021,0.1524909747292419,0.10844765342960289,0.13703971119133573,0.11992779783393502,0.07949458483754512,0.10620938628158845,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",0.24457473895676143,0.11378448457100142,0.11953093975565886,0.12574458641874373,0.17089864280875516,0.1128968207619893,0.057978462472844494,0.04132308626690649,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",0.2350507235722837,0.09604923232026212,0.12400495683770557,0.11772489550734073,0.1299279578248724,0.12572724790489592,0.08418222679632859,0.07365944844678751,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",0.25866754921723784,0.11113116907863727,0.12850136895628367,0.11470148729829206,0.13800884556367904,0.11801105194010691,0.06996219073121321,0.04629378905035553,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",0.1770647653000594,0.09189938601703307,0.13022380669439493,0.11249752426223014,0.1568627450980392,0.12091503267973856,0.1223014458308576,0.07892652010299069,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.21057340798118465,0.11790270214996038,0.2171690058031035,0.14558887440243373,0.11312217194570136,0.09471585244267199,0.052534703581563,0.03458854206610936,17,31,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",0.2796418318177794,0.10761486802666026,0.15568680519546219,0.15037498893371612,0.12377796608025901,0.08909939420000253,0.04751546117947615,0.030416471689284044,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",0.23669174364346252,0.0748976287972574,0.08751547471669364,0.13227311684601467,0.17312636891724598,0.1517950671364632,0.07494524331016093,0.05637558327778307,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",0.1835060584238705,0.11415510817495851,0.17758852813175116,0.13240865399668117,0.12774351106797333,0.14584050846926955,0.05497980525376499,0.04812298443908701,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",0.29694085656016317,0.11794697484704283,0.14230682075685475,0.16333559936551098,0.12100611828687967,0.08039882166326762,0.0365964196691593,0.027079084523000226,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.20855614973262032,0.11038961038961038,0.11879297173414821,0.0825057295645531,0.13750954927425516,0.15355233002291827,0.10733384262796028,0.07715813598166539,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",0.17597014925373133,0.07082089552238806,0.07932835820895523,0.14708955223880596,0.14753731343283583,0.13022388059701492,0.13902985074626867,0.10611940298507462,17,31,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",0.21280919569428128,0.08928968342171276,0.12342425300860509,0.12796494459086147,0.14904899501476518,0.13453783380433748,0.06931699107738228,0.08519353507128569,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",0.3008722221235322,0.11948199598529124,0.1489172721297497,0.13397758158207948,0.12021032810473771,0.08960261488995079,0.046684312436715045,0.024745527863144618,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",0.22930639620480942,0.07439064289219696,0.1746687387534762,0.14023392769507606,0.13283167021102568,0.10604449533780468,0.0635939800425323,0.06146736463274988,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",0.13993823983530623,0.1914565105506948,0.16098816263510035,0.11631497683993824,0.12547606793618116,0.11044776119402985,0.07050952135872363,0.07534740092640246,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",0.1831695816783964,0.08319977701902306,0.1571086799990709,0.12767983648061693,0.15578473044851696,0.13771398044271016,0.07520962534550438,0.06814856107588321,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",0.2826204923289428,0.12337822505056485,0.14271619555029352,0.12022100537713976,0.13082729021755216,0.09185535987371121,0.05243944551329485,0.039514577475210894,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",0.3054046084502296,0.09149500821433085,0.13374615611441087,0.14697333501832427,0.11302076751337461,0.10265807321285648,0.04494713340915792,0.04789586755971187,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",0.10948753723745239,0.10541498548210716,0.21955956106942193,0.16203476752517063,0.1352049473962065,0.12581545307138278,0.07064746031147479,0.060220973641540027,17,31,53038.0,2010-2014
