community_area,NAME,0-15k,15-25k,25-50k,50-75k,75k+,state,county,population,period
MOUNT GREENWOOD,"Census Tract 7403, Cook County, Illinois",4544.0,1208.0,2684.0,2348.0,4526.0,17,31,19190.0,2015-2019
NEAR NORTH SIDE,"Census Tract 8383, Cook County, Illinois",14909.0,4514.0,9421.0,12478.0,35155.0,17,31,81940.0,2015-2019
NEAR SOUTH SIDE,"Census Tract 3302, Cook County, Illinois",3877.0,1687.0,2645.0,3289.0,10383.0,17,31,24729.0,2015-2019
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",20015.0,4038.0,6263.0,6707.0,18009.0,17,31,63170.0,2015-2019
NEW CITY,"Census Tract 6119, Cook County, Illinois",14358.0,6727.0,6033.0,2107.0,1323.0,17,31,39508.0,2015-2019
NORTH CENTER,"Census Tract 501, Cook County, Illinois",5101.0,2280.0,4218.0,4293.0,11353.0,17,31,35543.0,2015-2019
NORTH LAWNDALE,"Census Tract 8386, Cook County, Illinois",14297.0,3670.0,4578.0,1369.0,1093.0,17,31,32073.0,2015-2019
NORTH PARK,"Census Tract 8318, Cook County, Illinois",6182.0,2189.0,3215.0,1504.0,2305.0,17,31,18914.0,2015-2019
NORWOOD PARK,"Census Tract 1004, Cook County, Illinois",9361.0,3146.0,6459.0,5075.0,7593.0,17,31,37924.0,2015-2019
OAKLAND,"Census Tract 3602, Cook County, Illinois",1030.0,455.0,657.0,321.0,100.0,17,31,3440.0,2015-2019
OHARE,"Census Tract 7608.01, Cook County, Illinois",3384.0,1535.0,2959.0,1603.0,1411.0,17,31,12861.0,2015-2019
PORTAGE PARK,"Census Tract 8317, Cook County, Illinois",17579.0,6924.0,12678.0,7947.0,8166.0,17,31,64605.0,2015-2019
PULLMAN,"Census Tract 5001, Cook County, Illinois",2169.0,826.0,1636.0,640.0,459.0,17,31,6840.0,2015-2019
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",3134.0,750.0,597.0,121.0,128.0,17,31,7359.0,2015-2019
ROGERS PARK,"Census Tract 8306, Cook County, Illinois",15992.0,5472.0,11068.0,4631.0,4755.0,17,31,50262.0,2015-2019
ROSELAND,"Census Tract 4903, Cook County, Illinois",15560.0,4488.0,6779.0,3408.0,1830.0,17,31,39162.0,2015-2019
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",11543.0,3586.0,5249.0,1670.0,1507.0,17,31,29936.0,2015-2019
SOUTH DEERING,"Census Tract 8388, Cook County, Illinois",6193.0,1602.0,2507.0,1168.0,541.0,17,31,15475.0,2015-2019
SOUTH LAWNDALE,"Census Tract 8305, Cook County, Illinois",31224.0,10787.0,10546.0,2512.0,970.0,17,31,72157.0,2015-2019
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",14913.0,4458.0,6410.0,2979.0,2577.0,17,31,40221.0,2015-2019
UPTOWN,"Census Tract 8307, Cook County, Illinois",16677.0,6278.0,11141.0,7530.0,10907.0,17,31,58979.0,2015-2019
WASHINGTON HEIGHTS,"Census Tract 7307, Cook County, Illinois",10406.0,2922.0,4742.0,2842.0,1731.0,17,31,26742.0,2015-2019
WASHINGTON PARK,"Census Tract 8345, Cook County, Illinois",4527.0,1162.0,1488.0,679.0,362.0,17,31,10969.0,2015-2019
WEST ELSDON,"Census Tract 6203, Cook County, Illinois",6264.0,2117.0,4252.0,1298.0,962.0,17,31,19126.0,2015-2019
WEST ENGLEWOOD,"Census Tract 6702, Cook County, Illinois",11230.0,4449.0,4040.0,924.0,677.0,17,31,26346.0,2015-2019
WEST GARFIELD PARK,"Census Tract 2605, Cook County, Illinois",7580.0,2000.0,1867.0,643.0,391.0,17,31,16415.0,2015-2019
WEST LAWN,"Census Tract 6501, Cook County, Illinois",10334.0,4093.0,6124.0,2313.0,1785.0,17,31,31886.0,2015-2019
WEST PULLMAN,"Census Tract 5303, Cook County, Illinois",9890.0,3225.0,4675.0,2291.0,1595.0,17,31,27028.0,2015-2019
WEST RIDGE,"Census Tract 203.02, Cook County, Illinois",26055.0,8495.0,12793.0,5921.0,7367.0,17,31,78466.0,2015-2019
WEST TOWN,"Census Tract 2423, Cook County, Illinois",14865.0,5555.0,13902.0,15306.0,23919.0,17,31,83757.0,2015-2019
WOODLAWN,"Census Tract 4205, Cook County, Illinois",10811.0,2709.0,3306.0,1813.0,1620.0,17,31,24844.0,2015-2019
ALBANY PARK,Census Tract 1401; Cook County; Illinois,12783.0,5159.0,9277.0,5163.0,7494.0,17,31,47663.0,2018-2022
ARCHER HEIGHTS,Census Tract 5701; Cook County; Illinois,4382.0,1562.0,3006.0,1217.0,1132.0,17,31,13867.0,2018-2022
ARMOUR SQUARE,Census Tract 3403; Cook County; Illinois,4686.0,1597.0,2156.0,1191.0,1554.0,17,31,13193.0,2018-2022
ASHBURN,Census Tract 7001; Cook County; Illinois,13447.0,3312.0,7949.0,4991.0,4794.0,17,31,42745.0,2018-2022
AUBURN GRESHAM,Census Tract 7101; Cook County; Illinois,16293.0,5097.0,8003.0,4034.0,3657.0,17,31,46468.0,2018-2022
AUSTIN,Census Tract 2502; Cook County; Illinois,36024.0,11764.0,18164.0,7264.0,6640.0,17,31,100120.0,2018-2022
AVALON PARK,Census Tract 4503; Cook County; Illinois,2857.0,1134.0,1846.0,1230.0,1063.0,17,31,9647.0,2018-2022
AVONDALE,Census Tract 2101; Cook County; Illinois,8180.0,3279.0,7406.0,4557.0,7590.0,17,31,36374.0,2018-2022
BELMONT CRAGIN,Census Tract 1901; Cook County; Illinois,22851.0,7144.0,17288.0,6004.0,5582.0,17,31,73991.0,2018-2022
BEVERLY,Census Tract 7201; Cook County; Illinois,4273.0,1120.0,2377.0,2360.0,6212.0,17,31,19781.0,2018-2022
BRIDGEPORT,Census Tract 6004; Cook County; Illinois,9469.0,3382.0,5636.0,4207.0,5748.0,17,31,33221.0,2018-2022
BRIGHTON PARK,Census Tract 5801; Cook County; Illinois,13207.0,4343.0,9456.0,3293.0,2417.0,17,31,42243.0,2018-2022
BURNSIDE,Census Tract 4701; Cook County; Illinois,736.0,197.0,370.0,357.0,219.0,17,31,2246.0,2018-2022
CALUMET HEIGHTS,Census Tract 4801; Cook County; Illinois,2798.0,1101.0,2565.0,1610.0,2113.0,17,31,12087.0,2018-2022
CHATHAM,Census Tract 4401.01; Cook County; Illinois,11123.0,3096.0,6343.0,2741.0,3473.0,17,31,31341.0,2018-2022
CHICAGO LAWN,Census Tract 6603.01; Cook County; Illinois,17579.0,6080.0,10500.0,4330.0,2713.0,17,31,52464.0,2018-2022
CLEARING,Census Tract 6401; Cook County; Illinois,6398.0,1882.0,4894.0,2887.0,3607.0,17,31,24728.0,2018-2022
DOUGLAS,Census Tract 3501; Cook County; Illinois,8659.0,1716.0,3166.0,1955.0,3072.0,17,31,21355.0,2018-2022
DUNNING,Census Tract 1701; Cook County; Illinois,11042.0,3828.0,7839.0,5429.0,7574.0,17,31,42574.0,2018-2022
EAST GARFIELD PARK,Census Tract 2705; Cook County; Illinois,8424.0,2043.0,2581.0,1268.0,1314.0,17,31,19901.0,2018-2022
EAST SIDE,Census Tract 5201; Cook County; Illinois,6914.0,2428.0,4947.0,2224.0,1841.0,17,31,23942.0,2018-2022
EDGEWATER,Census Tract 301.01; Cook County; Illinois,13022.0,4853.0,10686.0,7203.0,12587.0,17,31,53802.0,2018-2022
EDISON PARK,Census Tract 901; Cook County; Illinois,2000.0,746.0,1444.0,1469.0,3393.0,17,31,11402.0,2018-2022
ENGLEWOOD,Census Tract 6805; Cook County; Illinois,9188.0,2130.0,3326.0,1494.0,890.0,17,31,21378.0,2018-2022
FOREST GLEN,Census Tract 1201; Cook County; Illinois,3736.0,1180.0,2764.0,1791.0,5961.0,17,31,19855.0,2018-2022
FULLER PARK,Census Tract 8355; Cook County; Illinois,1227.0,229.0,222.0,54.0,83.0,17,31,2142.0,2018-2022
GAGE PARK,Census Tract 6303; Cook County; Illinois,11843.0,4425.0,6877.0,2906.0,1233.0,17,31,34788.0,2018-2022
GARFIELD RIDGE,Census Tract 5601; Cook County; Illinois,9013.0,3580.0,6508.0,4507.0,5965.0,17,31,36401.0,2018-2022
GRAND BOULEVARD,Census Tract 3801; Cook County; Illinois,8401.0,2069.0,3974.0,2406.0,3852.0,17,31,24813.0,2018-2022
GREATER GRAND CROSSING,Census Tract 6903; Cook County; Illinois,10752.0,3067.0,5224.0,2518.0,2167.0,17,31,28991.0,2018-2022
HEGEWISCH,Census Tract 5501; Cook County; Illinois,2307.0,1122.0,1810.0,1004.0,984.0,17,31,9025.0,2018-2022
HERMOSA,Census Tract 2001; Cook County; Illinois,6538.0,2805.0,5215.0,2173.0,1997.0,17,31,23157.0,2018-2022
HUMBOLDT PARK,Census Tract 2301; Cook County; Illinois,17959.0,5384.0,11973.0,4273.0,3965.0,17,31,55416.0,2018-2022
HYDE PARK,Census Tract 4102; Cook County; Illinois,7135.0,1289.0,3060.0,2170.0,3975.0,17,31,19850.0,2018-2022
IRVING PARK,Census Tract 1601; Cook County; Illinois,11164.0,4194.0,9755.0,6655.0,11845.0,17,31,53584.0,2018-2022
JEFFERSON PARK,Census Tract 1101; Cook County; Illinois,6400.0,2014.0,5154.0,3418.0,5490.0,17,31,27032.0,2018-2022
KENWOOD,Census Tract 3901; Cook County; Illinois,3191.0,1010.0,1883.0,1173.0,2854.0,17,31,12575.0,2018-2022
LAKE VIEW,Census Tract 601; Cook County; Illinois,12399.0,4479.0,12382.0,15473.0,35403.0,17,31,90421.0,2018-2022
LINCOLN PARK,Census Tract 701.01; Cook County; Illinois,13863.0,2974.0,6158.0,8410.0,29025.0,17,31,69099.0,2018-2022
LINCOLN SQUARE,Census Tract 401; Cook County; Illinois,7640.0,3547.0,7664.0,5904.0,11236.0,17,31,42271.0,2018-2022
LOGAN SQUARE,Census Tract 2203; Cook County; Illinois,13307.0,5129.0,12471.0,10346.0,20627.0,17,31,72332.0,2018-2022
LOOP,Census Tract 3201.01; Cook County; Illinois,9217.0,2153.0,4780.0,4459.0,18720.0,17,31,41671.0,2018-2022
LOWER WEST SIDE,Census Tract 3102; Cook County; Illinois,10099.0,3224.0,7170.0,3662.0,5300.0,17,31,34237.0,2018-2022
MCKINLEY PARK,Census Tract 5905; Cook County; Illinois,4785.0,1607.0,3081.0,1481.0,2017.0,17,31,15479.0,2018-2022
MONTCLARE,Census Tract 1801; Cook County; Illinois,3892.0,1350.0,3080.0,1475.0,1672.0,17,31,13765.0,2018-2022
MORGAN PARK,Census Tract 7501; Cook County; Illinois,5019.0,1961.0,3636.0,2132.0,3838.0,17,31,20718.0,2018-2022
MOUNT GREENWOOD,Census Tract 7401; Cook County; Illinois,4056.0,770.0,2250.0,2334.0,5512.0,17,31,19121.0,2018-2022
NEAR NORTH SIDE,Census Tract 801; Cook County; Illinois,14137.0,4314.0,9391.0,10967.0,44436.0,17,31,88784.0,2018-2022
NEAR SOUTH SIDE,Census Tract 3301.01; Cook County; Illinois,4288.0,1574.0,2302.0,3382.0,13216.0,17,31,28216.0,2018-2022
NEAR WEST SIDE,Census Tract 2801; Cook County; Illinois,17350.0,3437.0,6819.0,6322.0,23626.0,17,31,65581.0,2018-2022
NEW CITY,Census Tract 6103; Cook County; Illinois,14738.0,3813.0,7837.0,2822.0,2818.0,17,31,41048.0,2018-2022
NORTH CENTER,Census Tract 501; Cook County; Illinois,4824.0,1632.0,3099.0,4093.0,13898.0,17,31,35814.0,2018-2022
NORTH LAWNDALE,Census Tract 2909; Cook County; Illinois,11732.0,3000.0,5548.0,1861.0,1636.0,17,31,30409.0,2018-2022
NORTH PARK,Census Tract 1301; Cook County; Illinois,5971.0,1670.0,2844.0,2243.0,3020.0,17,31,19398.0,2018-2022
NORWOOD PARK,Census Tract 1001; Cook County; Illinois,9029.0,2814.0,5828.0,3891.0,10369.0,17,31,39326.0,2018-2022
OAKLAND,Census Tract 3602; Cook County; Illinois,1213.0,203.0,557.0,314.0,156.0,17,31,3194.0,2018-2022
OHARE,Census Tract 7608.01; Cook County; Illinois,3132.0,872.0,2816.0,2459.0,2397.0,17,31,13771.0,2018-2022
PORTAGE PARK,Census Tract 1502; Cook County; Illinois,16953.0,5298.0,12337.0,8105.0,10884.0,17,31,64213.0,2018-2022
PULLMAN,Census Tract 5001; Cook County; Illinois,1987.0,569.0,1675.0,815.0,777.0,17,31,6856.0,2018-2022
RIVERDALE,Census Tract 5401.01; Cook County; Illinois,3314.0,460.0,949.0,241.0,200.0,17,31,7817.0,2018-2022
ROGERS PARK,Census Tract 101; Cook County; Illinois,14132.0,4457.0,11338.0,5805.0,7485.0,17,31,51238.0,2018-2022
ROSELAND,Census Tract 4902; Cook County; Illinois,13744.0,3863.0,6609.0,3913.0,2797.0,17,31,37610.0,2018-2022
SOUTH CHICAGO,Census Tract 4601; Cook County; Illinois,10258.0,2921.0,6180.0,2003.0,2189.0,17,31,30315.0,2018-2022
SOUTH DEERING,Census Tract 5101; Cook County; Illinois,6043.0,1901.0,2445.0,1227.0,1002.0,17,31,15218.0,2018-2022
SOUTH LAWNDALE,Census Tract 3005; Cook County; Illinois,29165.0,8377.0,13526.0,4018.0,2441.0,17,31,69708.0,2018-2022
SOUTH SHORE,Census Tract 4301.01; Cook County; Illinois,13680.0,3673.0,8558.0,4015.0,3802.0,17,31,42017.0,2018-2022
UPTOWN,Census Tract 310; Cook County; Illinois,14551.0,4932.0,9103.0,8720.0,14695.0,17,31,57464.0,2018-2022
WASHINGTON HEIGHTS,Census Tract 7301; Cook County; Illinois,8222.0,2609.0,5135.0,3284.0,2715.0,17,31,26456.0,2018-2022
WASHINGTON PARK,Census Tract 4003; Cook County; Illinois,4713.0,1602.0,1429.0,558.0,1003.0,17,31,12366.0,2018-2022
WEST ELSDON,Census Tract 6201; Cook County; Illinois,5655.0,1594.0,3994.0,1426.0,1786.0,17,31,18366.0,2018-2022
WEST ENGLEWOOD,Census Tract 6701; Cook County; Illinois,10431.0,3363.0,4996.0,1413.0,1047.0,17,31,25772.0,2018-2022
WEST GARFIELD PARK,Census Tract 2601; Cook County; Illinois,7018.0,1590.0,2862.0,828.0,835.0,17,31,16374.0,2018-2022
WEST LAWN,Census Tract 6501; Cook County; Illinois,10953.0,2776.0,6164.0,2903.0,2966.0,17,31,32594.0,2018-2022
WEST PULLMAN,Census Tract 5301; Cook County; Illinois,9195.0,2173.0,4743.0,2528.0,2200.0,17,31,25449.0,2018-2022
WEST RIDGE,Census Tract 201; Cook County; Illinois,23494.0,7178.0,14132.0,6577.0,10381.0,17,31,79265.0,2018-2022
WEST TOWN,Census Tract 2402; Cook County; Illinois,12595.0,5029.0,11516.0,12796.0,33464.0,17,31,85402.0,2018-2022
WOODLAWN,Census Tract 4201; Cook County; Illinois,10532.0,3298.0,3768.0,2080.0,2462.0,17,31,26495.0,2018-2022
