community_area,NAME,0-15k,15-25k,25-50k,50-75k,75k+,state,county,population,period
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",1654.0,828.0,2600.0,2507.0,2084.0,17,31,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",5807.0,2750.0,10050.0,9813.0,20378.0,17,31,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",1084.0,651.0,2085.0,2339.0,4153.0,17,31,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",4306.0,2151.0,6194.0,5247.0,8043.0,17,31,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",4469.0,4495.0,4657.0,1428.0,561.0,17,31,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",2205.0,2151.0,6145.0,4744.0,6470.0,17,31,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",2669.0,2374.0,3144.0,1221.0,503.0,17,31,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",1690.0,1465.0,2813.0,1201.0,1176.0,17,31,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",3295.0,2136.0,5758.0,4347.0,3830.0,17,31,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",291.0,151.0,414.0,159.0,128.0,17,31,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",3407.0,3576.0,7704.0,3381.0,2183.0,17,31,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",6650.0,5628.0,11737.0,5734.0,3217.0,17,31,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",559.0,566.0,1096.0,481.0,95.0,17,31,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",897.0,527.0,547.0,189.0,75.0,17,31,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",6995.0,5394.0,9271.0,4674.0,2685.0,17,31,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",4885.0,2849.0,5966.0,2154.0,952.0,17,31,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",2955.0,2278.0,4042.0,1761.0,518.0,17,31,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",1659.0,1274.0,2121.0,1072.0,174.0,17,31,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",7539.0,8896.0,7411.0,1670.0,553.0,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",5851.0,3247.0,7011.0,3129.0,1558.0,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",6420.0,5024.0,8965.0,6083.0,6613.0,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",2056.0,1575.0,4279.0,1741.0,835.0,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",1278.0,547.0,1045.0,429.0,89.0,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",1892.0,1770.0,2544.0,960.0,289.0,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",3346.0,2460.0,3209.0,925.0,273.0,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",1392.0,1063.0,2314.0,392.0,128.0,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",2574.0,2888.0,4900.0,1709.0,648.0,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",3262.0,2334.0,3840.0,1507.0,705.0,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",7582.0,5885.0,10783.0,4824.0,3520.0,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",7281.0,6763.0,15754.0,9343.0,12000.0,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",2289.0,1410.0,2820.0,1403.0,512.0,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",18568.0,7058.0,8583.0,3915.0,3917.0,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",4776.0,2295.0,2789.0,564.0,336.0,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",7686.0,1341.0,1490.0,602.0,584.0,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",14335.0,4376.0,7600.0,4162.0,3256.0,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",20910.0,5899.0,7002.0,2785.0,1399.0,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",44384.0,10979.0,14033.0,5486.0,2766.0,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",4019.0,1107.0,1851.0,829.0,816.0,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",13870.0,5950.0,7056.0,2740.0,2144.0,17,31,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",28506.0,11397.0,13549.0,4240.0,1840.0,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",5090.0,1448.0,3142.0,2697.0,4352.0,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",12491.0,4117.0,5381.0,2540.0,2136.0,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",18218.0,5914.0,6628.0,1645.0,579.0,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",1324.0,322.0,350.0,115.0,64.0,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",4428.0,1607.0,2504.0,1450.0,1317.0,17,31,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",12195.0,3795.0,5711.0,2534.0,1585.0,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",24162.0,7353.0,7407.0,2294.0,699.0,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",7073.0,3273.0,4526.0,2853.0,1733.0,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",9433.0,1758.0,2404.0,2100.0,1325.0,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",13382.0,5351.0,9391.0,4614.0,3412.0,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",9843.0,1672.0,2216.0,831.0,636.0,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",8242.0,2948.0,3806.0,1525.0,894.0,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",17413.0,5763.0,11055.0,6579.0,6682.0,17,31,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",2355.0,1196.0,2120.0,1568.0,1969.0,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",14373.0,2656.0,2584.0,882.0,374.0,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",4699.0,1301.0,2749.0,1820.0,3982.0,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",1252.0,294.0,355.0,88.0,59.0,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",16076.0,6391.0,5647.0,1059.0,290.0,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",11119.0,3843.0,6280.0,3910.0,3283.0,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",9399.0,1705.0,3069.0,2062.0,1571.0,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",14417.0,3744.0,4602.0,1769.0,1055.0,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",3294.0,905.0,1472.0,804.0,937.0,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",9728.0,3440.0,4298.0,917.0,501.0,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",23139.0,6123.0,7545.0,2259.0,1376.0,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",7654.0,1523.0,3041.0,1704.0,2240.0,17,31,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",17230.0,7826.0,10567.0,5293.0,4504.0,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",8317.0,2796.0,4803.0,3029.0,3236.0,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",4018.0,1116.0,2111.0,897.0,1448.0,17,31,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",15825.0,6601.0,18469.0,15440.0,21958.0,17,31,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",15348.0,3909.0,9746.0,10349.0,18196.0,17,31,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",10448.0,3767.0,8581.0,5346.0,5595.0,17,31,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",22209.0,8740.0,13606.0,7981.0,8788.0,17,31,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",9048.0,1482.0,4578.0,4252.0,9395.0,17,31,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",13172.0,5454.0,5807.0,1772.0,1106.0,17,31,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",6091.0,2146.0,2918.0,935.0,601.0,17,31,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",4545.0,1625.0,2568.0,850.0,541.0,17,31,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",8111.0,2041.0,3521.0,2585.0,2453.0,17,31,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",5162.0,1067.0,2384.0,2624.0,3158.0,17,31,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",16473.0,4684.0,10645.0,10702.0,26194.0,17,31,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",4214.0,1539.0,3374.0,3571.0,6559.0,17,31,22021.0,2010-2014
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",20819.0,3965.0,7055.0,7654.0,12327.0,17,31,58899.0,2010-2014
