Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",863.0,4752.0,5283.0,17,31,2488.0,1123.0,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",2802.0,5663.0,12851.0,17,31,26577.0,23212.0,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",1355.0,1383.0,2620.0,17,31,4432.0,4344.0,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",5974.0,6949.0,9633.0,17,31,10980.0,9933.0,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",12645.0,8726.0,6696.0,17,31,1434.0,552.0,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",1887.0,4191.0,4206.0,17,31,12259.0,6128.0,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",7426.0,8490.0,6176.0,17,31,1375.0,667.0,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",2644.0,2956.0,3504.0,17,31,3176.0,2329.0,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",4774.0,9066.0,9494.0,17,31,6000.0,2932.0,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",287.0,664.0,517.0,17,31,353.0,265.0,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",5066.0,11795.0,9387.0,17,31,5100.0,2445.0,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",9755.0,16274.0,13621.0,17,31,7157.0,3795.0,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",850.0,1803.0,2047.0,17,31,660.0,313.0,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",1018.0,1738.0,1710.0,17,31,310.0,55.0,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",8114.0,7914.0,13253.0,17,31,9689.0,5826.0,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",6761.0,10895.0,14200.0,17,31,3127.0,1901.0,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",6972.0,7167.0,6825.0,17,31,2525.0,761.0,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",3379.0,4014.0,3933.0,17,31,934.0,500.0,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",30769.0,13790.0,7344.0,17,31,2120.0,551.0,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",6636.0,9707.0,14123.0,17,31,6377.0,3271.0,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",7253.0,9103.0,11244.0,17,31,14803.0,9210.0,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",3311.0,7625.0,6995.0,17,31,1749.0,1687.0,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",2351.0,2481.0,2240.0,17,31,645.0,302.0,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",4880.0,3906.0,2542.0,17,31,1130.0,342.0,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",9232.0,10338.0,8347.0,17,31,1289.0,322.0,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",3787.0,4979.0,3305.0,17,31,604.0,284.0,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",7490.0,8177.0,4781.0,17,31,1203.0,458.0,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",5545.0,7858.0,8218.0,17,31,1724.0,749.0,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",9784.0,12164.0,13568.0,17,31,11314.0,6547.0,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",10432.0,10647.0,13711.0,17,31,23861.0,12901.0,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",3745.0,4609.0,5164.0,17,31,2292.0,1282.0,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",9353.0,7862.0,7329.0,17,31,6308.0,3906.0,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",2733.0,2982.0,1910.0,17,31,621.0,241.0,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",3285.0,2990.0,1419.0,17,31,1283.0,768.0,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",4389.0,7842.0,9189.0,17,31,3906.0,1574.0,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",5586.0,10648.0,10843.0,17,31,2586.0,1533.0,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",15038.0,21453.0,17741.0,17,31,4750.0,2388.0,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",764.0,1715.0,3174.0,17,31,1116.0,519.0,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",6729.0,7624.0,4768.0,17,31,4108.0,2499.0,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",18317.0,14103.0,9629.0,17,31,3648.0,1497.0,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",382.0,1931.0,3998.0,17,31,4016.0,3871.0,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",5076.0,6538.0,4890.0,17,31,3378.0,2050.0,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",11516.0,7712.0,4059.0,17,31,1369.0,530.0,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",387.0,566.0,654.0,17,31,76.0,89.0,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",1058.0,2272.0,3904.0,17,31,1487.0,1320.0,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",2837.0,5888.0,7479.0,17,31,3511.0,1999.0,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",9630.0,10940.0,8332.0,17,31,2111.0,744.0,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",2732.0,6253.0,4744.0,17,31,2098.0,772.0,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",1858.0,2536.0,3547.0,17,31,2544.0,2321.0,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",4487.0,10529.0,8952.0,17,31,4854.0,2247.0,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",2456.0,4039.0,3658.0,17,31,1015.0,540.0,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",4201.0,5111.0,2917.0,17,31,1214.0,545.0,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",3679.0,5447.0,9555.0,17,31,12758.0,9585.0,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",644.0,1725.0,2441.0,17,31,2224.0,1246.0,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",4567.0,5421.0,5086.0,17,31,742.0,224.0,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",607.0,2262.0,2481.0,17,31,4337.0,3045.0,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",414.0,592.0,492.0,17,31,115.0,115.0,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",11000.0,6870.0,3373.0,17,31,984.0,288.0,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",4261.0,7772.0,6685.0,17,31,3519.0,1679.0,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",2309.0,3453.0,5069.0,17,31,2102.0,1786.0,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",3053.0,6013.0,7849.0,17,31,2355.0,994.0,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",1173.0,2071.0,2046.0,17,31,850.0,376.0,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",6187.0,4155.0,3092.0,17,31,1096.0,361.0,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",9589.0,10261.0,7457.0,17,31,3033.0,956.0,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",369.0,984.0,1830.0,17,31,2855.0,5003.0,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",8270.0,8890.0,8427.0,17,31,9217.0,4133.0,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",2589.0,5262.0,5323.0,17,31,4250.0,1914.0,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",1101.0,1434.0,2148.0,17,31,1596.0,1955.0,12075.0,2010-2014
