Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
NEAR NORTH SIDE,"Census Tract 8383, Cook County, Illinois",1388.0,3652.0,7845.0,17,31,29453.0,26451.0,81940.0,2015-2019
NEAR SOUTH SIDE,"Census Tract 3302, Cook County, Illinois",763.0,1591.0,2893.0,17,31,6366.0,9237.0,24729.0,2015-2019
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",2839.0,4618.0,6151.0,17,31,16114.0,13804.0,63170.0,2015-2019
NEW CITY,"Census Tract 6119, Cook County, Illinois",6690.0,11299.0,4276.0,17,31,1487.0,642.0,39508.0,2015-2019
NORTH CENTER,"Census Tract 501, Cook County, Illinois",1197.0,1748.0,3077.0,17,31,10863.0,7989.0,35543.0,2015-2019
NORTH LAWNDALE,"Census Tract 8386, Cook County, Illinois",4490.0,6231.0,6254.0,17,31,1598.0,813.0,32073.0,2015-2019
NORTH PARK,"Census Tract 8318, Cook County, Illinois",1652.0,2449.0,2953.0,17,31,3639.0,2103.0,18914.0,2015-2019
NORWOOD PARK,"Census Tract 1004, Cook County, Illinois",2227.0,7413.0,7732.0,17,31,6919.0,4083.0,37924.0,2015-2019
OAKLAND,"Census Tract 3602, Cook County, Illinois",196.0,516.0,738.0,17,31,412.0,127.0,3440.0,2015-2019
OHARE,"Census Tract 7608.01, Cook County, Illinois",1033.0,2191.0,2856.0,17,31,2863.0,1273.0,12861.0,2015-2019
PORTAGE PARK,"Census Tract 8317, Cook County, Illinois",6689.0,11990.0,12200.0,17,31,9522.0,5126.0,64605.0,2015-2019
PULLMAN,"Census Tract 5001, Cook County, Illinois",512.0,1174.0,2009.0,17,31,830.0,449.0,6840.0,2015-2019
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",531.0,1028.0,1636.0,17,31,126.0,64.0,7359.0,2015-2019
ROGERS PARK,"Census Tract 8306, Cook County, Illinois",4558.0,7140.0,8171.0,17,31,8854.0,6740.0,50262.0,2015-2019
ROSELAND,"Census Tract 4903, Cook County, Illinois",3943.0,6518.0,10890.0,17,31,3247.0,1951.0,39162.0,2015-2019
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",3236.0,6520.0,5524.0,17,31,2165.0,1031.0,29936.0,2015-2019
SOUTH DEERING,"Census Tract 8388, Cook County, Illinois",2091.0,2936.0,3137.0,17,31,965.0,570.0,15475.0,2015-2019
SOUTH LAWNDALE,"Census Tract 8305, Cook County, Illinois",19584.0,13574.0,6765.0,17,31,3171.0,766.0,72157.0,2015-2019
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",2456.0,6806.0,10907.0,17,31,3535.0,2612.0,40221.0,2015-2019
UPTOWN,"Census Tract 8307, Cook County, Illinois",4867.0,6894.0,8784.0,17,31,16345.0,10139.0,58979.0,2015-2019
WASHINGTON HEIGHTS,"Census Tract 7307, Cook County, Illinois",2090.0,5001.0,6972.0,17,31,2562.0,1947.0,26742.0,2015-2019
WASHINGTON PARK,"Census Tract 8345, Cook County, Illinois",1136.0,2087.0,2127.0,17,31,808.0,330.0,10969.0,2015-2019
WEST ELSDON,"Census Tract 6203, Cook County, Illinois",3400.0,3767.0,2849.0,17,31,1128.0,412.0,19126.0,2015-2019
WEST ENGLEWOOD,"Census Tract 6702, Cook County, Illinois",3891.0,7340.0,4970.0,17,31,1082.0,498.0,26346.0,2015-2019
WEST GARFIELD PARK,"Census Tract 2605, Cook County, Illinois",2639.0,3539.0,3021.0,17,31,387.0,216.0,16415.0,2015-2019
WEST LAWN,"Census Tract 6501, Cook County, Illinois",5420.0,7641.0,4065.0,17,31,1700.0,625.0,31886.0,2015-2019
WEST PULLMAN,"Census Tract 5303, Cook County, Illinois",2539.0,5351.0,6512.0,17,31,2036.0,1179.0,27028.0,2015-2019
WEST RIDGE,"Census Tract 203.02, Cook County, Illinois",10007.0,11145.0,10840.0,17,31,12771.0,7188.0,78466.0,2015-2019
WEST TOWN,"Census Tract 2423, Cook County, Illinois",4053.0,6772.0,9334.0,17,31,29317.0,17356.0,83757.0,2015-2019
WOODLAWN,"Census Tract 4205, Cook County, Illinois",2042.0,3871.0,5234.0,17,31,2316.0,2228.0,24844.0,2015-2019
ALBANY PARK,Census Tract 1401; Cook County; Illinois,6240.0,6857.0,5728.0,17,31,8978.0,4843.0,47663.0,2018-2022
ARCHER HEIGHTS,Census Tract 5701; Cook County; Illinois,2205.0,3864.0,1839.0,17,31,656.0,246.0,13867.0,2018-2022
ARMOUR SQUARE,Census Tract 3403; Cook County; Illinois,3126.0,2251.0,1644.0,17,31,1600.0,1222.0,13193.0,2018-2022
ASHBURN,Census Tract 7001; Cook County; Illinois,5324.0,9264.0,7977.0,17,31,3390.0,2323.0,42745.0,2018-2022
AUBURN GRESHAM,Census Tract 7101; Cook County; Illinois,4922.0,10408.0,10823.0,17,31,3132.0,1944.0,46468.0,2018-2022
AUSTIN,Census Tract 2502; Cook County; Illinois,11762.0,24304.0,20704.0,17,31,5284.0,4340.0,100120.0,2018-2022
AVALON PARK,Census Tract 4503; Cook County; Illinois,622.0,1992.0,2332.0,17,31,1152.0,869.0,9647.0,2018-2022
AVONDALE,Census Tract 2101; Cook County; Illinois,3442.0,6092.0,5087.0,17,31,7826.0,3922.0,36374.0,2018-2022
BELMONT CRAGIN,Census Tract 1901; Cook County; Illinois,13858.0,14315.0,11822.0,17,31,5321.0,2324.0,73991.0,2018-2022
BEVERLY,Census Tract 7201; Cook County; Illinois,417.0,1771.0,3490.0,17,31,4130.0,4119.0,19781.0,2018-2022
BRIDGEPORT,Census Tract 6004; Cook County; Illinois,4441.0,6309.0,4666.0,17,31,5846.0,3809.0,33221.0,2018-2022
BRIGHTON PARK,Census Tract 5801; Cook County; Illinois,7867.0,10031.0,5216.0,17,31,2569.0,1047.0,42243.0,2018-2022
BURNSIDE,Census Tract 4701; Cook County; Illinois,211.0,499.0,620.0,17,31,183.0,133.0,2246.0,2018-2022
CALUMET HEIGHTS,Census Tract 4801; Cook County; Illinois,496.0,1874.0,3185.0,17,31,2117.0,1488.0,12087.0,2018-2022
CHATHAM,Census Tract 4401.01; Cook County; Illinois,2706.0,5042.0,8153.0,17,31,4306.0,2357.0,31341.0,2018-2022
CHICAGO LAWN,Census Tract 6603.01; Cook County; Illinois,7644.0,13396.0,8684.0,17,31,2434.0,910.0,52464.0,2018-2022
CLEARING,Census Tract 6401; Cook County; Illinois,2249.0,5714.0,5048.0,17,31,2897.0,915.0,24728.0,2018-2022
DOUGLAS,Census Tract 3501; Cook County; Illinois,1583.0,2451.0,4210.0,17,31,3302.0,3143.0,21355.0,2018-2022
DUNNING,Census Tract 1701; Cook County; Illinois,3153.0,9754.0,9472.0,17,31,5574.0,2819.0,42574.0,2018-2022
EAST GARFIELD PARK,Census Tract 2705; Cook County; Illinois,2433.0,3619.0,3815.0,17,31,1722.0,842.0,19901.0,2018-2022
EAST SIDE,Census Tract 5201; Cook County; Illinois,3802.0,5338.0,3591.0,17,31,1169.0,561.0,23942.0,2018-2022
EDGEWATER,Census Tract 301.01; Cook County; Illinois,2885.0,5852.0,7945.0,17,31,13614.0,11703.0,53802.0,2018-2022
EDISON PARK,Census Tract 901; Cook County; Illinois,205.0,1453.0,2015.0,17,31,3191.0,1365.0,11402.0,2018-2022
ENGLEWOOD,Census Tract 6805; Cook County; Illinois,2946.0,4534.0,4804.0,17,31,1493.0,401.0,21378.0,2018-2022
FOREST GLEN,Census Tract 1201; Cook County; Illinois,621.0,2225.0,2846.0,17,31,4339.0,3856.0,19855.0,2018-2022
FULLER PARK,Census Tract 8355; Cook County; Illinois,371.0,497.0,483.0,17,31,97.0,35.0,2142.0,2018-2022
GAGE PARK,Census Tract 6303; Cook County; Illinois,6401.0,8250.0,4355.0,17,31,1931.0,501.0,34788.0,2018-2022
GARFIELD RIDGE,Census Tract 5601; Cook County; Illinois,4177.0,8250.0,6992.0,17,31,3989.0,2304.0,36401.0,2018-2022
GRAND BOULEVARD,Census Tract 3801; Cook County; Illinois,2029.0,4054.0,5194.0,17,31,3958.0,2628.0,24813.0,2018-2022
GREATER GRAND CROSSING,Census Tract 6903; Cook County; Illinois,2242.0,6005.0,7153.0,17,31,2793.0,1507.0,28991.0,2018-2022
HEGEWISCH,Census Tract 5501; Cook County; Illinois,897.0,2098.0,2062.0,17,31,696.0,445.0,9025.0,2018-2022
HERMOSA,Census Tract 2001; Cook County; Illinois,4205.0,4220.0,3545.0,17,31,2303.0,719.0,23157.0,2018-2022
HUMBOLDT PARK,Census Tract 2301; Cook County; Illinois,8415.0,10397.0,8350.0,17,31,4612.0,3771.0,55416.0,2018-2022
HYDE PARK,Census Tract 4102; Cook County; Illinois,450.0,663.0,1260.0,17,31,2723.0,6416.0,19850.0,2018-2022
IRVING PARK,Census Tract 1601; Cook County; Illinois,4905.0,7774.0,7748.0,17,31,11393.0,6958.0,53584.0,2018-2022
JEFFERSON PARK,Census Tract 1101; Cook County; Illinois,1592.0,5115.0,4941.0,17,31,5217.0,2951.0,27032.0,2018-2022
KENWOOD,Census Tract 3901; Cook County; Illinois,617.0,1791.0,2000.0,17,31,1953.0,2576.0,12575.0,2018-2022
LAKE VIEW,Census Tract 601; Cook County; Illinois,1406.0,3019.0,7050.0,17,31,32600.0,23211.0,90421.0,2018-2022
LINCOLN PARK,Census Tract 701.01; Cook County; Illinois,1068.0,1981.0,4042.0,17,31,21923.0,19314.0,69099.0,2018-2022
LINCOLN SQUARE,Census Tract 401; Cook County; Illinois,1960.0,3898.0,5032.0,17,31,12419.0,8950.0,42271.0,2018-2022
LOGAN SQUARE,Census Tract 2203; Cook County; Illinois,4327.0,8344.0,8480.0,17,31,20288.0,13175.0,72332.0,2018-2022
LOOP,Census Tract 3201.01; Cook County; Illinois,936.0,1359.0,3447.0,17,31,12277.0,14000.0,41671.0,2018-2022
LOWER WEST SIDE,Census Tract 3102; Cook County; Illinois,5713.0,4884.0,4855.0,17,31,5862.0,3680.0,34237.0,2018-2022
MCKINLEY PARK,Census Tract 5905; Cook County; Illinois,2599.0,3110.0,2237.0,17,31,1815.0,1272.0,15479.0,2018-2022
MONTCLARE,Census Tract 1801; Cook County; Illinois,1844.0,2998.0,3171.0,17,31,1117.0,575.0,13765.0,2018-2022
MORGAN PARK,Census Tract 7501; Cook County; Illinois,975.0,2767.0,5087.0,17,31,3154.0,2737.0,20718.0,2018-2022
MOUNT GREENWOOD,Census Tract 7401; Cook County; Illinois,517.0,2593.0,4281.0,17,31,2974.0,2202.0,19121.0,2018-2022
NEAR NORTH SIDE,Census Tract 801; Cook County; Illinois,1198.0,3269.0,7043.0,17,31,31956.0,29461.0,88784.0,2018-2022
NEAR SOUTH SIDE,Census Tract 3301.01; Cook County; Illinois,1022.0,738.0,2600.0,17,31,7886.0,11368.0,28216.0,2018-2022
NEAR WEST SIDE,Census Tract 2801; Cook County; Illinois,2554.0,4607.0,7204.0,17,31,17142.0,15997.0,65581.0,2018-2022
NEW CITY,Census Tract 6103; Cook County; Illinois,7856.0,9263.0,5733.0,17,31,1728.0,1081.0,41048.0,2018-2022
NORTH CENTER,Census Tract 501; Cook County; Illinois,776.0,1433.0,2936.0,17,31,11394.0,8517.0,35814.0,2018-2022
NORTH LAWNDALE,Census Tract 2909; Cook County; Illinois,4034.0,5805.0,6797.0,17,31,1898.0,1101.0,30409.0,2018-2022
NORTH PARK,Census Tract 1301; Cook County; Illinois,1511.0,2687.0,2753.0,17,31,3658.0,2702.0,19398.0,2018-2022
NORWOOD PARK,Census Tract 1001; Cook County; Illinois,1987.0,6584.0,6771.0,17,31,6992.0,5632.0,39326.0,2018-2022
OAKLAND,Census Tract 3602; Cook County; Illinois,220.0,461.0,614.0,17,31,375.0,211.0,3194.0,2018-2022
OHARE,Census Tract 7608.01; Cook County; Illinois,826.0,2517.0,2831.0,17,31,2787.0,1594.0,13771.0,2018-2022
PORTAGE PARK,Census Tract 1502; Cook County; Illinois,5491.0,12065.0,11644.0,17,31,11016.0,5105.0,64213.0,2018-2022
PULLMAN,Census Tract 5001; Cook County; Illinois,509.0,1308.0,1912.0,17,31,823.0,637.0,6856.0,2018-2022
RIVERDALE,Census Tract 5401.01; Cook County; Illinois,543.0,1283.0,1676.0,17,31,122.0,137.0,7817.0,2018-2022
ROGERS PARK,Census Tract 101; Cook County; Illinois,4253.0,5651.0,7896.0,17,31,10895.0,7115.0,51238.0,2018-2022
ROSELAND,Census Tract 4902; Cook County; Illinois,3749.0,6511.0,10283.0,17,31,3741.0,2171.0,37610.0,2018-2022
SOUTH CHICAGO,Census Tract 4601; Cook County; Illinois,3313.0,5435.0,6803.0,17,31,2514.0,1504.0,30315.0,2018-2022
SOUTH DEERING,Census Tract 5101; Cook County; Illinois,1770.0,3474.0,3346.0,17,31,1204.0,480.0,15218.0,2018-2022
SOUTH LAWNDALE,Census Tract 3005; Cook County; Illinois,17268.0,15292.0,7923.0,17,31,3930.0,1496.0,69708.0,2018-2022
SOUTH SHORE,Census Tract 4301.01; Cook County; Illinois,3152.0,7839.0,11174.0,17,31,4252.0,3289.0,42017.0,2018-2022
UPTOWN,Census Tract 310; Cook County; Illinois,4284.0,5186.0,9751.0,17,31,15970.0,11132.0,57464.0,2018-2022
WASHINGTON HEIGHTS,Census Tract 7301; Cook County; Illinois,1842.0,4682.0,6618.0,17,31,2984.0,2153.0,26456.0,2018-2022
WASHINGTON PARK,Census Tract 4003; Cook County; Illinois,982.0,2067.0,2478.0,17,31,958.0,764.0,12366.0,2018-2022
WEST ELSDON,Census Tract 6201; Cook County; Illinois,3176.0,3812.0,2832.0,17,31,1312.0,782.0,18366.0,2018-2022
WEST ENGLEWOOD,Census Tract 6701; Cook County; Illinois,4010.0,6918.0,4845.0,17,31,1155.0,596.0,25772.0,2018-2022
WEST GARFIELD PARK,Census Tract 2601; Cook County; Illinois,2748.0,3722.0,3467.0,17,31,566.0,273.0,16374.0,2018-2022
WEST LAWN,Census Tract 6501; Cook County; Illinois,5460.0,7398.0,4064.0,17,31,2172.0,1078.0,32594.0,2018-2022
WEST PULLMAN,Census Tract 5301; Cook County; Illinois,1974.0,5345.0,6651.0,17,31,1909.0,1106.0,25449.0,2018-2022
WEST RIDGE,Census Tract 201; Cook County; Illinois,8416.0,10980.0,11248.0,17,31,13062.0,8221.0,79265.0,2018-2022
WEST TOWN,Census Tract 2402; Cook County; Illinois,3526.0,5861.0,8667.0,17,31,31669.0,18724.0,85402.0,2018-2022
WOODLAWN,Census Tract 4201; Cook County; Illinois,2129.0,4088.0,6157.0,17,31,2845.0,1995.0,26495.0,2018-2022
