community_area,NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,population,period
BRIDGEPORT,"Census Tract 6007, Cook County, Illinois",6102.0,2777.0,6784.0,4988.0,4748.0,4316.0,2660.0,1886.0,17,31,34540.0,2015-2019
BRIGHTON PARK,"Census Tract 5807, Cook County, Illinois",12121.0,4774.0,7377.0,6099.0,4790.0,4282.0,2624.0,1620.0,17,31,44156.0,2015-2019
BURNSIDE,"Census Tract 4701, Cook County, Illinois",250.0,195.0,234.0,291.0,189.0,298.0,275.0,257.0,17,31,2006.0,2015-2019
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",1997.0,1142.0,1411.0,1214.0,2046.0,1945.0,1312.0,1642.0,17,31,12815.0,2015-2019
CHATHAM,"Census Tract 4409, Cook County, Illinois",6062.0,2475.0,4297.0,3476.0,3987.0,5152.0,2560.0,2370.0,17,31,30967.0,2015-2019
CHICAGO LAWN,"Census Tract 6610, Cook County, Illinois",13623.0,5423.0,8177.0,6091.0,6006.0,5076.0,3911.0,2415.0,17,31,51352.0,2015-2019
CLEARING,"Census Tract 6404, Cook County, Illinois",5909.0,1786.0,3810.0,3739.0,3056.0,3197.0,1710.0,1359.0,17,31,24976.0,2015-2019
DOUGLAS,"Census Tract 3510, Cook County, Illinois",3388.0,3849.0,4519.0,1948.0,2007.0,2306.0,1687.0,1480.0,17,31,21353.0,2015-2019
DUNNING,"Census Tract 1709, Cook County, Illinois",8578.0,3068.0,5862.0,5733.0,6430.0,5805.0,4468.0,3183.0,17,31,43445.0,2015-2019
EAST GARFIELD PARK,"Census Tract 2705, Cook County, Illinois",5396.0,1809.0,2945.0,2457.0,2186.0,1947.0,1089.0,843.0,17,31,18940.0,2015-2019
EAST SIDE,"Census Tract 5204, Cook County, Illinois",6746.0,2569.0,3015.0,2731.0,3004.0,2656.0,1596.0,1033.0,17,31,23723.0,2015-2019
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",5578.0,5259.0,12685.0,8657.0,7535.0,6337.0,5028.0,3825.0,17,31,55407.0,2015-2019
EDISON PARK,"Census Tract 901, Cook County, Illinois",2253.0,589.0,1570.0,1634.0,1583.0,1632.0,969.0,869.0,17,31,11264.0,2015-2019
ENGLEWOOD,"Census Tract 6814, Cook County, Illinois",5878.0,2184.0,3314.0,2336.0,2521.0,3116.0,1928.0,1363.0,17,31,22921.0,2015-2019
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",4722.0,767.0,2136.0,2486.0,3300.0,2220.0,1720.0,1842.0,17,31,19384.0,2015-2019
FULLER PARK,"Census Tract 8355, Cook County, Illinois",343.0,227.0,243.0,220.0,254.0,356.0,467.0,159.0,17,31,2330.0,2015-2019
GAGE PARK,"Census Tract 6302, Cook County, Illinois",10898.0,4266.0,6543.0,4330.0,4561.0,2941.0,2382.0,1081.0,17,31,37478.0,2015-2019
GARFIELD RIDGE,"Census Tract 5609, Cook County, Illinois",8553.0,2520.0,4699.0,5265.0,4798.0,5113.0,3376.0,2450.0,17,31,37207.0,2015-2019
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",5196.0,1775.0,3220.0,3218.0,2641.0,2957.0,1979.0,1434.0,17,31,22643.0,2015-2019
GREATER GRAND CROSSING,"Census Tract 6911, Cook County, Illinois",6791.0,2513.0,5120.0,3302.0,3451.0,4246.0,2372.0,1970.0,17,31,30149.0,2015-2019
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",1779.0,929.0,900.0,1337.0,1241.0,1133.0,853.0,848.0,17,31,9089.0,2015-2019
HERMOSA,"Census Tract 2001, Cook County, Illinois",5242.0,2717.0,3757.0,3191.0,3029.0,2818.0,1593.0,898.0,17,31,23481.0,2015-2019
HUMBOLDT PARK,"Census Tract 2307, Cook County, Illinois",14107.0,5721.0,8867.0,7944.0,6634.0,5832.0,3191.0,2107.0,17,31,55364.0,2015-2019
HYDE PARK,"Census Tract 4108, Cook County, Illinois",2142.0,5380.0,3429.0,1881.0,1660.0,1743.0,1320.0,988.0,17,31,18624.0,2015-2019
IRVING PARK,"Census Tract 1609, Cook County, Illinois",9807.0,4410.0,10171.0,9104.0,7368.0,6214.0,3455.0,2192.0,17,31,53530.0,2015-2019
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",5330.0,1820.0,4106.0,3982.0,4234.0,3328.0,2544.0,1863.0,17,31,27503.0,2015-2019
KENWOOD,"Census Tract 3904, Cook County, Illinois",2697.0,871.0,2290.0,1553.0,1741.0,1471.0,995.0,730.0,17,31,12582.0,2015-2019
LAKE VIEW,"Census Tract 8319, Cook County, Illinois",9874.0,11844.0,32437.0,13954.0,8432.0,5515.0,3872.0,2599.0,17,31,89861.0,2015-2019
LINCOLN PARK,"Census Tract 8325, Cook County, Illinois",9017.0,10117.0,22281.0,8307.0,6693.0,5572.0,4242.0,2441.0,17,31,69465.0,2015-2019
LINCOLN SQUARE,"Census Tract 8308, Cook County, Illinois",6201.0,2567.0,11123.0,8036.0,5067.0,4257.0,2425.0,1496.0,17,31,42103.0,2015-2019
LOGAN SQUARE,"Census Tract 8309, Cook County, Illinois",11644.0,6169.0,23366.0,12652.0,7538.0,5382.0,3293.0,1889.0,17,31,73277.0,2015-2019
LOOP,"Census Tract 8390, Cook County, Illinois",2033.0,7089.0,13095.0,5253.0,3970.0,3150.0,2397.0,1433.0,17,31,38655.0,2015-2019
LOWER WEST SIDE,"Census Tract 3104, Cook County, Illinois",6097.0,3714.0,8567.0,4489.0,3475.0,3301.0,1991.0,1255.0,17,31,33203.0,2015-2019
MCKINLEY PARK,"Census Tract 5906, Cook County, Illinois",3227.0,1459.0,2484.0,2194.0,2191.0,1742.0,1032.0,665.0,17,31,15177.0,2015-2019
MONTCLARE,"Census Tract 8316, Cook County, Illinois",2968.0,1472.0,2031.0,1872.0,1664.0,1666.0,1553.0,867.0,17,31,14267.0,2015-2019
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",4530.0,1724.0,2053.0,2476.0,2732.0,3493.0,1990.0,1915.0,17,31,21050.0,2015-2019
MOUNT GREENWOOD,"Census Tract 7403, Cook County, Illinois",4365.0,1845.0,2300.0,2676.0,2517.0,2771.0,1306.0,1090.0,17,31,19190.0,2015-2019
NEAR NORTH SIDE,"Census Tract 8383, Cook County, Illinois",5079.0,6928.0,28448.0,10451.0,8007.0,8633.0,8246.0,5004.0,17,31,81940.0,2015-2019
NEAR SOUTH SIDE,"Census Tract 3302, Cook County, Illinois",2585.0,922.0,7154.0,4166.0,3896.0,2971.0,1759.0,904.0,17,31,24729.0,2015-2019
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",8466.0,10196.0,18496.0,9888.0,5738.0,4792.0,3014.0,1598.0,17,31,63170.0,2015-2019
NEW CITY,"Census Tract 6119, Cook County, Illinois",10133.0,4485.0,6179.0,5171.0,4717.0,3547.0,3022.0,1758.0,17,31,39508.0,2015-2019
NORTH CENTER,"Census Tract 501, Cook County, Illinois",8659.0,1522.0,7467.0,7233.0,4583.0,2681.0,1533.0,1377.0,17,31,35543.0,2015-2019
NORTH LAWNDALE,"Census Tract 8386, Cook County, Illinois",8210.0,4063.0,4822.0,4051.0,3509.0,3550.0,2027.0,1427.0,17,31,32073.0,2015-2019
NORTH PARK,"Census Tract 8318, Cook County, Illinois",4045.0,1844.0,2478.0,2273.0,2320.0,1981.0,1895.0,1849.0,17,31,18914.0,2015-2019
NORWOOD PARK,"Census Tract 1004, Cook County, Illinois",7209.0,2082.0,5230.0,5115.0,4945.0,5740.0,3786.0,3558.0,17,31,37924.0,2015-2019
OAKLAND,"Census Tract 3602, Cook County, Illinois",1155.0,219.0,448.0,585.0,324.0,407.0,170.0,55.0,17,31,3440.0,2015-2019
OHARE,"Census Tract 7608.01, Cook County, Illinois",1931.0,457.0,3240.0,2011.0,1468.0,1498.0,948.0,1051.0,17,31,12861.0,2015-2019
PORTAGE PARK,"Census Tract 8317, Cook County, Illinois",12921.0,5409.0,9054.0,10132.0,9058.0,9003.0,4527.0,3753.0,17,31,64605.0,2015-2019
PULLMAN,"Census Tract 5001, Cook County, Illinois",1181.0,608.0,1031.0,877.0,968.0,1028.0,563.0,507.0,17,31,6840.0,2015-2019
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",2886.0,934.0,1231.0,781.0,584.0,436.0,222.0,131.0,17,31,7359.0,2015-2019
ROGERS PARK,"Census Tract 8306, Cook County, Illinois",8874.0,5224.0,10633.0,7936.0,6968.0,5286.0,2802.0,1838.0,17,31,50262.0,2015-2019
ROSELAND,"Census Tract 4903, Cook County, Illinois",8397.0,3735.0,4899.0,4208.0,5172.0,5185.0,3648.0,3437.0,17,31,39162.0,2015-2019
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",7813.0,3263.0,3694.0,3548.0,3479.0,3554.0,1978.0,2223.0,17,31,29936.0,2015-2019
SOUTH DEERING,"Census Tract 8388, Cook County, Illinois",4084.0,1472.0,2084.0,1967.0,1654.0,1561.0,1272.0,1161.0,17,31,15475.0,2015-2019
SOUTH LAWNDALE,"Census Tract 8305, Cook County, Illinois",18113.0,9206.0,12781.0,10489.0,7828.0,6070.0,4245.0,2447.0,17,31,72157.0,2015-2019
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",9752.0,3646.0,6006.0,5615.0,4795.0,4790.0,3012.0,2098.0,17,31,40221.0,2015-2019
UPTOWN,"Census Tract 8307, Cook County, Illinois",6843.0,4520.0,15909.0,9594.0,7386.0,6713.0,3674.0,3753.0,17,31,58979.0,2015-2019
WASHINGTON HEIGHTS,"Census Tract 7307, Cook County, Illinois",5481.0,2547.0,3300.0,3105.0,3225.0,4067.0,2504.0,2371.0,17,31,26742.0,2015-2019
WASHINGTON PARK,"Census Tract 8345, Cook County, Illinois",3239.0,1099.0,2058.0,1325.0,1179.0,1084.0,506.0,336.0,17,31,10969.0,2015-2019
WEST ELSDON,"Census Tract 6203, Cook County, Illinois",5138.0,2298.0,2894.0,2746.0,2106.0,1861.0,1297.0,652.0,17,31,19126.0,2015-2019
WEST ENGLEWOOD,"Census Tract 6702, Cook County, Illinois",5806.0,2463.0,2940.0,2918.0,3153.0,3438.0,2828.0,2504.0,17,31,26346.0,2015-2019
WEST GARFIELD PARK,"Census Tract 2605, Cook County, Illinois",4558.0,1772.0,2309.0,1843.0,1632.0,2061.0,976.0,981.0,17,31,16415.0,2015-2019
WEST LAWN,"Census Tract 6501, Cook County, Illinois",8789.0,3332.0,4430.0,4991.0,3877.0,2826.0,1881.0,1446.0,17,31,31886.0,2015-2019
WEST PULLMAN,"Census Tract 5303, Cook County, Illinois",6315.0,2744.0,3716.0,2952.0,3364.0,3277.0,2469.0,1839.0,17,31,27028.0,2015-2019
WEST RIDGE,"Census Tract 203.02, Cook County, Illinois",19249.0,5893.0,12147.0,10633.0,9632.0,9087.0,6058.0,4394.0,17,31,78466.0,2015-2019
WEST TOWN,"Census Tract 2423, Cook County, Illinois",10001.0,5582.0,33575.0,15136.0,7715.0,5428.0,3028.0,1950.0,17,31,83757.0,2015-2019
WOODLAWN,"Census Tract 4205, Cook County, Illinois",5325.0,3595.0,3815.0,2893.0,2772.0,3046.0,2075.0,1090.0,17,31,24844.0,2015-2019
ALBANY PARK,Census Tract 1401; Cook County; Illinois,9303.0,5345.0,8597.0,7249.0,6091.0,5384.0,3723.0,1602.0,17,31,47663.0,2018-2022
ARCHER HEIGHTS,Census Tract 5701; Cook County; Illinois,3251.0,1633.0,2079.0,1542.0,1890.0,1244.0,1172.0,883.0,17,31,13867.0,2018-2022
ARMOUR SQUARE,Census Tract 3403; Cook County; Illinois,2250.0,1013.0,1846.0,1397.0,1846.0,1656.0,1369.0,1729.0,17,31,13193.0,2018-2022
ASHBURN,Census Tract 7001; Cook County; Illinois,9831.0,4198.0,5638.0,5756.0,5978.0,5261.0,3462.0,2183.0,17,31,42745.0,2018-2022
AUBURN GRESHAM,Census Tract 7101; Cook County; Illinois,10627.0,4138.0,6015.0,5502.0,5760.0,5371.0,4446.0,4135.0,17,31,46468.0,2018-2022
AUSTIN,Census Tract 2502; Cook County; Illinois,23412.0,9224.0,13299.0,14070.0,12017.0,12026.0,9108.0,5874.0,17,31,100120.0,2018-2022
AVALON PARK,Census Tract 4503; Cook County; Illinois,1688.0,716.0,886.0,1350.0,1033.0,1252.0,1036.0,1410.0,17,31,9647.0,2018-2022
AVONDALE,Census Tract 2101; Cook County; Illinois,6056.0,3568.0,9230.0,5872.0,4374.0,3901.0,1874.0,1118.0,17,31,36374.0,2018-2022
BELMONT CRAGIN,Census Tract 1901; Cook County; Illinois,17801.0,7567.0,9993.0,11239.0,9042.0,8616.0,5480.0,3270.0,17,31,73991.0,2018-2022
BEVERLY,Census Tract 7201; Cook County; Illinois,4076.0,1583.0,1884.0,2538.0,2390.0,3242.0,2489.0,1384.0,17,31,19781.0,2018-2022
BRIDGEPORT,Census Tract 6004; Cook County; Illinois,5272.0,2463.0,6941.0,5038.0,3972.0,3921.0,3520.0,1679.0,17,31,33221.0,2018-2022
BRIGHTON PARK,Census Tract 5801; Cook County; Illinois,10521.0,4740.0,7486.0,4915.0,5168.0,4723.0,2859.0,1579.0,17,31,42243.0,2018-2022
BURNSIDE,Census Tract 4701; Cook County; Illinois,409.0,146.0,147.0,340.0,334.0,277.0,274.0,274.0,17,31,2246.0,2018-2022
CALUMET HEIGHTS,Census Tract 4801; Cook County; Illinois,2012.0,763.0,1491.0,1007.0,1531.0,1716.0,1941.0,1474.0,17,31,12087.0,2018-2022
CHATHAM,Census Tract 4401.01; Cook County; Illinois,5408.0,3087.0,4658.0,3604.0,3176.0,5317.0,3411.0,2398.0,17,31,31341.0,2018-2022
CHICAGO LAWN,Census Tract 6603.01; Cook County; Illinois,12781.0,6255.0,8095.0,6195.0,6445.0,5064.0,3602.0,3667.0,17,31,52464.0,2018-2022
CLEARING,Census Tract 6401; Cook County; Illinois,5582.0,1990.0,3739.0,3538.0,3660.0,2656.0,1798.0,1432.0,17,31,24728.0,2018-2022
DOUGLAS,Census Tract 3501; Cook County; Illinois,2946.0,3465.0,4396.0,2290.0,2033.0,2332.0,2024.0,1614.0,17,31,21355.0,2018-2022
DUNNING,Census Tract 1701; Cook County; Illinois,7980.0,3538.0,5126.0,5265.0,7160.0,6164.0,3873.0,3184.0,17,31,42574.0,2018-2022
EAST GARFIELD PARK,Census Tract 2705; Cook County; Illinois,5113.0,2142.0,2910.0,2795.0,2396.0,2214.0,1328.0,788.0,17,31,19901.0,2018-2022
EAST SIDE,Census Tract 5201; Cook County; Illinois,6382.0,2714.0,2947.0,3803.0,2739.0,2463.0,1711.0,798.0,17,31,23942.0,2018-2022
EDGEWATER,Census Tract 301.01; Cook County; Illinois,5734.0,5556.0,11948.0,8623.0,6653.0,6044.0,4830.0,3901.0,17,31,53802.0,2018-2022
EDISON PARK,Census Tract 901; Cook County; Illinois,2436.0,632.0,1765.0,1481.0,1719.0,1602.0,886.0,776.0,17,31,11402.0,2018-2022
ENGLEWOOD,Census Tract 6805; Cook County; Illinois,5162.0,1956.0,3221.0,2268.0,2183.0,3229.0,1717.0,1560.0,17,31,21378.0,2018-2022
FOREST GLEN,Census Tract 1201; Cook County; Illinois,4832.0,963.0,1887.0,3129.0,2636.0,2629.0,1984.0,1622.0,17,31,19855.0,2018-2022
FULLER PARK,Census Tract 8355; Cook County; Illinois,378.0,233.0,180.0,245.0,109.0,307.0,525.0,117.0,17,31,2142.0,2018-2022
GAGE PARK,Census Tract 6303; Cook County; Illinois,8777.0,4283.0,5099.0,4398.0,4544.0,3056.0,2528.0,1813.0,17,31,34788.0,2018-2022
GARFIELD RIDGE,Census Tract 5601; Cook County; Illinois,7881.0,2308.0,4731.0,4894.0,5121.0,4932.0,3537.0,2497.0,17,31,36401.0,2018-2022
GRAND BOULEVARD,Census Tract 3801; Cook County; Illinois,4603.0,1887.0,4476.0,2998.0,3453.0,3224.0,2134.0,1578.0,17,31,24813.0,2018-2022
GREATER GRAND CROSSING,Census Tract 6903; Cook County; Illinois,6631.0,2313.0,3792.0,3448.0,3508.0,3942.0,2833.0,2177.0,17,31,28991.0,2018-2022
HEGEWISCH,Census Tract 5501; Cook County; Illinois,2026.0,801.0,1239.0,1023.0,1112.0,1270.0,909.0,645.0,17,31,9025.0,2018-2022
HERMOSA,Census Tract 2001; Cook County; Illinois,4998.0,2778.0,3330.0,2857.0,3546.0,2232.0,2001.0,1026.0,17,31,23157.0,2018-2022
HUMBOLDT PARK,Census Tract 2301; Cook County; Illinois,13550.0,5062.0,9612.0,8305.0,5971.0,6437.0,3505.0,1715.0,17,31,55416.0,2018-2022
HYDE PARK,Census Tract 4102; Cook County; Illinois,2575.0,5647.0,3964.0,1923.0,1660.0,1869.0,1280.0,816.0,17,31,19850.0,2018-2022
IRVING PARK,Census Tract 1601; Cook County; Illinois,10813.0,3121.0,10065.0,9892.0,6985.0,6020.0,3554.0,2262.0,17,31,53584.0,2018-2022
JEFFERSON PARK,Census Tract 1101; Cook County; Illinois,5316.0,1717.0,4152.0,4210.0,3571.0,3698.0,2264.0,1921.0,17,31,27032.0,2018-2022
KENWOOD,Census Tract 3901; Cook County; Illinois,2854.0,667.0,2025.0,1698.0,1551.0,1658.0,1165.0,840.0,17,31,12575.0,2018-2022
LAKE VIEW,Census Tract 601; Cook County; Illinois,9991.0,11734.0,31218.0,14190.0,8751.0,5747.0,4264.0,3116.0,17,31,90421.0,2018-2022
LINCOLN PARK,Census Tract 701.01; Cook County; Illinois,9567.0,10478.0,20700.0,8171.0,6507.0,6122.0,4101.0,2727.0,17,31,69099.0,2018-2022
LINCOLN SQUARE,Census Tract 401; Cook County; Illinois,6613.0,2852.0,9928.0,8739.0,5729.0,3651.0,2327.0,1885.0,17,31,42271.0,2018-2022
LOGAN SQUARE,Census Tract 2203; Cook County; Illinois,10726.0,5898.0,23176.0,13044.0,7523.0,5188.0,3515.0,2168.0,17,31,72332.0,2018-2022
LOOP,Census Tract 3201.01; Cook County; Illinois,2240.0,7071.0,15290.0,5953.0,3312.0,3325.0,2623.0,1516.0,17,31,41671.0,2018-2022
LOWER WEST SIDE,Census Tract 3102; Cook County; Illinois,5572.0,3417.0,8668.0,5335.0,3907.0,3265.0,2407.0,1412.0,17,31,34237.0,2018-2022
MCKINLEY PARK,Census Tract 5905; Cook County; Illinois,2935.0,1429.0,2453.0,1963.0,2429.0,2362.0,1040.0,786.0,17,31,15479.0,2018-2022
MONTCLARE,Census Tract 1801; Cook County; Illinois,2934.0,1027.0,1644.0,2052.0,1836.0,1783.0,1597.0,793.0,17,31,13765.0,2018-2022
MORGAN PARK,Census Tract 7501; Cook County; Illinois,4755.0,993.0,2299.0,2590.0,2595.0,2928.0,2040.0,2268.0,17,31,20718.0,2018-2022
MOUNT GREENWOOD,Census Tract 7401; Cook County; Illinois,4610.0,1674.0,1829.0,2967.0,2485.0,2644.0,1580.0,1062.0,17,31,19121.0,2018-2022
NEAR NORTH SIDE,Census Tract 801; Cook County; Illinois,5382.0,9714.0,30491.0,10920.0,7947.0,9786.0,8113.0,5670.0,17,31,88784.0,2018-2022
NEAR SOUTH SIDE,Census Tract 3301.01; Cook County; Illinois,3331.0,990.0,8177.0,5253.0,3506.0,3174.0,1709.0,1795.0,17,31,28216.0,2018-2022
NEAR WEST SIDE,Census Tract 2801; Cook County; Illinois,8351.0,9010.0,20848.0,10835.0,6753.0,4758.0,2781.0,1529.0,17,31,65581.0,2018-2022
NEW CITY,Census Tract 6103; Cook County; Illinois,10392.0,4433.0,5388.0,5991.0,5434.0,3765.0,3151.0,1932.0,17,31,41048.0,2018-2022
NORTH CENTER,Census Tract 501; Cook County; Illinois,8884.0,1382.0,7320.0,7618.0,4699.0,2749.0,1698.0,972.0,17,31,35814.0,2018-2022
NORTH LAWNDALE,Census Tract 2909; Cook County; Illinois,7385.0,2907.0,4749.0,4046.0,3571.0,3530.0,2309.0,1430.0,17,31,30409.0,2018-2022
NORTH PARK,Census Tract 1301; Cook County; Illinois,4033.0,1696.0,2646.0,2769.0,2074.0,2249.0,2006.0,1567.0,17,31,19398.0,2018-2022
NORWOOD PARK,Census Tract 1001; Cook County; Illinois,8842.0,2191.0,4204.0,6078.0,4798.0,5093.0,4098.0,3695.0,17,31,39326.0,2018-2022
OAKLAND,Census Tract 3602; Cook County; Illinois,1042.0,245.0,327.0,480.0,326.0,340.0,257.0,151.0,17,31,3194.0,2018-2022
OHARE,Census Tract 7608.01; Cook County; Illinois,2045.0,951.0,3220.0,1890.0,1831.0,1731.0,1207.0,676.0,17,31,13771.0,2018-2022
PORTAGE PARK,Census Tract 1502; Cook County; Illinois,12334.0,5835.0,8693.0,10331.0,8540.0,8825.0,5533.0,3399.0,17,31,64213.0,2018-2022
PULLMAN,Census Tract 5001; Cook County; Illinois,1172.0,432.0,990.0,835.0,1322.0,858.0,543.0,641.0,17,31,6856.0,2018-2022
RIVERDALE,Census Tract 5401.01; Cook County; Illinois,3025.0,940.0,1430.0,762.0,487.0,652.0,272.0,158.0,17,31,7817.0,2018-2022
ROGERS PARK,Census Tract 101; Cook County; Illinois,8557.0,6194.0,9193.0,7691.0,6957.0,6188.0,3776.0,2005.0,17,31,51238.0,2018-2022
ROSELAND,Census Tract 4902; Cook County; Illinois,7669.0,3172.0,5312.0,3912.0,4942.0,5656.0,3378.0,3255.0,17,31,37610.0,2018-2022
SOUTH CHICAGO,Census Tract 4601; Cook County; Illinois,7630.0,2722.0,4360.0,3602.0,3147.0,3886.0,2364.0,2210.0,17,31,30315.0,2018-2022
SOUTH DEERING,Census Tract 5101; Cook County; Illinois,3131.0,1574.0,2075.0,2086.0,1512.0,1957.0,1807.0,837.0,17,31,15218.0,2018-2022
SOUTH LAWNDALE,Census Tract 3005; Cook County; Illinois,14278.0,8942.0,12359.0,9691.0,7833.0,6677.0,5868.0,3481.0,17,31,69708.0,2018-2022
SOUTH SHORE,Census Tract 4301.01; Cook County; Illinois,8865.0,2824.0,7393.0,5751.0,4450.0,5555.0,4436.0,2121.0,17,31,42017.0,2018-2022
UPTOWN,Census Tract 310; Cook County; Illinois,5944.0,4526.0,15472.0,10289.0,7152.0,6660.0,3131.0,3619.0,17,31,57464.0,2018-2022
WASHINGTON HEIGHTS,Census Tract 7301; Cook County; Illinois,5196.0,2797.0,3023.0,2772.0,3878.0,3470.0,2339.0,2797.0,17,31,26456.0,2018-2022
WASHINGTON PARK,Census Tract 4003; Cook County; Illinois,3631.0,1290.0,1863.0,1932.0,1350.0,1075.0,817.0,212.0,17,31,12366.0,2018-2022
WEST ELSDON,Census Tract 6201; Cook County; Illinois,4623.0,1717.0,2666.0,2564.0,2285.0,1892.0,1312.0,1195.0,17,31,18366.0,2018-2022
WEST ENGLEWOOD,Census Tract 6701; Cook County; Illinois,5383.0,2538.0,3701.0,2739.0,2166.0,3944.0,2625.0,2349.0,17,31,25772.0,2018-2022
WEST GARFIELD PARK,Census Tract 2601; Cook County; Illinois,3653.0,1701.0,2491.0,1916.0,1642.0,2522.0,1261.0,944.0,17,31,16374.0,2018-2022
WEST LAWN,Census Tract 6501; Cook County; Illinois,8308.0,3545.0,4269.0,4800.0,4417.0,2784.0,1730.0,2172.0,17,31,32594.0,2018-2022
WEST PULLMAN,Census Tract 5301; Cook County; Illinois,5700.0,2584.0,3119.0,3528.0,3063.0,3020.0,2168.0,2087.0,17,31,25449.0,2018-2022
WEST RIDGE,Census Tract 201; Cook County; Illinois,20239.0,5789.0,10332.0,10181.0,10862.0,9692.0,6741.0,4119.0,17,31,79265.0,2018-2022
WEST TOWN,Census Tract 2402; Cook County; Illinois,9493.0,5776.0,33351.0,16623.0,7812.0,5063.0,3328.0,2270.0,17,31,85402.0,2018-2022
WOODLAWN,Census Tract 4201; Cook County; Illinois,5186.0,3918.0,4084.0,3163.0,3413.0,3272.0,2117.0,1165.0,17,31,26495.0,2018-2022
