NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
"Census Tract 8184.01, Cook County, Illinois",1795.0,948.0,41.0,179.0,0.0,367.0,95.0,17,031,818401
"Census Tract 8165, Cook County, Illinois",2329.0,131.0,8.0,2.0,0.0,1841.0,264.0,17,031,816500
"Census Tract 4206, Cook County, Illinois",111.0,1921.0,0.0,5.0,0.0,0.0,19.0,17,031,420600
"Census Tract 4408, Cook County, Illinois",0.0,1757.0,0.0,0.0,0.0,17.0,3.0,17,031,440800
"Census Tract 4602, Cook County, Illinois",1070.0,1381.0,0.0,0.0,0.0,175.0,0.0,17,031,460200
"Census Tract 1906.02, Cook County, Illinois",2184.0,264.0,8.0,127.0,0.0,2611.0,71.0,17,031,190602
"Census Tract 1907.01, Cook County, Illinois",1178.0,80.0,0.0,15.0,0.0,1687.0,112.0,17,031,190701
"Census Tract 1907.02, Cook County, Illinois",2151.0,317.0,8.0,35.0,0.0,2564.0,15.0,17,031,190702
"Census Tract 1913.01, Cook County, Illinois",1723.0,698.0,0.0,169.0,0.0,3299.0,52.0,17,031,191301
"Census Tract 1913.02, Cook County, Illinois",2473.0,397.0,0.0,0.0,0.0,2100.0,118.0,17,031,191302
"Census Tract 2004.01, Cook County, Illinois",1744.0,114.0,0.0,0.0,0.0,1899.0,57.0,17,031,200401
"Census Tract 2004.02, Cook County, Illinois",1032.0,81.0,10.0,8.0,0.0,2768.0,134.0,17,031,200402
"Census Tract 2105.01, Cook County, Illinois",3794.0,169.0,139.0,46.0,0.0,304.0,117.0,17,031,210501
"Census Tract 2105.02, Cook County, Illinois",4456.0,66.0,20.0,5.0,0.0,241.0,121.0,17,031,210502
"Census Tract 2106.01, Cook County, Illinois",2287.0,62.0,0.0,212.0,0.0,463.0,42.0,17,031,210601
"Census Tract 2106.02, Cook County, Illinois",3618.0,200.0,17.0,26.0,0.0,177.0,88.0,17,031,210602
"Census Tract 2206.01, Cook County, Illinois",1355.0,155.0,0.0,5.0,14.0,40.0,27.0,17,031,220601
"Census Tract 2206.02, Cook County, Illinois",3795.0,305.0,55.0,253.0,0.0,155.0,127.0,17,031,220602
"Census Tract 2207.01, Cook County, Illinois",2884.0,348.0,6.0,72.0,0.0,134.0,15.0,17,031,220701
"Census Tract 2207.02, Cook County, Illinois",3263.0,309.0,0.0,68.0,0.0,672.0,114.0,17,031,220702
"Census Tract 2209.01, Cook County, Illinois",2225.0,257.0,51.0,0.0,0.0,617.0,147.0,17,031,220901
"Census Tract 2209.02, Cook County, Illinois",2971.0,68.0,5.0,3.0,0.0,219.0,59.0,17,031,220902
"Census Tract 2521.01, Cook County, Illinois",19.0,1654.0,0.0,0.0,0.0,68.0,46.0,17,031,252101
"Census Tract 2521.02, Cook County, Illinois",0.0,5888.0,0.0,0.0,0.0,0.0,0.0,17,031,252102
"Census Tract 2522.01, Cook County, Illinois",112.0,2885.0,0.0,0.0,0.0,0.0,10.0,17,031,252201
"Census Tract 2522.02, Cook County, Illinois",68.0,4779.0,0.0,0.0,0.0,0.0,24.0,17,031,252202
"Census Tract 8236.04, Cook County, Illinois",3353.0,110.0,0.0,103.0,0.0,0.0,21.0,17,031,823604
"Census Tract 8233.03, Cook County, Illinois",3714.0,293.0,0.0,42.0,0.0,576.0,57.0,17,031,823303
"Census Tract 4205, Cook County, Illinois",11.0,1948.0,0.0,35.0,0.0,0.0,105.0,17,031,420500
"Census Tract 4304, Cook County, Illinois",56.0,2939.0,0.0,7.0,0.0,0.0,117.0,17,031,430400
"Census Tract 4306, Cook County, Illinois",41.0,1639.0,0.0,2.0,0.0,0.0,60.0,17,031,430600
"Census Tract 4409, Cook County, Illinois",3.0,2448.0,0.0,0.0,0.0,0.0,29.0,17,031,440900
"Census Tract 4601, Cook County, Illinois",810.0,2549.0,0.0,0.0,0.0,81.0,174.0,17,031,460100
"Census Tract 4805, Cook County, Illinois",285.0,2356.0,0.0,0.0,0.0,229.0,30.0,17,031,480500
"Census Tract 2831, Cook County, Illinois",792.0,1241.0,0.0,634.0,11.0,19.0,61.0,17,031,283100
"Census Tract 3007, Cook County, Illinois",3322.0,40.0,43.0,0.0,0.0,1279.0,10.0,17,031,300700
