NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 4306, Cook County, Illinois",1742.0,0.0,17,031,430600
"Census Tract 4409, Cook County, Illinois",2479.0,1.0,17,031,440900
"Census Tract 4601, Cook County, Illinois",2692.0,922.0,17,031,460100
"Census Tract 4805, Cook County, Illinois",2495.0,405.0,17,031,480500
"Census Tract 2831, Cook County, Illinois",2672.0,86.0,17,031,283100
"Census Tract 3007, Cook County, Illinois",150.0,4544.0,17,031,300700
"Census Tract 3008, Cook County, Illinois",41.0,4633.0,17,031,300800
"Census Tract 3406, Cook County, Illinois",1063.0,3.0,17,031,340600
"Census Tract 3403, Cook County, Illinois",1658.0,76.0,17,031,340300
"Census Tract 3510, Cook County, Illinois",4022.0,0.0,17,031,351000
"Census Tract 8143, Cook County, Illinois",368.0,4240.0,17,031,814300
"Census Tract 8159, Cook County, Illinois",4333.0,260.0,17,031,815900
"Census Tract 8087.02, Cook County, Illinois",5080.0,521.0,17,031,808702
"Census Tract 6606, Cook County, Illinois",4125.0,2039.0,17,031,660600
"Census Tract 6701, Cook County, Illinois",1550.0,51.0,17,031,670100
"Census Tract 6708, Cook County, Illinois",1688.0,0.0,17,031,670800
"Census Tract 6711, Cook County, Illinois",1486.0,0.0,17,031,671100
"Census Tract 6712, Cook County, Illinois",1063.0,0.0,17,031,671200
"Census Tract 6714, Cook County, Illinois",1793.0,71.0,17,031,671400
"Census Tract 6715, Cook County, Illinois",3068.0,186.0,17,031,671500
"Census Tract 6716, Cook County, Illinois",2139.0,152.0,17,031,671600
"Census Tract 6720, Cook County, Illinois",3954.0,194.0,17,031,672000
"Census Tract 8074, Cook County, Illinois",5760.0,1076.0,17,031,807400
"Census Tract 8076, Cook County, Illinois",5635.0,731.0,17,031,807600
"Census Tract 8239.03, Cook County, Illinois",4249.0,466.0,17,031,823903
"Census Tract 2429, Cook County, Illinois",1181.0,637.0,17,031,242900
"Census Tract 5704, Cook County, Illinois",353.0,1580.0,17,031,570400
"Census Tract 8223.02, Cook County, Illinois",3820.0,710.0,17,031,822302
"Census Tract 8256, Cook County, Illinois",4965.0,647.0,17,031,825600
"Census Tract 8284.01, Cook County, Illinois",3294.0,387.0,17,031,828401
"Census Tract 8279.01, Cook County, Illinois",2375.0,81.0,17,031,827901
"Census Tract 811, Cook County, Illinois",3388.0,269.0,17,031,081100
"Census Tract 1103, Cook County, Illinois",4329.0,985.0,17,031,110300
"Census Tract 1902, Cook County, Illinois",1198.0,4496.0,17,031,190200
"Census Tract 2213, Cook County, Illinois",1570.0,1192.0,17,031,221300
"Census Tract 2512, Cook County, Illinois",4332.0,43.0,17,031,251200
"Census Tract 2828, Cook County, Illinois",1205.0,360.0,17,031,282800
"Census Tract 2606, Cook County, Illinois",2578.0,14.0,17,031,260600
"Census Tract 7107, Cook County, Illinois",2665.0,30.0,17,031,710700
"Census Tract 7109, Cook County, Illinois",2463.0,28.0,17,031,710900
"Census Tract 7114, Cook County, Illinois",2168.0,81.0,17,031,711400
"Census Tract 7203, Cook County, Illinois",3449.0,223.0,17,031,720300
"Census Tract 7303, Cook County, Illinois",979.0,4.0,17,031,730300
"Census Tract 7401, Cook County, Illinois",2672.0,133.0,17,031,740100
"Census Tract 8288.02, Cook County, Illinois",2771.0,786.0,17,031,828802
"Census Tract 8289, Cook County, Illinois",2014.0,1480.0,17,031,828900
"Census Tract 8299.01, Cook County, Illinois",8277.0,859.0,17,031,829901
"Census Tract 8299.02, Cook County, Illinois",6237.0,140.0,17,031,829902
"Census Tract 628, Cook County, Illinois",3466.0,326.0,17,031,062800
"Census Tract 634, Cook County, Illinois",1992.0,166.0,17,031,063400
"Census Tract 705, Cook County, Illinois",2792.0,230.0,17,031,070500
"Census Tract 716, Cook County, Illinois",1666.0,49.0,17,031,071600
"Census Tract 718, Cook County, Illinois",2536.0,134.0,17,031,071800
"Census Tract 801, Cook County, Illinois",6336.0,321.0,17,031,080100
"Census Tract 804, Cook County, Illinois",4785.0,122.0,17,031,080400
"Census Tract 813, Cook County, Illinois",4828.0,225.0,17,031,081300
"Census Tract 3204, Cook County, Illinois",2432.0,91.0,17,031,320400
"Census Tract 205, Cook County, Illinois",4084.0,1920.0,17,031,020500
"Census Tract 318, Cook County, Illinois",1377.0,340.0,17,031,031800
"Census Tract 321, Cook County, Illinois",5992.0,775.0,17,031,032100
"Census Tract 401, Cook County, Illinois",3273.0,725.0,17,031,040100
"Census Tract 503, Cook County, Illinois",2031.0,535.0,17,031,050300
"Census Tract 512, Cook County, Illinois",1392.0,170.0,17,031,051200
"Census Tract 618, Cook County, Illinois",1006.0,124.0,17,031,061800
"Census Tract 623, Cook County, Illinois",1645.0,71.0,17,031,062300
"Census Tract 704, Cook County, Illinois",3154.0,286.0,17,031,070400
"Census Tract 706, Cook County, Illinois",2743.0,340.0,17,031,070600
"Census Tract 713, Cook County, Illinois",3301.0,113.0,17,031,071300
"Census Tract 803, Cook County, Illinois",4332.0,148.0,17,031,080300
"Census Tract 816, Cook County, Illinois",3010.0,167.0,17,031,081600
"Census Tract 818, Cook County, Illinois",7221.0,267.0,17,031,081800
"Census Tract 819, Cook County, Illinois",1115.0,37.0,17,031,081900
"Census Tract 8190, Cook County, Illinois",4261.0,334.0,17,031,819000
"Census Tract 8193, Cook County, Illinois",2660.0,368.0,17,031,819300
"Census Tract 8204, Cook County, Illinois",1633.0,4531.0,17,031,820400
"Census Tract 8208, Cook County, Illinois",2111.0,2112.0,17,031,820800
"Census Tract 1701, Cook County, Illinois",1649.0,222.0,17,031,170100
"Census Tract 1707, Cook County, Illinois",2268.0,563.0,17,031,170700
"Census Tract 1901, Cook County, Illinois",760.0,1960.0,17,031,190100
"Census Tract 2205, Cook County, Illinois",1948.0,734.0,17,031,220500
"Census Tract 2227, Cook County, Illinois",909.0,1751.0,17,031,222700
"Census Tract 2312, Cook County, Illinois",3367.0,1735.0,17,031,231200
"Census Tract 2315, Cook County, Illinois",6553.0,412.0,17,031,231500
"Census Tract 2405, Cook County, Illinois",1896.0,258.0,17,031,240500
"Census Tract 2409, Cook County, Illinois",539.0,697.0,17,031,240900
"Census Tract 2422, Cook County, Illinois",3006.0,869.0,17,031,242200
"Census Tract 2435, Cook County, Illinois",2959.0,239.0,17,031,243500
"Census Tract 2505, Cook County, Illinois",5780.0,1883.0,17,031,250500
"Census Tract 2510, Cook County, Illinois",1127.0,157.0,17,031,251000
"Census Tract 1909, Cook County, Illinois",297.0,1567.0,17,031,190900
"Census Tract 8036.08, Cook County, Illinois",6771.0,1002.0,17,031,803608
"Census Tract 8048.03, Cook County, Illinois",5559.0,246.0,17,031,804803
