NAME,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
"Census Tract 8020.03, Cook County, Illinois",10.0,18.0,33.0,14.0,28.0,72.0,24.0,29.0,42.0,54.0,19.0,126.0,148.0,45.0,118.0,118.0,17,031,802003
"Census Tract 8020.04, Cook County, Illinois",201.0,23.0,227.0,90.0,68.0,141.0,104.0,96.0,134.0,169.0,192.0,212.0,114.0,64.0,92.0,78.0,17,031,802004
"Census Tract 8237.02, Cook County, Illinois",136.0,70.0,188.0,176.0,107.0,186.0,189.0,198.0,90.0,326.0,264.0,226.0,287.0,86.0,91.0,66.0,17,031,823702
"Census Tract 8250, Cook County, Illinois",212.0,59.0,140.0,61.0,90.0,88.0,73.0,48.0,92.0,104.0,190.0,317.0,215.0,57.0,102.0,90.0,17,031,825000
"Census Tract 8262.01, Cook County, Illinois",239.0,289.0,171.0,92.0,144.0,157.0,80.0,73.0,52.0,116.0,227.0,130.0,113.0,49.0,0.0,1.0,17,031,826201
"Census Tract 8263.01, Cook County, Illinois",150.0,44.0,33.0,46.0,55.0,32.0,71.0,83.0,96.0,88.0,168.0,298.0,111.0,75.0,60.0,6.0,17,031,826301
"Census Tract 8272, Cook County, Illinois",236.0,150.0,148.0,112.0,31.0,128.0,65.0,51.0,119.0,74.0,127.0,159.0,49.0,64.0,27.0,20.0,17,031,827200
"Census Tract 8278.02, Cook County, Illinois",39.0,27.0,49.0,31.0,16.0,34.0,43.0,45.0,12.0,117.0,181.0,220.0,149.0,97.0,78.0,0.0,17,031,827802
"Census Tract 8285.04, Cook County, Illinois",294.0,48.0,67.0,137.0,171.0,135.0,101.0,89.0,52.0,111.0,208.0,140.0,150.0,8.0,35.0,18.0,17,031,828504
"Census Tract 8288.01, Cook County, Illinois",39.0,36.0,58.0,83.0,83.0,79.0,35.0,51.0,61.0,134.0,188.0,317.0,166.0,121.0,121.0,168.0,17,031,828801
"Census Tract 8292, Cook County, Illinois",293.0,20.0,135.0,67.0,98.0,26.0,143.0,53.0,245.0,281.0,125.0,224.0,222.0,7.0,34.0,75.0,17,031,829200
"Census Tract 8293.01, Cook County, Illinois",116.0,42.0,28.0,60.0,21.0,65.0,29.0,47.0,45.0,163.0,263.0,320.0,93.0,47.0,27.0,40.0,17,031,829301
"Census Tract 3404, Cook County, Illinois",152.0,41.0,32.0,65.0,28.0,48.0,27.0,27.0,11.0,53.0,62.0,36.0,6.0,11.0,5.0,0.0,17,031,340400
"Census Tract 3602, Cook County, Illinois",245.0,60.0,62.0,17.0,61.0,37.0,60.0,31.0,38.0,26.0,0.0,21.0,8.0,3.0,0.0,0.0,17,031,360200
"Census Tract 1908, Cook County, Illinois",219.0,86.0,93.0,208.0,185.0,74.0,113.0,52.0,77.0,204.0,217.0,139.0,186.0,37.0,51.0,0.0,17,031,190800
"Census Tract 1912, Cook County, Illinois",37.0,93.0,115.0,112.0,68.0,62.0,58.0,99.0,27.0,68.0,117.0,77.0,27.0,23.0,4.0,0.0,17,031,191200
"Census Tract 2101, Cook County, Illinois",111.0,63.0,40.0,82.0,81.0,65.0,71.0,65.0,39.0,141.0,111.0,256.0,53.0,76.0,57.0,60.0,17,031,210100
"Census Tract 2204, Cook County, Illinois",50.0,64.0,7.0,65.0,23.0,22.0,57.0,28.0,36.0,93.0,135.0,174.0,163.0,78.0,69.0,55.0,17,031,220400
"Census Tract 2408, Cook County, Illinois",116.0,44.0,56.0,9.0,55.0,25.0,14.0,21.0,25.0,61.0,56.0,81.0,35.0,5.0,13.0,20.0,17,031,240800
"Census Tract 2430, Cook County, Illinois",13.0,0.0,73.0,72.0,4.0,32.0,17.0,47.0,52.0,113.0,126.0,142.0,76.0,65.0,26.0,111.0,17,031,243000
"Census Tract 2508, Cook County, Illinois",114.0,63.0,34.0,21.0,46.0,104.0,120.0,29.0,34.0,31.0,74.0,79.0,9.0,32.0,13.0,0.0,17,031,250800
"Census Tract 2517, Cook County, Illinois",93.0,0.0,69.0,78.0,42.0,53.0,33.0,4.0,0.0,44.0,37.0,19.0,0.0,6.0,0.0,0.0,17,031,251700
"Census Tract 8184.01, Cook County, Illinois",80.0,15.0,48.0,17.0,96.0,62.0,127.0,19.0,35.0,136.0,117.0,228.0,167.0,49.0,62.0,67.0,17,031,818401
"Census Tract 8165, Cook County, Illinois",42.0,81.0,89.0,71.0,109.0,146.0,65.0,60.0,132.0,105.0,208.0,45.0,58.0,49.0,25.0,16.0,17,031,816500
"Census Tract 4206, Cook County, Illinois",192.0,105.0,115.0,72.0,40.0,80.0,40.0,4.0,5.0,0.0,16.0,42.0,11.0,0.0,0.0,0.0,17,031,420600
"Census Tract 4408, Cook County, Illinois",223.0,67.0,67.0,53.0,8.0,51.0,15.0,50.0,44.0,55.0,18.0,48.0,13.0,6.0,0.0,0.0,17,031,440800
"Census Tract 4602, Cook County, Illinois",186.0,64.0,56.0,65.0,66.0,69.0,27.0,60.0,20.0,64.0,22.0,31.0,12.0,14.0,40.0,11.0,17,031,460200
"Census Tract 1906.02, Cook County, Illinois",23.0,60.0,115.0,82.0,69.0,23.0,107.0,139.0,103.0,58.0,163.0,194.0,114.0,17.0,51.0,16.0,17,031,190602
"Census Tract 1907.01, Cook County, Illinois",7.0,67.0,27.0,76.0,107.0,92.0,35.0,53.0,26.0,38.0,121.0,91.0,53.0,13.0,27.0,10.0,17,031,190701
"Census Tract 1907.02, Cook County, Illinois",85.0,26.0,71.0,34.0,201.0,66.0,168.0,109.0,26.0,127.0,233.0,60.0,80.0,58.0,13.0,0.0,17,031,190702
"Census Tract 1913.01, Cook County, Illinois",89.0,142.0,122.0,68.0,47.0,124.0,113.0,84.0,70.0,207.0,39.0,182.0,114.0,10.0,41.0,0.0,17,031,191301
"Census Tract 1913.02, Cook County, Illinois",97.0,72.0,52.0,108.0,105.0,93.0,144.0,55.0,98.0,81.0,186.0,51.0,107.0,4.0,38.0,8.0,17,031,191302
"Census Tract 2004.01, Cook County, Illinois",0.0,62.0,67.0,134.0,142.0,72.0,109.0,21.0,49.0,86.0,83.0,120.0,25.0,11.0,0.0,0.0,17,031,200401
"Census Tract 2004.02, Cook County, Illinois",150.0,33.0,152.0,0.0,59.0,135.0,38.0,72.0,46.0,112.0,96.0,106.0,52.0,46.0,26.0,0.0,17,031,200402
"Census Tract 2105.01, Cook County, Illinois",145.0,55.0,62.0,90.0,100.0,141.0,152.0,118.0,110.0,128.0,99.0,151.0,32.0,50.0,14.0,11.0,17,031,210501
"Census Tract 2105.02, Cook County, Illinois",100.0,221.0,30.0,142.0,205.0,60.0,135.0,62.0,77.0,143.0,93.0,117.0,85.0,7.0,23.0,0.0,17,031,210502
"Census Tract 2106.01, Cook County, Illinois",72.0,7.0,65.0,77.0,18.0,73.0,75.0,19.0,111.0,100.0,134.0,98.0,19.0,22.0,15.0,42.0,17,031,210601
"Census Tract 2106.02, Cook County, Illinois",126.0,73.0,115.0,130.0,114.0,163.0,71.0,62.0,64.0,169.0,145.0,157.0,52.0,41.0,37.0,9.0,17,031,210602
"Census Tract 2206.01, Cook County, Illinois",43.0,37.0,14.0,20.0,76.0,26.0,41.0,64.0,15.0,53.0,64.0,81.0,51.0,26.0,13.0,19.0,17,031,220601
"Census Tract 2206.02, Cook County, Illinois",266.0,215.0,39.0,84.0,43.0,225.0,134.0,114.0,59.0,203.0,180.0,104.0,239.0,121.0,134.0,39.0,17,031,220602
"Census Tract 2207.01, Cook County, Illinois",85.0,31.0,70.0,68.0,65.0,78.0,42.0,49.0,96.0,131.0,96.0,215.0,82.0,31.0,15.0,0.0,17,031,220701
"Census Tract 2207.02, Cook County, Illinois",86.0,120.0,169.0,102.0,90.0,77.0,31.0,59.0,73.0,115.0,151.0,207.0,30.0,4.0,26.0,10.0,17,031,220702
"Census Tract 2209.01, Cook County, Illinois",142.0,94.0,98.0,86.0,46.0,0.0,86.0,77.0,55.0,70.0,52.0,95.0,49.0,50.0,0.0,9.0,17,031,220901
"Census Tract 2209.02, Cook County, Illinois",61.0,80.0,101.0,35.0,64.0,65.0,42.0,55.0,47.0,62.0,118.0,124.0,35.0,13.0,81.0,34.0,17,031,220902
"Census Tract 2521.01, Cook County, Illinois",61.0,70.0,86.0,36.0,26.0,48.0,58.0,24.0,0.0,89.0,19.0,16.0,15.0,2.0,15.0,18.0,17,031,252101
"Census Tract 2521.02, Cook County, Illinois",271.0,258.0,258.0,119.0,137.0,202.0,103.0,135.0,74.0,102.0,46.0,187.0,99.0,5.0,17.0,0.0,17,031,252102
"Census Tract 2522.01, Cook County, Illinois",155.0,180.0,102.0,9.0,50.0,79.0,44.0,44.0,39.0,40.0,27.0,102.0,52.0,8.0,9.0,0.0,17,031,252201
"Census Tract 2522.02, Cook County, Illinois",377.0,81.0,138.0,152.0,51.0,154.0,132.0,16.0,15.0,61.0,138.0,92.0,23.0,69.0,0.0,19.0,17,031,252202
"Census Tract 8236.04, Cook County, Illinois",38.0,34.0,40.0,8.0,50.0,83.0,38.0,55.0,60.0,116.0,104.0,236.0,136.0,84.0,110.0,165.0,17,031,823604
"Census Tract 8233.03, Cook County, Illinois",186.0,30.0,30.0,186.0,60.0,189.0,64.0,35.0,50.0,93.0,190.0,167.0,149.0,87.0,57.0,0.0,17,031,823303
"Census Tract 4205, Cook County, Illinois",211.0,141.0,53.0,73.0,88.0,20.0,27.0,54.0,43.0,52.0,96.0,66.0,0.0,0.0,12.0,0.0,17,031,420500
"Census Tract 4304, Cook County, Illinois",324.0,60.0,110.0,104.0,65.0,0.0,56.0,47.0,30.0,52.0,144.0,57.0,9.0,33.0,9.0,7.0,17,031,430400
"Census Tract 4306, Cook County, Illinois",157.0,5.0,85.0,50.0,68.0,42.0,0.0,18.0,16.0,53.0,63.0,50.0,18.0,25.0,50.0,16.0,17,031,430600
"Census Tract 4409, Cook County, Illinois",139.0,72.0,86.0,61.0,34.0,37.0,51.0,53.0,24.0,72.0,94.0,94.0,71.0,8.0,34.0,0.0,17,031,440900
"Census Tract 4601, Cook County, Illinois",187.0,148.0,60.0,89.0,69.0,85.0,21.0,105.0,79.0,56.0,87.0,88.0,89.0,0.0,6.0,44.0,17,031,460100
"Census Tract 4805, Cook County, Illinois",114.0,64.0,52.0,74.0,62.0,40.0,47.0,48.0,33.0,119.0,100.0,159.0,46.0,45.0,24.0,7.0,17,031,480500
"Census Tract 2831, Cook County, Illinois",250.0,39.0,21.0,84.0,72.0,50.0,7.0,35.0,135.0,55.0,85.0,91.0,81.0,18.0,74.0,52.0,17,031,283100
"Census Tract 3007, Cook County, Illinois",150.0,205.0,115.0,65.0,99.0,72.0,129.0,26.0,50.0,112.0,53.0,88.0,22.0,54.0,9.0,0.0,17,031,300700
"Census Tract 3008, Cook County, Illinois",67.0,39.0,260.0,128.0,83.0,61.0,72.0,50.0,58.0,128.0,66.0,84.0,34.0,19.0,0.0,0.0,17,031,300800
"Census Tract 3406, Cook County, Illinois",153.0,95.0,82.0,19.0,11.0,21.0,5.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17,031,340600
"Census Tract 3403, Cook County, Illinois",161.0,66.0,22.0,55.0,54.0,13.0,41.0,17.0,29.0,34.0,34.0,29.0,1.0,41.0,35.0,13.0,17,031,340300
"Census Tract 3510, Cook County, Illinois",245.0,114.0,93.0,108.0,108.0,107.0,124.0,155.0,98.0,225.0,358.0,194.0,111.0,30.0,67.0,0.0,17,031,351000
"Census Tract 8143, Cook County, Illinois",87.0,95.0,103.0,146.0,116.0,68.0,27.0,52.0,56.0,103.0,160.0,88.0,30.0,24.0,58.0,0.0,17,031,814300
"Census Tract 8159, Cook County, Illinois",131.0,167.0,151.0,267.0,249.0,105.0,102.0,258.0,180.0,182.0,348.0,230.0,207.0,68.0,49.0,113.0,17,031,815900
"Census Tract 8087.02, Cook County, Illinois",92.0,21.0,0.0,21.0,20.0,19.0,14.0,10.0,4.0,33.0,29.0,55.0,37.0,13.0,22.0,31.0,17,031,808702
"Census Tract 6606, Cook County, Illinois",303.0,125.0,199.0,221.0,136.0,228.0,107.0,130.0,63.0,58.0,128.0,138.0,17.0,7.0,19.0,0.0,17,031,660600
"Census Tract 6701, Cook County, Illinois",79.0,17.0,44.0,33.0,34.0,33.0,21.0,37.0,25.0,26.0,0.0,16.0,45.0,3.0,0.0,0.0,17,031,670100
"Census Tract 6708, Cook County, Illinois",121.0,82.0,50.0,39.0,47.0,8.0,26.0,0.0,10.0,31.0,37.0,29.0,3.0,27.0,0.0,0.0,17,031,670800
