NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 6718, Cook County, Illinois",1248.0,119.0,17,031,671800
"Census Tract 6911, Cook County, Illinois",2771.0,40.0,17,031,691100
"Census Tract 5303, Cook County, Illinois",4014.0,0.0,17,031,530300
"Census Tract 5609, Cook County, Illinois",3326.0,2055.0,17,031,560900
"Census Tract 5803, Cook County, Illinois",534.0,1978.0,17,031,580300
"Census Tract 6113, Cook County, Illinois",281.0,2369.0,17,031,611300
"Census Tract 6116, Cook County, Illinois",729.0,860.0,17,031,611600
"Census Tract 6203, Cook County, Illinois",1734.0,6076.0,17,031,620300
"Census Tract 6204, Cook County, Illinois",562.0,3831.0,17,031,620400
"Census Tract 1201, Cook County, Illinois",3577.0,581.0,17,031,120100
"Census Tract 1401, Cook County, Illinois",1898.0,1296.0,17,031,140100
"Census Tract 8312, Cook County, Illinois",734.0,3970.0,17,031,831200
"Census Tract 8313, Cook County, Illinois",531.0,464.0,17,031,831300
"Census Tract 8314, Cook County, Illinois",2274.0,752.0,17,031,831400
"Census Tract 8315, Cook County, Illinois",1354.0,2302.0,17,031,831500
"Census Tract 8316, Cook County, Illinois",2484.0,5555.0,17,031,831600
"Census Tract 8317, Cook County, Illinois",1067.0,1392.0,17,031,831700
"Census Tract 8318, Cook County, Illinois",4743.0,1750.0,17,031,831800
"Census Tract 8319, Cook County, Illinois",2935.0,293.0,17,031,831900
"Census Tract 8320, Cook County, Illinois",1552.0,69.0,17,031,832000
"Census Tract 8321, Cook County, Illinois",3314.0,288.0,17,031,832100
"Census Tract 8322, Cook County, Illinois",2729.0,451.0,17,031,832200
"Census Tract 8323, Cook County, Illinois",1541.0,397.0,17,031,832300
"Census Tract 8324, Cook County, Illinois",2437.0,692.0,17,031,832400
"Census Tract 8325, Cook County, Illinois",3149.0,241.0,17,031,832500
"Census Tract 8257, Cook County, Illinois",3129.0,1029.0,17,031,825700
"Census Tract 8258.03, Cook County, Illinois",5813.0,425.0,17,031,825803
"Census Tract 8263.03, Cook County, Illinois",4260.0,31.0,17,031,826303
"Census Tract 8273, Cook County, Illinois",2172.0,377.0,17,031,827300
"Census Tract 8285.03, Cook County, Illinois",3610.0,542.0,17,031,828503
"Census Tract 6404, Cook County, Illinois",2283.0,1276.0,17,031,640400
"Census Tract 6604, Cook County, Illinois",452.0,5352.0,17,031,660400
"Census Tract 6608, Cook County, Illinois",2585.0,2282.0,17,031,660800
"Census Tract 6713, Cook County, Illinois",1865.0,147.0,17,031,671300
"Census Tract 8253.02, Cook County, Illinois",5852.0,733.0,17,031,825302
"Census Tract 8265, Cook County, Illinois",5874.0,157.0,17,031,826500
"Census Tract 8267, Cook County, Illinois",5005.0,108.0,17,031,826700
"Census Tract 8271, Cook County, Illinois",2209.0,243.0,17,031,827100
"Census Tract 8280, Cook County, Illinois",4094.0,853.0,17,031,828000
"Census Tract 8282.02, Cook County, Illinois",4013.0,499.0,17,031,828202
"Census Tract 8293.02, Cook County, Illinois",1938.0,1933.0,17,031,829302
"Census Tract 8044.06, Cook County, Illinois",2961.0,3685.0,17,031,804406
"Census Tract 8045.06, Cook County, Illinois",4644.0,489.0,17,031,804506
"Census Tract 8045.07, Cook County, Illinois",9905.0,1621.0,17,031,804507
"Census Tract 8045.08, Cook County, Illinois",1252.0,1147.0,17,031,804508
"Census Tract 8045.09, Cook County, Illinois",2627.0,3574.0,17,031,804509
"Census Tract 8045.10, Cook County, Illinois",1578.0,4709.0,17,031,804510
"Census Tract 8045.11, Cook County, Illinois",1108.0,1375.0,17,031,804511
"Census Tract 8046.08, Cook County, Illinois",3002.0,427.0,17,031,804608
"Census Tract 8046.09, Cook County, Illinois",5631.0,64.0,17,031,804609
"Census Tract 8046.10, Cook County, Illinois",2177.0,128.0,17,031,804610
"Census Tract 8046.11, Cook County, Illinois",4020.0,398.0,17,031,804611
"Census Tract 8047.13, Cook County, Illinois",5118.0,755.0,17,031,804713
"Census Tract 8047.14, Cook County, Illinois",2878.0,291.0,17,031,804714
"Census Tract 8047.15, Cook County, Illinois",1847.0,1331.0,17,031,804715
"Census Tract 8047.16, Cook County, Illinois",4110.0,565.0,17,031,804716
"Census Tract 8061.03, Cook County, Illinois",4202.0,647.0,17,031,806103
"Census Tract 8061.04, Cook County, Illinois",3640.0,562.0,17,031,806104
"Census Tract 8062.01, Cook County, Illinois",3736.0,1109.0,17,031,806201
"Census Tract 8062.02, Cook County, Illinois",4457.0,381.0,17,031,806202
"Census Tract 8123.01, Cook County, Illinois",3811.0,342.0,17,031,812301
"Census Tract 8123.02, Cook County, Illinois",2430.0,360.0,17,031,812302
"Census Tract 8128.01, Cook County, Illinois",3203.0,164.0,17,031,812801
"Census Tract 8128.02, Cook County, Illinois",2367.0,171.0,17,031,812802
"Census Tract 8133.01, Cook County, Illinois",208.0,3021.0,17,031,813301
"Census Tract 8133.02, Cook County, Illinois",262.0,2795.0,17,031,813302
"Census Tract 8137.01, Cook County, Illinois",270.0,3440.0,17,031,813701
"Census Tract 8137.02, Cook County, Illinois",372.0,3528.0,17,031,813702
