NAME,B07001_002E,B07001_003E,B07001_004E,B07001_005E,B07001_006E,B07001_007E,B07001_008E,B07001_009E,B07001_010E,B07001_011E,B07001_012E,B07001_013E,B07001_014E,B07001_015E,B07001_016E,state,county,tract
"Census Tract 8060.04, Cook County, Illinois",302.0,790.0,123.0,376.0,700.0,586.0,405.0,299.0,312.0,450.0,476.0,722.0,502.0,307.0,711.0,17,031,806004
"Census Tract 8020.02, Cook County, Illinois",318.0,1056.0,99.0,209.0,234.0,203.0,265.0,216.0,503.0,484.0,365.0,336.0,343.0,326.0,449.0,17,031,802002
"Census Tract 8025.04, Cook County, Illinois",267.0,1133.0,75.0,434.0,529.0,530.0,293.0,377.0,418.0,536.0,553.0,415.0,314.0,248.0,442.0,17,031,802504
"Census Tract 8027.02, Cook County, Illinois",276.0,591.0,42.0,172.0,168.0,250.0,286.0,273.0,221.0,240.0,458.0,388.0,425.0,383.0,543.0,17,031,802702
"Census Tract 8030.08, Cook County, Illinois",225.0,867.0,56.0,172.0,108.0,138.0,288.0,355.0,318.0,440.0,392.0,293.0,204.0,296.0,358.0,17,031,803008
"Census Tract 8032, Cook County, Illinois",233.0,918.0,68.0,96.0,198.0,125.0,398.0,515.0,280.0,215.0,266.0,377.0,238.0,230.0,1137.0,17,031,803200
"Census Tract 8035, Cook County, Illinois",93.0,1133.0,89.0,132.0,227.0,229.0,359.0,357.0,391.0,566.0,317.0,593.0,373.0,236.0,622.0,17,031,803500
"Census Tract 8041.02, Cook County, Illinois",327.0,1293.0,96.0,296.0,264.0,197.0,311.0,534.0,414.0,728.0,645.0,546.0,286.0,387.0,901.0,17,031,804102
"Census Tract 8245.05, Cook County, Illinois",167.0,990.0,214.0,376.0,437.0,416.0,447.0,444.0,310.0,680.0,563.0,448.0,370.0,274.0,228.0,17,031,824505
"Census Tract 8259, Cook County, Illinois",142.0,643.0,58.0,257.0,168.0,246.0,242.0,294.0,115.0,443.0,264.0,297.0,80.0,64.0,146.0,17,031,825900
"Census Tract 8260, Cook County, Illinois",43.0,780.0,56.0,335.0,234.0,155.0,111.0,312.0,151.0,154.0,242.0,123.0,51.0,43.0,74.0,17,031,826000
"Census Tract 8261, Cook County, Illinois",271.0,1275.0,274.0,397.0,361.0,286.0,374.0,379.0,519.0,432.0,209.0,330.0,156.0,168.0,355.0,17,031,826100
"Census Tract 8263.04, Cook County, Illinois",204.0,466.0,101.0,113.0,227.0,166.0,245.0,185.0,158.0,216.0,140.0,208.0,166.0,132.0,105.0,17,031,826304
"Census Tract 2423, Cook County, Illinois",197.0,263.0,28.0,79.0,546.0,708.0,384.0,349.0,138.0,384.0,101.0,145.0,77.0,9.0,54.0,17,031,242300
"Census Tract 7608.01, Cook County, Illinois",387.0,387.0,0.0,230.0,648.0,935.0,269.0,326.0,272.0,279.0,262.0,136.0,117.0,30.0,94.0,17,031,760801
"Census Tract 4903, Cook County, Illinois",113.0,493.0,53.0,142.0,88.0,93.0,184.0,93.0,121.0,77.0,208.0,171.0,176.0,105.0,172.0,17,031,490300
"Census Tract 4907, Cook County, Illinois",73.0,519.0,128.0,165.0,200.0,86.0,169.0,167.0,231.0,174.0,275.0,154.0,69.0,89.0,278.0,17,031,490700
"Census Tract 5001, Cook County, Illinois",116.0,238.0,9.0,272.0,171.0,202.0,157.0,179.0,256.0,203.0,308.0,250.0,207.0,131.0,426.0,17,031,500100
"Census Tract 5204, Cook County, Illinois",186.0,1036.0,104.0,372.0,375.0,365.0,300.0,246.0,240.0,245.0,204.0,360.0,121.0,137.0,199.0,17,031,520400
"Census Tract 8209.02, Cook County, Illinois",228.0,1065.0,199.0,287.0,360.0,295.0,407.0,338.0,342.0,293.0,409.0,279.0,274.0,86.0,196.0,17,031,820902
"Census Tract 8210.01, Cook County, Illinois",307.0,906.0,98.0,401.0,211.0,218.0,392.0,347.0,276.0,263.0,373.0,347.0,131.0,222.0,252.0,17,031,821001
"Census Tract 8210.02, Cook County, Illinois",201.0,825.0,131.0,517.0,424.0,358.0,265.0,248.0,318.0,366.0,297.0,360.0,368.0,140.0,549.0,17,031,821002
"Census Tract 8222, Cook County, Illinois",345.0,611.0,108.0,210.0,221.0,316.0,278.0,194.0,304.0,269.0,208.0,288.0,200.0,206.0,136.0,17,031,822200
"Census Tract 8225, Cook County, Illinois",190.0,734.0,76.0,208.0,206.0,269.0,250.0,235.0,386.0,381.0,300.0,298.0,256.0,229.0,266.0,17,031,822500
"Census Tract 8228.01, Cook County, Illinois",124.0,516.0,10.0,93.0,284.0,202.0,268.0,227.0,135.0,254.0,239.0,239.0,178.0,104.0,227.0,17,031,822801
"Census Tract 8232, Cook County, Illinois",248.0,799.0,79.0,215.0,350.0,300.0,301.0,279.0,206.0,378.0,389.0,347.0,328.0,239.0,326.0,17,031,823200
"Census Tract 8236.03, Cook County, Illinois",101.0,589.0,29.0,187.0,151.0,149.0,133.0,140.0,227.0,139.0,142.0,96.0,69.0,38.0,114.0,17,031,823603
"Census Tract 8237.05, Cook County, Illinois",129.0,897.0,134.0,160.0,158.0,349.0,366.0,274.0,218.0,228.0,380.0,228.0,223.0,347.0,345.0,17,031,823705
"Census Tract 8241.07, Cook County, Illinois",50.0,1100.0,121.0,439.0,386.0,320.0,300.0,485.0,379.0,442.0,683.0,480.0,441.0,365.0,856.0,17,031,824107
"Census Tract 8243, Cook County, Illinois",325.0,634.0,68.0,347.0,552.0,346.0,211.0,254.0,243.0,227.0,383.0,414.0,219.0,216.0,315.0,17,031,824300
"Census Tract 8255.04, Cook County, Illinois",153.0,737.0,104.0,125.0,244.0,174.0,274.0,220.0,252.0,281.0,149.0,199.0,197.0,152.0,227.0,17,031,825504
"Census Tract 2222, Cook County, Illinois",148.0,210.0,8.0,98.0,530.0,342.0,330.0,158.0,184.0,43.0,90.0,40.0,12.0,39.0,29.0,17,031,222200
"Census Tract 8116, Cook County, Illinois",418.0,1142.0,193.0,361.0,269.0,213.0,494.0,640.0,285.0,436.0,624.0,474.0,278.0,112.0,399.0,17,031,811600
"Census Tract 8118, Cook County, Illinois",174.0,959.0,193.0,215.0,410.0,206.0,322.0,310.0,412.0,440.0,356.0,258.0,198.0,175.0,489.0,17,031,811800
"Census Tract 8144, Cook County, Illinois",407.0,2016.0,344.0,708.0,495.0,405.0,531.0,649.0,305.0,381.0,501.0,334.0,194.0,203.0,593.0,17,031,814400
"Census Tract 8157.02, Cook County, Illinois",208.0,1032.0,82.0,249.0,222.0,329.0,270.0,205.0,590.0,480.0,354.0,382.0,215.0,218.0,220.0,17,031,815702
"Census Tract 8158, Cook County, Illinois",80.0,265.0,34.0,53.0,66.0,70.0,93.0,136.0,46.0,124.0,119.0,177.0,124.0,75.0,156.0,17,031,815800
"Census Tract 8161, Cook County, Illinois",161.0,776.0,130.0,243.0,351.0,620.0,609.0,241.0,346.0,406.0,554.0,342.0,397.0,139.0,364.0,17,031,816100
"Census Tract 8163, Cook County, Illinois",301.0,799.0,81.0,251.0,431.0,283.0,454.0,482.0,258.0,217.0,409.0,321.0,173.0,145.0,246.0,17,031,816300
"Census Tract 8170, Cook County, Illinois",437.0,635.0,120.0,268.0,306.0,453.0,354.0,282.0,264.0,293.0,235.0,450.0,365.0,189.0,226.0,17,031,817000
"Census Tract 8185, Cook County, Illinois",104.0,489.0,59.0,214.0,292.0,266.0,303.0,246.0,251.0,367.0,445.0,361.0,600.0,319.0,1035.0,17,031,818500
"Census Tract 8187, Cook County, Illinois",249.0,674.0,39.0,171.0,219.0,221.0,303.0,259.0,241.0,302.0,276.0,241.0,125.0,133.0,294.0,17,031,818700
"Census Tract 2001, Cook County, Illinois",180.0,672.0,47.0,158.0,306.0,356.0,350.0,78.0,341.0,254.0,307.0,248.0,153.0,172.0,177.0,17,031,200100
"Census Tract 1609, Cook County, Illinois",138.0,400.0,70.0,129.0,321.0,223.0,174.0,228.0,80.0,186.0,241.0,147.0,100.0,41.0,41.0,17,031,160900
"Census Tract 1709, Cook County, Illinois",78.0,366.0,51.0,85.0,106.0,126.0,145.0,160.0,106.0,137.0,101.0,184.0,63.0,78.0,153.0,17,031,170900
"Census Tract 2203, Cook County, Illinois",100.0,171.0,12.0,96.0,317.0,314.0,271.0,193.0,107.0,71.0,93.0,84.0,74.0,22.0,108.0,17,031,220300
"Census Tract 6301, Cook County, Illinois",52.0,157.0,22.0,112.0,63.0,94.0,54.0,69.0,72.0,39.0,65.0,32.0,9.0,21.0,22.0,17,031,630100
"Census Tract 6610, Cook County, Illinois",145.0,1053.0,222.0,385.0,391.0,214.0,473.0,349.0,298.0,485.0,243.0,310.0,198.0,312.0,314.0,17,031,661000
"Census Tract 6702, Cook County, Illinois",62.0,116.0,35.0,27.0,29.0,93.0,83.0,31.0,26.0,72.0,89.0,24.0,52.0,59.0,88.0,17,031,670200
"Census Tract 104, Cook County, Illinois",55.0,501.0,1109.0,899.0,591.0,347.0,499.0,119.0,122.0,288.0,200.0,224.0,121.0,42.0,96.0,17,031,010400
"Census Tract 3801, Cook County, Illinois",60.0,272.0,12.0,129.0,42.0,101.0,122.0,84.0,97.0,116.0,230.0,339.0,56.0,123.0,97.0,17,031,380100
"Census Tract 6718, Cook County, Illinois",72.0,245.0,54.0,133.0,121.0,78.0,77.0,64.0,41.0,45.0,137.0,35.0,58.0,50.0,107.0,17,031,671800
"Census Tract 6911, Cook County, Illinois",144.0,459.0,86.0,102.0,247.0,207.0,198.0,113.0,177.0,292.0,256.0,133.0,146.0,35.0,171.0,17,031,691100
"Census Tract 5303, Cook County, Illinois",164.0,750.0,37.0,227.0,117.0,459.0,191.0,143.0,140.0,471.0,308.0,216.0,267.0,98.0,379.0,17,031,530300
