NAME,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state,county,tract
"Census Tract 8243, Cook County, Illinois",561.0,900.0,1436.0,234.0,249.0,17,031,824300
"Census Tract 8255.04, Cook County, Illinois",173.0,637.0,1198.0,281.0,80.0,17,031,825504
"Census Tract 2222, Cook County, Illinois",33.0,73.0,139.0,861.0,691.0,17,031,222200
"Census Tract 8116, Cook County, Illinois",632.0,1560.0,1141.0,646.0,245.0,17,031,811600
"Census Tract 8118, Cook County, Illinois",797.0,1239.0,1067.0,350.0,123.0,17,031,811800
"Census Tract 8144, Cook County, Illinois",1595.0,1346.0,1209.0,393.0,48.0,17,031,814400
"Census Tract 8157.02, Cook County, Illinois",36.0,488.0,791.0,994.0,1176.0,17,031,815702
"Census Tract 8158, Cook County, Illinois",40.0,228.0,351.0,295.0,272.0,17,031,815800
"Census Tract 8161, Cook County, Illinois",269.0,845.0,1387.0,1082.0,786.0,17,031,816100
"Census Tract 8163, Cook County, Illinois",871.0,1230.0,922.0,330.0,66.0,17,031,816300
"Census Tract 8170, Cook County, Illinois",610.0,1276.0,1022.0,414.0,95.0,17,031,817000
"Census Tract 8185, Cook County, Illinois",240.0,943.0,1210.0,1298.0,794.0,17,031,818500
"Census Tract 8187, Cook County, Illinois",173.0,542.0,626.0,703.0,570.0,17,031,818700
"Census Tract 2001, Cook County, Illinois",589.0,795.0,716.0,423.0,219.0,17,031,200100
"Census Tract 1609, Cook County, Illinois",28.0,345.0,375.0,633.0,401.0,17,031,160900
"Census Tract 1709, Cook County, Illinois",242.0,459.0,330.0,203.0,125.0,17,031,170900
"Census Tract 2203, Cook County, Illinois",111.0,186.0,236.0,716.0,405.0,17,031,220300
"Census Tract 6301, Cook County, Illinois",102.0,290.0,119.0,12.0,17.0,17,031,630100
"Census Tract 6610, Cook County, Illinois",697.0,1460.0,939.0,345.0,146.0,17,031,661000
"Census Tract 6702, Cook County, Illinois",135.0,287.0,160.0,49.0,15.0,17,031,670200
"Census Tract 104, Cook County, Illinois",100.0,278.0,558.0,1099.0,614.0,17,031,010400
"Census Tract 3801, Cook County, Illinois",402.0,189.0,364.0,214.0,238.0,17,031,380100
"Census Tract 6718, Cook County, Illinois",118.0,281.0,356.0,45.0,13.0,17,031,671800
"Census Tract 6911, Cook County, Illinois",222.0,778.0,668.0,211.0,96.0,17,031,691100
"Census Tract 5303, Cook County, Illinois",347.0,766.0,1135.0,399.0,142.0,17,031,530300
"Census Tract 5609, Cook County, Illinois",422.0,1222.0,1323.0,637.0,278.0,17,031,560900
"Census Tract 5803, Cook County, Illinois",724.0,473.0,319.0,43.0,37.0,17,031,580300
"Census Tract 6113, Cook County, Illinois",591.0,757.0,135.0,51.0,20.0,17,031,611300
