NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
"Census Tract 6302, Cook County, Illinois",1600.0,0.0,0.0,78.0,0.0,147.0,0.0,17,031,630200
"Census Tract 5807, Cook County, Illinois",2461.0,396.0,0.0,522.0,67.0,2334.0,128.0,17,031,580700
"Census Tract 5906, Cook County, Illinois",1387.0,19.0,20.0,431.0,0.0,1252.0,310.0,17,031,590600
"Census Tract 6007, Cook County, Illinois",1332.0,82.0,68.0,899.0,0.0,409.0,45.0,17,031,600700
"Census Tract 6119, Cook County, Illinois",220.0,1181.0,0.0,0.0,0.0,238.0,0.0,17,031,611900
"Census Tract 8045.05, Cook County, Illinois",2736.0,178.0,0.0,236.0,0.0,229.0,66.0,17,031,804505
"Census Tract 8047.01, Cook County, Illinois",2367.0,656.0,0.0,1501.0,0.0,1320.0,278.0,17,031,804701
"Census Tract 8047.06, Cook County, Illinois",1748.0,22.0,0.0,339.0,0.0,150.0,182.0,17,031,804706
"Census Tract 8240.05, Cook County, Illinois",5438.0,23.0,8.0,117.0,0.0,75.0,88.0,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",4445.0,37.0,0.0,172.0,0.0,10.0,64.0,17,031,824006
"Census Tract 8241.13, Cook County, Illinois",6198.0,146.0,0.0,349.0,24.0,250.0,103.0,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",4516.0,262.0,0.0,348.0,0.0,0.0,60.0,17,031,824114
"Census Tract 8241.15, Cook County, Illinois",3511.0,343.0,0.0,167.0,0.0,23.0,9.0,17,031,824115
"Census Tract 8241.16, Cook County, Illinois",4425.0,619.0,0.0,237.0,0.0,29.0,63.0,17,031,824116
"Census Tract 8241.17, Cook County, Illinois",7953.0,80.0,0.0,1165.0,0.0,136.0,119.0,17,031,824117
"Census Tract 8241.19, Cook County, Illinois",5013.0,58.0,0.0,392.0,0.0,135.0,57.0,17,031,824119
"Census Tract 8241.20, Cook County, Illinois",8196.0,103.0,0.0,473.0,0.0,48.0,150.0,17,031,824120
"Census Tract 8241.21, Cook County, Illinois",2992.0,11.0,0.0,131.0,0.0,8.0,11.0,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",6003.0,247.0,0.0,186.0,0.0,19.0,71.0,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",6748.0,163.0,0.0,70.0,0.0,232.0,135.0,17,031,824123
"Census Tract 8253.03, Cook County, Illinois",3616.0,200.0,16.0,38.0,0.0,77.0,63.0,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",3778.0,0.0,0.0,122.0,0.0,341.0,97.0,17,031,825304
"Census Tract 8300.07, Cook County, Illinois",567.0,4155.0,0.0,21.0,0.0,112.0,69.0,17,031,830007
