community_area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2006,2010-2014,2015-2019,2018-2022,2010-2014 to 2015-2019,2010-2014 to 2018-2022,2015-2019 to 2018-2022
NEAR NORTH SIDE,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,low,low,medium
LOOP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,low,low,low
SOUTH SHORE,13.0,0.0,0.0,10.0,10.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.75,4.2,0.8,medium,high,high
CHATHAM,3.0,0.0,1.0,3.0,7.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.75,3.4,0.2,high,medium,high
AVALON PARK,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,medium,medium,medium
SOUTH CHICAGO,26.0,8.0,5.0,32.0,31.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,9.0,0.2,high,high,high
BURNSIDE,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.2,0.0,medium,medium,medium
MCKINLEY PARK,1.0,7.0,1.0,5.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.5,2.0,0.8,medium,high,medium
LAKE VIEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
CALUMET HEIGHTS,7.0,0.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.6,0.0,high,high,medium
ROSELAND,10.0,8.0,1.0,12.0,25.0,8.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,7.75,7.6,1.0,low,high,high
NORTH CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low
PULLMAN,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.2,0.2,medium,medium,low
