community_area,2007,2019,2009,2006,2017,2020,2023,2008,2010,2022,2012,2014,2021,2015,2016,2011,2018,2013,2005,2005-2009,2010-2014,2015-2019,2018-2022,2005-2009 to 2010-2014,2010-2014 to 2015-2019,2015-2019 to 2018-2022,2005-2009 to 2018-2022
EAST GARFIELD PARK,2.0,370.0,281.0,1.0,313.0,275.0,212.0,279.0,336.0,326.0,305.0,351.0,274.0,349.0,292.0,309.0,348.0,287.0,2.0,113.0,317.6,334.4,318.6,medium,low,medium,medium
NEAR WEST SIDE,54.0,2748.0,1598.0,42.0,2451.0,1969.0,1952.0,1289.0,1591.0,2228.0,1612.0,2050.0,2001.0,2174.0,2393.0,1614.0,2519.0,1862.0,11.0,598.8,1745.8,2457.0,2293.0,high,high,high,high
NORTH LAWNDALE,24.0,596.0,555.0,2.0,638.0,456.0,414.0,536.0,563.0,514.0,465.0,574.0,495.0,506.0,503.0,434.0,575.0,455.0,1.0,223.6,498.2,563.6,527.2,medium,medium,medium,medium
UPTOWN,10.0,587.0,628.0,5.0,663.0,519.0,474.0,524.0,582.0,517.0,494.0,629.0,532.0,544.0,570.0,542.0,664.0,528.0,4.0,234.2,555.0,605.6,563.8,high,medium,medium,high
SOUTH LAWNDALE,10.0,631.0,507.0,1.0,574.0,506.0,378.0,443.0,409.0,469.0,482.0,456.0,477.0,533.0,595.0,427.0,555.0,482.0,0.0,192.2,451.2,577.6,527.6,medium,high,high,high
LOWER WEST SIDE,13.0,676.0,449.0,0.0,774.0,545.0,338.0,348.0,411.0,455.0,423.0,463.0,471.0,521.0,674.0,422.0,678.0,442.0,0.0,162.0,432.2,664.6,565.0,medium,high,high,high
NEAR SOUTH SIDE,11.0,557.0,347.0,11.0,539.0,359.0,362.0,352.0,361.0,398.0,432.0,478.0,368.0,507.0,530.0,366.0,631.0,469.0,1.0,144.4,421.2,552.8,462.6,medium,high,high,high
ARMOUR SQUARE,1.0,171.0,130.0,2.0,172.0,166.0,135.0,108.0,136.0,147.0,123.0,188.0,183.0,139.0,161.0,139.0,178.0,119.0,0.0,48.2,141.0,164.2,169.0,low,low,low,low
NORWOOD PARK,4.0,558.0,399.0,0.0,561.0,504.0,422.0,490.0,450.0,462.0,492.0,526.0,456.0,483.0,478.0,443.0,490.0,464.0,0.0,178.6,475.0,514.0,494.0,high,medium,medium,medium
NEAR NORTH SIDE,70.0,4084.0,2891.0,40.0,4135.0,2843.0,2634.0,2512.0,2861.0,2809.0,3303.0,3902.0,2578.0,4051.0,3795.0,3019.0,3964.0,3677.0,14.0,1105.4,3352.4,4005.8,3255.6,high,high,high,high
LOOP,58.0,4751.0,3278.0,36.0,4290.0,3398.0,2703.0,2836.0,3296.0,2913.0,3390.0,4040.0,2702.0,4534.0,4366.0,3328.0,4401.0,3650.0,12.0,1244.0,3540.8,4468.4,3633.0,high,high,high,high
SOUTH SHORE,6.0,713.0,573.0,3.0,684.0,578.0,444.0,560.0,622.0,569.0,498.0,636.0,570.0,686.0,648.0,491.0,726.0,600.0,0.0,228.4,569.4,691.4,631.2,high,high,high,high
CHATHAM,5.0,504.0,439.0,5.0,504.0,434.0,392.0,399.0,459.0,439.0,420.0,383.0,522.0,441.0,442.0,375.0,520.0,377.0,3.0,170.2,402.8,482.2,483.8,medium,high,low,medium
AVALON PARK,4.0,210.0,158.0,0.0,206.0,182.0,121.0,176.0,176.0,227.0,123.0,163.0,165.0,147.0,152.0,106.0,155.0,132.0,0.0,67.6,140.0,174.0,187.8,low,medium,low,low
SOUTH CHICAGO,5.0,425.0,392.0,2.0,483.0,330.0,270.0,410.0,392.0,362.0,364.0,338.0,377.0,426.0,380.0,323.0,392.0,387.0,0.0,161.8,360.8,421.2,377.2,medium,medium,high,medium
